category,carrier,pathways,ej_2020,ej_2030,ej_2050,ej_2050_p5,ej_2050_p95,kwh_per_day_2020,kwh_per_day_2050
C1,all sources,94,568.5,508.1,541.7,443.1,768.7,54.86,42.66
C1,Biomass,94,59.7,74.1,118.0,74.6,248.3,5.76,9.29
C1,Coal,94,150.0,40.1,7.4,1.1,50.4,14.48,0.58
C1,Gas,94,132.3,117.8,76.8,20.8,161.6,12.76,6.05
C1,Hydro,76,16.8,23.8,30.3,17.7,35.4,1.62,2.39
C1,Non-Biomass Renewables,94,28.9,82.9,227.6,102.9,331.2,2.79,17.92
C1,Nuclear,94,9.9,13.4,20.3,4.4,69.6,0.95,1.60
C1,Oil,94,187.5,170.2,72.0,22.8,143.4,18.10,5.67
C1,Solar,76,3.4,32.1,107.8,31.2,200.3,0.33,8.49
C1,Wind,76,5.6,26.5,87.7,45.0,140.0,0.54,6.91
C3,all sources,311,566.0,579.2,569.9,471.0,745.5,54.61,44.88
C3,Biomass,311,59.8,65.3,97.0,57.0,182.6,5.77,7.64
C3,Coal,311,154.7,103.6,27.8,1.4,98.1,14.93,2.19
C3,Gas,311,133.9,146.5,113.8,44.8,206.0,12.92,8.96
C3,Hydro,285,16.6,22.0,28.0,14.8,37.7,1.60,2.21
C3,Non-Biomass Renewables,311,28.1,61.1,189.3,67.4,279.1,2.71,14.91
C3,Nuclear,311,10.1,12.6,18.2,6.7,47.2,0.97,1.43
C3,Oil,311,185.5,193.6,125.2,53.5,200.3,17.90,9.86
C3,Solar,284,3.5,19.2,73.0,19.2,151.2,0.33,5.74
C3,Wind,284,5.5,19.4,71.8,20.0,129.1,0.53,5.65
