category,variable,unit,pathways,v_2020,v_2030,v_2050,per_person_2020,per_person_2030,per_person_2050
C1,Capacity|Electricity|Nuclear,GW,59,95.75,68.75,42.75,175.17,123.20,74.86
C1,Capacity|Electricity|Solar,GW,59,166.35,771.87,1536.30,304.32,1383.14,2690.10
C1,Capacity|Electricity|Wind,GW,59,202.70,510.81,1203.10,370.83,915.33,2106.65
C1,Final Energy,EJ/yr,69,51.29,46.23,37.30,71.40,63.05,49.71
C1,Final Energy|Electricity,EJ/yr,64,10.84,12.62,22.05,15.10,17.22,29.38
C1,Final Energy|Industry,EJ/yr,69,15.61,13.59,12.49,21.74,18.53,16.64
C1,Final Energy|Residential and Commercial,EJ/yr,69,18.78,17.60,14.49,26.14,24.00,19.31
C1,Final Energy|Transportation,EJ/yr,69,16.03,13.79,10.50,22.32,18.80,14.00
C3,Capacity|Electricity|Nuclear,GW,224,128.18,129.28,62.15,226.46,221.24,102.48
C3,Capacity|Electricity|Solar,GW,204,138.49,416.80,1195.88,244.67,713.33,1971.87
C3,Capacity|Electricity|Wind,GW,224,198.05,436.10,1021.22,349.89,746.35,1683.87
C3,Final Energy,EJ/yr,241,52.01,51.03,47.54,69.93,66.47,59.66
C3,Final Energy|Electricity,EJ/yr,236,11.81,13.49,20.80,15.88,17.56,26.10
C3,Final Energy|Industry,EJ/yr,241,15.63,14.46,13.63,21.02,18.83,17.10
C3,Final Energy|Residential and Commercial,EJ/yr,241,20.12,20.10,20.45,27.05,26.18,25.67
C3,Final Energy|Transportation,EJ/yr,241,16.22,15.88,12.39,21.81,20.69,15.54
