region,category,carrier,pathways,ej_2020,ej_2030,ej_2050,ej_2050_p5,ej_2050_p95,kwh_per_day_2020,kwh_per_day_2050
Europe,C1,all sources,69,64.44,55.23,51.90,41.27,80.06,89.71,69.16
Europe,C1,Biomass,69,7.16,9.12,11.47,6.06,23.96,9.97,15.29
Europe,C1,Coal,69,8.18,2.40,0.17,0.03,6.09,11.39,0.22
Europe,C1,Gas,69,17.45,12.07,5.53,0.84,15.79,24.30,7.38
Europe,C1,Hydro,54,1.82,2.15,1.92,1.47,4.35,2.53,2.56
Europe,C1,Non-Biomass Renewables,64,4.47,12.34,25.86,12.24,34.46,6.23,34.47
Europe,C1,Nuclear,69,3.13,3.06,1.30,0.07,13.75,4.35,1.74
Europe,C1,Oil,69,24.54,18.15,4.77,1.89,14.58,34.16,6.36
Europe,C1,Solar,54,0.95,4.32,8.80,4.24,12.51,1.32,11.73
Europe,C1,Wind,54,1.78,5.34,12.55,4.19,17.61,2.48,16.72
Europe,C3,all sources,242,65.43,61.86,58.71,47.27,84.08,87.97,73.68
Europe,C3,Biomass,242,5.92,7.12,9.34,5.51,18.56,7.95,11.72
Europe,C3,Coal,242,9.30,3.56,0.99,0.04,9.56,12.51,1.24
Europe,C3,Gas,242,18.60,17.34,11.58,1.67,26.78,25.01,14.53
Europe,C3,Hydro,223,2.25,2.25,2.45,1.47,4.35,3.02,3.08
Europe,C3,Non-Biomass Renewables,217,4.59,9.18,23.25,10.08,35.61,6.17,29.18
Europe,C3,Nuclear,242,3.13,3.22,1.72,0.08,6.17,4.21,2.16
Europe,C3,Oil,242,24.91,21.22,9.85,5.13,20.73,33.49,12.37
Europe,C3,Solar,222,0.79,2.85,8.26,1.62,12.02,1.06,10.37
Europe,C3,Wind,222,1.89,3.80,10.83,4.56,27.44,2.54,13.59
EU,C1,all sources,54,64.03,55.01,49.47,40.91,68.52,94.28,69.54
EU,C1,Biomass,54,7.17,9.53,12.69,6.18,22.56,10.55,17.84
EU,C1,Coal,54,7.34,0.52,0.13,0.03,4.28,10.80,0.18
EU,C1,Gas,54,16.36,11.77,4.07,0.72,14.85,24.09,5.73
EU,C1,Hydro,41,1.56,1.59,1.52,1.45,4.35,2.30,2.13
EU,C1,Non-Biomass Renewables,54,4.36,11.51,24.98,10.68,34.21,6.41,35.11
EU,C1,Nuclear,54,2.40,1.28,0.22,0.06,12.45,3.53,0.31
EU,C1,Oil,54,24.64,18.87,5.98,1.89,13.89,36.28,8.41
EU,C1,Solar,41,0.78,3.88,7.86,3.78,11.00,1.14,11.05
EU,C1,Wind,41,1.75,5.54,12.76,3.97,17.31,2.57,17.94
EU,C3,all sources,194,64.46,58.81,52.33,43.47,78.39,94.91,73.57
EU,C3,Biomass,194,7.16,8.75,12.22,7.79,17.66,10.54,17.18
EU,C3,Coal,194,9.05,2.52,1.90,0.04,5.21,13.32,2.67
EU,C3,Gas,194,16.39,15.21,7.38,1.71,22.79,24.13,10.38
EU,C3,Hydro,177,1.56,1.70,1.86,1.39,4.35,2.30,2.62
EU,C3,Non-Biomass Renewables,174,4.36,9.75,22.38,8.86,29.04,6.41,31.46
EU,C3,Nuclear,194,2.87,2.71,1.46,0.08,9.12,4.22,2.05
EU,C3,Oil,194,24.91,21.09,9.46,4.09,19.47,36.68,13.29
EU,C3,Solar,176,0.77,2.82,6.86,1.99,10.37,1.14,9.64
EU,C3,Wind,176,1.75,4.40,11.85,4.71,16.99,2.57,16.66
