year,day,time,speed_ms
2006,1,18,0.00
2006,1,48,0.00
2006,1,118,0.00
2006,1,148,0.00
2006,1,218,0.00
2006,1,248,0.00
2006,1,318,0.00
2006,1,348,0.00
2006,1,418,0.00
2006,1,448,0.00
2006,1,518,0.00
2006,1,548,0.00
2006,1,618,0.00
2006,1,648,0.00
2006,1,718,0.00
2006,1,748,0.00
2006,1,818,0.00
2006,1,848,0.00
2006,1,918,0.00
2006,1,948,0.00
2006,1,1018,0.00
2006,1,1048,0.00
2006,1,1118,0.00
2006,1,1148,0.00
2006,1,1218,0.00
2006,1,1248,0.00
2006,1,1318,0.00
2006,1,1348,0.00
2006,1,1418,0.00
2006,1,1448,0.00
2006,1,1518,0.00
2006,1,1548,0.00
2006,1,1618,0.00
2006,1,1648,0.00
2006,1,1718,0.00
2006,1,1748,0.00
2006,1,1818,0.00
2006,1,1848,0.00
2006,1,1918,0.00
2006,1,1948,0.00
2006,1,2018,0.00
2006,1,2048,0.00
2006,1,2118,0.00
2006,1,2148,0.00
2006,1,2218,0.00
2006,1,2248,0.00
2006,1,2318,0.00
2006,1,2348,0.00
2006,2,18,0.00
2006,2,48,0.00
2006,2,118,0.00
2006,2,148,0.00
2006,2,218,0.00
2006,2,248,0.00
2006,2,318,0.00
2006,2,348,0.00
2006,2,418,0.00
2006,2,448,0.00
2006,2,518,0.00
2006,2,548,0.00
2006,2,618,0.00
2006,2,648,0.00
2006,2,718,0.00
2006,2,748,0.00
2006,2,818,0.00
2006,2,848,0.00
2006,2,918,0.00
2006,2,948,0.00
2006,2,1018,0.00
2006,2,1048,0.00
2006,2,1118,0.00
2006,2,1148,0.00
2006,2,1218,0.00
2006,2,1248,0.00
2006,2,1318,0.00
2006,2,1348,0.00
2006,2,1418,0.00
2006,2,1448,0.00
2006,2,1518,0.45
2006,2,1548,0.00
2006,2,1618,0.00
2006,2,1648,0.45
2006,2,1718,0.00
2006,2,1748,0.00
2006,2,1818,0.00
2006,2,1848,0.00
2006,2,1918,0.00
2006,2,1948,0.00
2006,2,2018,0.00
2006,2,2048,0.00
2006,2,2118,0.00
2006,2,2148,0.00
2006,2,2218,0.00
2006,2,2248,0.00
