year,sun_hours,daylight_hours,fraction
1959,1785.0,4380.0,0.4075
1960,1421.4,4380.0,0.3245
1961,1621.1,4380.0,0.3701
1962,1489.7,4380.0,0.3401
1963,1339.4,4380.0,0.3058
1964,1462.3,4380.0,0.3339
1965,1353.6,4380.0,0.3090
1966,1301.4,4380.0,0.2971
1967,1569.2,4380.0,0.3583
1968,1182.0,4380.0,0.2699
1969,1443.8,4380.0,0.3296
1970,1585.9,4380.0,0.3621
1971,1553.3,4380.0,0.3546
1972,1494.7,4380.0,0.3413
1973,1709.2,4380.0,0.3902
1974,1629.2,4380.0,0.3720
1975,1600.5,4380.0,0.3654
1976,1700.9,4380.0,0.3883
1977,1497.0,4380.0,0.3418
1978,1289.2,4380.0,0.2943
1979,1467.6,4380.0,0.3351
1980,1510.4,4380.0,0.3448
1981,1391.5,4380.0,0.3177
1982,1582.9,4380.0,0.3614
1983,1557.7,4380.0,0.3556
1984,1525.9,4380.0,0.3484
1985,1342.5,4380.0,0.3065
1986,1501.4,4380.0,0.3428
1987,1247.3,4380.0,0.2848
1988,1402.1,4380.0,0.3201
1989,1680.3,4380.0,0.3836
1990,1666.8,4380.0,0.3805
1991,1358.6,4380.0,0.3102
1992,1347.1,4380.0,0.3076
1993,1353.8,4380.0,0.3091
1994,1517.2,4380.0,0.3464
1995,1690.6,4380.0,0.3860
1996,1496.6,4380.0,0.3417
1997,1558.6,4380.0,0.3558
1998,1340.9,4380.0,0.3061
1999,1578.5,4380.0,0.3604
2000,1434.8,4380.0,0.3276
2001,1522.9,4380.0,0.3477
2002,1438.4,4380.0,0.3284
2003,1764.3,4380.0,0.4028
2004,1445.9,4380.0,0.3301
2005,1474.6,4380.0,0.3367
2006,1577.6,4380.0,0.3602
2007,1506.0,4380.0,0.3438
2008,1467.2,4380.0,0.3350
2009,1591.3,4380.0,0.3633
