year,day,tmean,tmax,tmin
2006,1,5.00,6.10,3.40
2006,2,3.70,5.50,1.10
2006,3,5.60,7.60,3.60
2006,4,4.70,6.60,1.40
2006,5,1.90,2.60,1.30
2006,6,2.10,4.50,1.10
2006,7,1.90,3.90,0.30
2006,8,3.30,4.50,2.30
2006,9,4.40,6.10,2.30
2006,10,6.30,8.20,3.70
2006,11,7.60,10.10,2.40
2006,12,2.10,5.10,-0.40
2006,13,5.70,7.20,4.00
2006,14,7.00,8.50,5.40
2006,15,6.80,8.50,5.10
2006,16,6.30,8.90,4.40
2006,17,6.60,8.30,5.20
2006,18,7.90,9.80,5.00
2006,19,9.40,11.10,8.00
2006,20,8.10,10.30,5.80
2006,21,5.40,8.20,2.00
2006,22,2.80,4.90,0.70
2006,23,2.10,3.10,0.30
2006,24,-1.50,1.40,-4.00
2006,25,1.90,6.00,-2.10
2006,26,3.20,5.20,1.70
2006,27,2.50,4.60,1.00
2006,28,1.40,5.60,-1.30
2006,29,2.10,5.50,-0.10
2006,30,4.10,6.80,2.60
2006,31,3.20,4.50,2.00
2006,32,1.10,2.20,-0.20
2006,33,-1.50,-0.30,-2.40
2006,34,0.10,2.90,-2.00
2006,35,3.30,6.80,0.50
2006,36,5.40,7.30,3.70
2006,37,5.50,7.70,3.40
2006,38,6.60,9.60,4.10
2006,39,5.60,7.90,2.60
2006,40,2.00,4.50,-0.30
2006,41,1.30,5.80,-1.70
2006,42,1.50,5.70,-3.70
2006,43,5.90,8.80,2.40
2006,44,8.70,10.10,7.60
2006,45,7.30,10.40,5.60
2006,46,8.50,11.00,6.70
2006,47,6.00,8.70,3.90
2006,48,5.50,8.20,2.30
2006,49,2.70,6.80,-1.60
2006,50,4.50,7.40,2.50
2006,51,4.30,6.30,2.50
2006,52,3.00,5.70,1.20
2006,53,2.60,3.60,1.60
2006,54,2.00,4.20,0.70
2006,55,1.70,4.20,-0.60
2006,56,2.80,4.20,1.10
2006,57,3.10,5.60,1.40
2006,58,3.40,5.90,1.10
2006,59,1.60,4.10,-0.90
2006,60,-0.00,4.20,-2.90
2006,61,-0.30,4.50,-3.40
2006,62,-1.20,3.50,-4.80
2006,63,-0.40,4.00,-3.90
2006,64,1.90,6.40,-1.70
2006,65,2.40,6.80,-1.00
2006,66,1.90,5.50,-2.80
2006,67,8.80,12.10,3.70
2006,68,8.00,10.00,5.40
2006,69,4.60,6.40,2.90
2006,70,2.70,5.10,-1.40
2006,71,0.50,3.60,-2.80
2006,72,0.70,4.20,-2.20
2006,73,2.60,4.20,0.90
2006,74,3.40,7.60,0.50
2006,75,2.10,4.50,0.40
2006,76,2.50,5.20,0.70
2006,77,2.80,5.70,0.90
2006,78,3.90,7.00,1.20
2006,79,3.90,5.90,1.80
2006,80,2.60,5.30,-0.40
2006,81,1.30,4.80,-1.90
2006,82,2.60,7.30,-2.50
2006,83,8.40,13.40,5.30
2006,84,11.00,13.90,8.80
2006,85,13.00,15.60,11.70
2006,86,11.90,13.00,9.60
2006,87,9.50,11.80,7.40
2006,88,8.50,12.40,3.90
2006,89,12.00,15.30,8.70
2006,90,11.60,15.10,10.30
2006,91,10.80,13.40,7.90
2006,92,9.10,13.10,6.40
2006,93,7.90,10.60,4.60
2006,94,4.00,7.40,0.80
2006,95,4.00,9.60,-1.70
2006,96,6.10,10.60,1.00
2006,97,6.90,10.50,1.90
2006,98,7.00,10.40,4.50
2006,99,4.50,8.60,1.70
2006,100,4.20,8.40,0.20
2006,101,4.80,7.60,1.40
2006,102,8.20,11.90,3.80
2006,103,11.00,13.60,9.10
2006,104,9.40,12.80,5.20
2006,105,9.00,13.40,4.60
2006,106,10.30,14.30,6.50
2006,107,9.00,12.90,4.90
2006,108,9.30,12.90,5.40
2006,109,9.60,12.60,6.20
2006,110,10.90,13.30,8.40
2006,111,10.70,15.20,7.20
2006,112,9.10,14.60,4.60
2006,113,10.50,12.50,8.30
2006,114,10.10,14.70,6.30
2006,115,11.60,15.30,7.90
2006,116,11.30,15.50,5.80
2006,117,11.00,14.10,7.80
2006,118,8.40,11.10,5.80
2006,119,7.70,11.10,4.80
2006,120,7.90,11.40,4.60
2006,121,9.80,13.00,6.50
2006,122,10.20,15.30,3.10
2006,123,13.20,17.70,8.20
2006,124,16.80,23.20,10.50
2006,125,15.50,18.80,11.90
2006,126,12.20,16.80,6.90
2006,127,12.10,15.00,9.70
2006,128,12.30,14.60,9.40
2006,129,13.20,19.70,7.30
2006,130,13.70,20.80,7.90
2006,131,13.10,19.80,5.40
2006,132,15.20,21.30,7.80
2006,133,13.10,16.70,10.30
2006,134,11.30,14.20,9.20
2006,135,13.30,17.10,8.70
2006,136,14.20,17.30,11.60
2006,137,13.50,17.10,9.20
2006,138,14.40,16.90,11.80
2006,139,13.10,16.10,10.80
2006,140,12.40,15.20,11.00
2006,141,11.70,14.50,8.90
2006,142,11.90,16.00,8.00
2006,143,9.40,13.20,5.30
2006,144,10.70,13.50,8.60
2006,145,12.20,15.70,9.50
2006,146,14.10,17.20,10.40
2006,147,14.40,15.80,13.30
2006,148,13.00,15.50,9.70
2006,149,10.20,12.90,6.80
2006,150,8.40,11.70,5.20
2006,151,9.10,11.80,6.30
2006,152,9.50,14.20,3.80
2006,153,13.50,18.20,8.40
2006,154,14.10,19.30,8.10
2006,155,15.00,20.50,8.90
2006,156,13.20,16.10,9.30
2006,157,12.20,17.90,5.70
2006,158,16.60,22.70,11.00
2006,159,17.40,22.80,11.80
2006,160,17.40,22.70,11.60
2006,161,19.10,24.00,13.60
2006,162,21.00,26.00,15.20
2006,163,22.50,27.30,16.90
2006,164,18.60,22.30,15.50
2006,165,15.40,18.10,12.40
2006,166,13.80,16.60,11.00
2006,167,17.20,21.70,12.00
2006,168,19.70,24.20,13.50
2006,169,19.50,22.80,15.60
2006,170,17.60,20.40,13.80
2006,171,17.60,20.70,14.70
2006,172,15.50,18.40,13.30
2006,173,14.20,17.50,11.00
2006,174,15.00,18.60,10.90
2006,175,17.00,21.50,12.80
2006,176,17.30,21.70,12.30
2006,177,13.10,14.40,10.50
2006,178,13.30,16.80,9.20
2006,179,15.20,19.50,9.80
2006,180,16.30,21.70,10.60
2006,181,18.30,24.50,11.00
2006,182,20.30,26.40,12.60
2006,183,22.60,28.40,16.70
2006,184,22.60,28.30,15.80
2006,185,21.60,28.00,15.70
2006,186,20.70,24.60,16.00
2006,187,19.70,22.90,17.40
2006,188,18.50,20.70,16.30
2006,189,17.20,21.00,12.60
2006,190,17.90,22.00,15.10
2006,191,18.00,22.10,12.90
2006,192,19.10,22.00,16.60
2006,193,19.00,25.00,11.10
2006,194,16.90,19.30,13.00
2006,195,15.60,19.70,11.60
2006,196,16.30,22.20,10.50
2006,197,19.90,26.90,12.50
2006,198,21.60,28.90,12.30
2006,199,22.40,30.00,13.20
2006,200,24.10,31.30,16.50
2006,201,24.90,30.20,20.50
2006,202,24.10,28.80,17.70
2006,203,22.20,26.30,19.50
2006,204,21.00,24.30,17.10
2006,205,21.10,26.70,15.20
2006,206,22.30,28.40,15.40
2006,207,23.60,29.90,17.70
2006,208,22.20,26.00,19.00
2006,209,21.30,25.10,17.50
2006,210,21.10,25.80,15.80
2006,211,20.30,23.00,18.20
2006,212,19.10,22.30,16.50
2006,213,17.90,20.80,15.40
2006,214,16.30,19.40,13.90
2006,215,16.40,19.80,14.00
2006,216,16.10,19.60,12.30
2006,217,18.30,23.40,11.60
2006,218,21.20,25.40,17.30
2006,219,18.60,21.10,14.90
2006,220,17.90,23.10,12.40
2006,221,17.40,20.80,15.30
2006,222,16.00,19.20,12.80
2006,223,15.10,19.30,11.70
2006,224,15.00,18.10,12.70
2006,225,15.70,20.10,12.40
2006,226,16.00,19.40,13.10
2006,227,16.20,19.60,12.30
2006,228,16.40,20.60,11.40
2006,229,16.80,21.10,13.00
2006,230,16.40,19.80,14.00
2006,231,16.90,20.40,13.70
2006,232,17.10,20.90,14.20
2006,233,16.10,19.40,13.10
2006,234,16.10,19.70,12.50
2006,235,16.60,19.70,14.00
2006,236,16.00,18.90,14.10
2006,237,14.90,19.90,9.20
2006,238,15.70,19.20,12.30
2006,239,16.00,19.40,12.60
2006,240,14.90,17.70,12.80
2006,241,14.00,17.60,10.90
2006,242,14.70,18.30,10.60
2006,243,18.00,22.20,13.80
2006,244,17.50,21.90,14.20
2006,245,17.00,19.60,13.00
2006,246,20.20,23.10,17.30
2006,247,17.70,21.90,13.20
2006,248,20.20,23.40,17.80
2006,249,20.00,24.50,16.10
2006,250,15.90,18.80,12.40
2006,251,13.90,18.50,9.60
2006,252,14.80,19.30,10.80
2006,253,16.50,23.40,9.90
2006,254,19.30,25.60,14.30
2006,255,19.60,23.80,16.10
2006,256,19.60,23.60,17.00
2006,257,18.70,22.40,14.50
2006,258,16.50,21.00,13.40
2006,259,18.10,23.00,14.40
2006,260,18.60,21.90,16.20
2006,261,17.30,19.90,15.20
2006,262,16.00,19.40,12.30
2006,263,16.70,21.60,11.80
2006,264,20.90,25.80,16.20
2006,265,16.90,20.70,14.80
2006,266,17.10,21.60,13.00
2006,267,18.00,21.40,15.70
2006,268,15.90,18.00,13.90
2006,269,14.90,18.20,12.10
2006,270,15.10,19.70,10.80
2006,271,18.00,20.70,15.70
2006,272,16.70,19.20,14.70
2006,273,14.80,18.80,11.20
2006,274,15.20,16.90,14.10
2006,275,14.70,17.40,12.90
2006,276,12.30,15.20,8.90
2006,277,11.50,15.20,8.30
2006,278,11.70,15.10,7.80
2006,279,15.40,17.30,13.60
2006,280,12.70,15.60,10.20
2006,281,12.70,16.60,9.40
2006,282,16.00,20.60,12.60
2006,283,16.30,19.90,13.70
2006,284,16.00,18.20,14.80
2006,285,13.70,17.60,8.60
2006,286,14.00,17.90,10.80
2006,287,14.20,18.10,11.00
2006,288,14.20,16.70,12.30
2006,289,14.20,18.10,11.40
2006,290,14.30,17.80,11.40
2006,291,14.90,18.00,13.20
2006,292,15.00,16.80,13.50
