year,bin,klass,n
2020,0,phev,25
2020,0,zero,726913
2020,5,phev,10
2020,10,phev,19
2020,15,phev,2362
2020,20,ice,27
2020,20,phev,36043
2020,25,ice,685
2020,25,phev,54222
2020,30,ice,1417
2020,30,phev,175720
2020,35,ice,111
2020,35,phev,63054
2020,40,phev,59844
2020,45,ice,2
2020,45,phev,95092
2020,50,ice,7
2020,50,phev,32489
2020,55,ice,26
2020,55,phev,37502
2020,60,ice,17
2020,60,phev,9964
2020,65,ice,7
2020,65,phev,6531
2020,70,ice,147
2020,70,phev,7891
2020,75,ice,243
2020,75,phev,7989
2020,80,ice,162
2020,80,phev,4652
2020,85,ice,10174
2020,85,phev,3764
2020,90,ice,28995
2020,90,phev,3565
2020,95,ice,27141
2020,95,phev,503
2020,100,ice,87447
2020,100,phev,3
2020,105,ice,145456
2020,105,phev,196
2020,110,ice,438592
2020,110,phev,20378
2020,115,ice,572105
2020,115,phev,8977
2020,120,ice,883827
2020,120,phev,3490
2020,125,ice,1094886
2020,125,phev,16
2020,130,ice,1052313
2020,130,phev,43
2020,135,ice,1123398
2020,135,phev,13
2020,140,ice,889938
2020,140,phev,20
2020,145,ice,727585
2020,145,phev,36
2020,150,ice,561856
2020,150,phev,83
2020,155,ice,511464
2020,155,phev,16
2020,160,ice,392696
2020,160,phev,126
2020,165,ice,306181
2020,165,phev,13
2020,170,ice,210169
2020,170,phev,42
2020,175,ice,198463
2020,175,phev,39
2020,180,ice,166513
2020,180,phev,31
2020,185,ice,145627
2020,185,phev,3
2020,190,ice,156671
2020,190,phev,25
2020,195,ice,123584
2020,195,phev,2
2020,200,ice,63604
2020,200,phev,22
2020,205,ice,61896
2020,205,phev,65
2020,210,ice,40946
2020,210,phev,49
2020,215,ice,43716
2020,215,phev,2
2020,220,ice,48049
2020,220,phev,5
2020,225,ice,36764
2020,225,phev,27
2020,230,ice,29668
2020,230,phev,2
2020,235,ice,23370
2020,235,phev,17
2020,240,ice,25833
2020,240,phev,29
2020,245,ice,23901
2020,250,ice,21215
2020,250,phev,34
2020,255,ice,14584
2020,255,phev,34
2020,260,ice,10179
2020,260,phev,4
2020,265,ice,5683
2020,265,phev,9
2020,270,ice,7155
2020,270,phev,2
2020,275,ice,5851
2020,280,ice,4085
2020,285,ice,6177
2020,290,ice,6231
2020,295,ice,3353
2020,300,ice,1522
2020,305,ice,1784
2020,305,phev,6
2020,310,ice,960
2020,315,ice,2204
2020,320,ice,584
2020,325,ice,1359
2020,330,ice,824
2020,335,ice,3089
2020,340,ice,3423
2020,345,ice,204
2020,350,ice,67
2020,355,ice,108
2020,360,ice,338
2020,365,ice,972
2020,370,ice,524
2020,375,ice,122
2020,380,ice,187
2020,385,ice,21
2020,390,ice,8
2020,395,ice,97
2020,400,ice,82
2020,405,ice,3
2020,410,ice,11
2020,415,ice,8
2020,420,ice,11
2020,450,ice,2
2020,455,ice,8
2020,460,ice,1
2020,465,ice,1
2020,485,ice,191
2020,490,ice,1
2020,495,ice,39
2020,505,ice,8
2020,595,ice,3
2025,0,phev,192
2025,0,zero,2056313
2025,5,ice,4
2025,5,phev,125690
2025,10,ice,20
2025,10,phev,186812
2025,15,ice,5
2025,15,phev,147936
2025,20,ice,2
2025,20,phev,221031
2025,25,ice,4
2025,25,phev,69028
2025,30,phev,64750
2025,35,ice,1
