year,ppm
822,278.62
875,279.42
914,280.11
958,277.41
983,278.74
1018,279.80
1019,280.06
1040,280.92
1049,280.97
1070,282.84
1099,283.09
1116,282.84
1146,284.51
1166,283.97
1200,284.54
1211,283.69
1251,282.41
1260,282.20
1278,278.43
1307,281.58
1330,284.07
1349,278.36
1390,280.91
1411,279.70
1429,279.73
1449,282.23
1469,280.31
1502,283.12
1530,283.95
1550,283.53
1560,281.83
1573,282.57
1588,281.11
1591,279.36
1603,275.07
1609,271.11
1629,273.78
1640,276.69
1649,278.02
1682,276.66
1690,276.32
1694,277.36
1723,277.64
1734,278.31
1741,276.81
1749,277.60
1752,277.23
1763,277.16
1764,276.40
1773,277.86
1779,280.24
1780,273.07
1794,281.62
1796,281.35
1799,282.80
1814,284.43
1825,281.36
1827,285.91
1833,284.45
1837,284.15
1841,283.65
1843,281.58
1844,283.53
1845,283.18
1846,283.62
1847,286.84
1850,284.00
1851,287.13
1854,288.05
1855,285.57
1857,283.16
1859,286.63
1862,287.17
1863,285.35
1864,286.65
1867,285.05
1868,288.76
1870,287.16
1873,286.66
1874,291.56
1877,289.33
1880,287.77
1883,292.46
1884,289.49
1886,288.12
1887,294.34
1889,292.34
1890,290.92
1892,295.17
1893,295.09
1894,293.49
1899,296.16
1900,294.22
1902,295.61
1904,295.99
1905,299.02
1906,298.48
1909,301.50
1910,297.87
1911,298.36
1913,301.30
1914,300.70
1916,301.92
1918,303.85
1919,304.61
1920,301.88
1923,304.69
1925,304.84
1928,306.84
1929,305.62
1931,305.74
1932,308.26
1933,307.11
1934,308.35
1935,306.32
1936,308.30
1937,307.41
1938,311.07
1939,310.83
1940,310.38
1941,309.77
1942,312.37
1944,312.36
1945,310.94
1946,312.26
1947,311.61
1948,311.57
1949,309.69
1950,312.83
1952,312.18
1954,312.73
1955,314.71
1956,315.34
1957,315.34
1958,315.34
1959,314.16
1960,313.09
1961,318.21
1962,317.75
1963,318.38
1964,319.12
1965,319.54
1966,320.98
1967,321.33
1969,323.56
1970,324.56
1971,325.95
1972,329.38
1974,331.55
1976,332.37
1977,333.96
1979,336.85
1980,338.91
1981,340.11
1982,340.86
1983,342.53
1984,344.07
1985,345.54
1986,346.97
1987,348.68
1988,351.16
1989,352.79
1990,354.06
1991,355.40
1992,356.09
1993,356.84
1994,358.33
1995,360.18
1996,361.93
1997,363.04
1998,365.70
1999,367.79
2000,368.96
2001,370.57
2002,372.58
2003,375.14
2004,376.94
2005,378.98
2006,381.15
2007,382.90
2008,385.02
2009,386.50
2010,388.76
2011,390.62
2012,392.65
2013,395.40
2014,397.34
2015,399.65
2016,403.07
2017,405.22
2018,407.61
2019,410.07
2020,412.44
2021,414.70
2022,417.08
2023,419.35
2024,422.79
2025,425.62
