year,t_per_person
1950,2.379
1951,2.516
1952,2.503
1953,2.525
1954,2.528
1955,2.717
1956,2.835
1957,2.870
1958,2.891
1959,2.986
1960,3.113
1961,3.072
1962,3.121
1963,3.216
1964,3.316
1965,3.392
1966,3.485
1967,3.523
1968,3.640
1969,3.802
1970,4.033
1971,4.113
1972,4.220
1973,4.356
1974,4.253
1975,4.173
1976,4.310
1977,4.352
1978,4.433
1979,4.466
1980,4.364
1981,4.169
1982,4.060
1983,4.024
1984,4.069
1985,4.137
1986,4.122
1987,4.180
1988,4.263
1989,4.241
1990,4.267
1991,4.282
1992,4.090
1993,4.069
1994,4.048
1995,4.084
1996,4.148
1997,4.115
1998,4.045
1999,4.079
2000,4.134
2001,4.108
2002,4.144
2003,4.307
2004,4.399
2005,4.494
2006,4.586
2007,4.662
2008,4.683
2009,4.546
2010,4.745
2011,4.849
2012,4.854
2013,4.838
2014,4.805
2015,4.739
2016,4.682
2017,4.705
2018,4.752
2019,4.748
2020,4.458
2021,4.635
2022,4.678
2023,4.708
2024,4.729
