year,uk_twh,world_twh
1700,20.7,
1701,21.1,
1702,21.4,
1703,21.7,
1704,22.0,
1705,22.3,
1706,22.6,
1707,22.9,
1708,23.2,
1709,23.5,
1710,23.9,
1711,24.2,
1712,24.5,
1713,24.8,
1714,25.1,
1715,25.4,
1716,25.7,
1717,26.0,
1718,26.4,
1719,26.7,
1720,27.0,
1721,27.3,
1722,27.6,
1723,27.9,
1724,28.2,
1725,28.5,
1726,28.9,
1727,29.2,
1728,29.5,
1729,29.8,
1730,30.1,
1731,30.4,
1732,30.7,
1733,31.0,
1734,31.3,
1735,31.7,
1736,32.0,
1737,32.3,
1738,32.6,
1739,32.9,
1740,33.2,
1741,33.5,
1742,33.8,
1743,34.2,
1744,34.5,
1745,34.8,
1746,35.1,
1747,35.4,
1748,35.7,
1749,36.0,
1750,36.3,
1751,37.3,
1752,38.4,
1753,39.4,
1754,40.4,
1755,41.4,
1756,42.4,
1757,43.4,
1758,44.4,
1759,45.4,
1760,46.4,
1761,47.4,
1762,48.4,
1763,49.4,
1764,50.4,
1765,51.4,
1766,52.4,
1767,53.4,
1768,54.4,
1769,55.5,
1770,56.5,
1771,57.5,
1772,58.5,
1773,59.5,
1774,60.5,
1775,61.5,
1776,63.2,
1777,64.9,
1778,66.7,
1779,68.4,
1780,70.1,
1781,71.8,
1782,73.5,
1783,75.3,
1784,77.0,
1785,78.7,
1786,80.4,
1787,82.2,
1788,83.9,
1789,85.6,
1790,87.3,
1791,89.0,
1792,90.8,
1793,92.5,
1794,94.2,
1795,95.9,
1796,97.6,
1797,99.4,
1798,101.1,
1799,102.8,
1800,104.5,97.0
1801,108.1,
1802,111.6,
1803,115.2,
1804,118.7,
1805,122.3,
1806,125.8,
1807,129.4,
1808,132.9,
1809,136.5,
1810,140.0,128.0
1811,143.6,
1812,147.1,
1813,150.7,
1814,154.2,
1815,157.8,
1816,161.3,
1817,164.9,
1818,168.4,
1819,172.0,
1820,175.5,153.0
1821,179.1,
1822,182.6,
1823,186.2,
1824,189.7,
1825,193.3,
1826,196.8,
1827,200.4,
1828,204.0,
1829,207.5,
1830,211.9,264.0
1831,216.1,
1832,222.3,
1833,227.9,
1834,234.2,
1835,243.9,
1836,253.6,
1837,261.9,
1838,272.4,
1839,282.8,
1840,295.3,356.0
1841,303.6,
1842,306.4,
1843,318.9,
1844,330.0,
1845,354.4,
1846,368.3,
1847,374.5,
1848,392.6,
1849,411.3,
1850,433.6,569.0
1851,452.3,
1852,473.9,
1853,494.0,
1854,521.1,
1855,530.1,
1856,548.2,
1857,564.9,
1858,557.2,
1859,574.6,
1860,610.1,1061.0
1861,619.1,
1862,632.3,
1863,664.2,
1864,687.9,
1865,710.1,
1866,728.2,
1867,738.6,
1868,751.1,
1869,769.9,
1870,801.8,1642.0
1871,842.1,
1872,868.5,
1873,888.7,
1874,883.1,
1875,926.2,
1876,931.8,
