country,year,kwh_d,gdp
China,1990,18.26,1667
China,1991,18.94,1798
China,1992,19.70,2030
China,1993,20.96,2287
China,1994,22.04,2557
China,1995,22.41,2808
China,1996,23.47,3056
China,1997,23.40,3306
China,1998,23.25,3534
China,1999,23.92,3774
China,2000,24.53,4066
China,2001,25.57,4372
China,2002,27.75,4744
China,2003,32.36,5192
China,2004,37.57,5684
China,2005,42.45,6298
China,2006,46.26,7057
China,2007,49.95,8014
China,2008,51.07,8744
China,2009,53.12,9519
China,2010,56.16,10476
China,2011,60.42,11405
China,2012,61.92,12218
China,2013,63.66,13081
China,2014,64.38,13969
China,2015,64.54,14857
China,2016,64.14,15773
China,2017,66.05,16758
China,2018,68.71,17807
China,2019,70.59,18821
China,2020,72.28,19215
China,2021,76.16,20843
China,2022,77.48,21499
China,2023,82.43,22687
China,2024,85.14,23841
China,2025,87.17,25067
France,1990,125.21,38656
France,1991,133.23,38938
France,1992,132.71,39332
France,1993,132.60,39021
France,1994,129.41,39801
France,1995,133.40,40571
France,1996,138.88,40991
France,1997,136.44,41877
France,1998,139.37,43163
France,1999,139.65,44400
France,2000,141.28,45922
France,2001,141.19,46455
France,2002,140.88,46611
France,2003,142.03,46731
France,2004,142.65,47720
France,2005,141.52,48257
France,2006,139.32,49223
France,2007,136.11,50158
France,2008,135.51,50068
France,2009,127.42,48405
France,2010,130.79,49130
France,2011,127.33,50086
France,2012,125.22,49936
France,2013,125.17,50067
France,2014,120.16,50327
France,2015,121.35,50683
France,2016,117.91,50984
France,2017,117.78,51896
France,2018,117.98,52561
France,2019,115.05,53449
France,2020,101.25,49311
France,2021,108.34,52517
France,2022,94.90,53674
France,2023,98.21,54297
France,2024,102.95,54799
France,2025,103.05,55125
Germany,1990,143.94,42355
Germany,1991,139.46,44196
Germany,1992,135.49,44744
Germany,1993,133.90,44018
Germany,1994,132.06,45005
Germany,1995,132.24,45548
Germany,1996,136.41,45888
Germany,1997,134.43,46671
Germany,1998,133.77,47642
Germany,1999,132.31,48625
Germany,2000,132.40,49956
Germany,2001,134.84,50688
Germany,2002,132.61,50487
Germany,2003,132.75,50192
Germany,2004,132.28,50786
Germany,2005,130.76,51265
Germany,2006,134.51,53307
Germany,2007,128.64,54921
Germany,2008,130.45,55514
Germany,2009,122.56,52569
Germany,2010,127.77,54826
Germany,2011,121.84,57951
Germany,2012,122.75,58110
Germany,2013,125.89,58182
Germany,2014,119.74,59203
Germany,2015,119.75,59669
Germany,2016,120.77,60505
Germany,2017,122.36,61965
Germany,2018,118.28,62481
Germany,2019,114.07,62950
Germany,2020,105.06,60300
Germany,2021,109.42,62631
Germany,2022,102.41,63778
Germany,2023,91.25,63140
Germany,2024,90.58,62655
Germany,2025,90.91,62824
Japan,1990,113.76,36138
Japan,1991,116.08,37226
Japan,1992,117.67,37403
Japan,1993,118.90,37089
