series,wh_per_kg,glider_kg,batt_kg,range_km,kwh_per_100km
Lead-acid 40 Wh/kg,40,740,25,12.3,9.58
Lead-acid 40 Wh/kg,40,740,50,24.1,9.77
Lead-acid 40 Wh/kg,40,740,75,35.5,9.95
Lead-acid 40 Wh/kg,40,740,100,46.4,10.14
Lead-acid 40 Wh/kg,40,740,125,57.0,10.33
Lead-acid 40 Wh/kg,40,740,150,67.1,10.51
Lead-acid 40 Wh/kg,40,740,175,77.0,10.70
Lead-acid 40 Wh/kg,40,740,200,86.4,10.89
Lead-acid 40 Wh/kg,40,740,225,95.6,11.07
Lead-acid 40 Wh/kg,40,740,250,104.5,11.26
Lead-acid 40 Wh/kg,40,740,275,113.0,11.45
Lead-acid 40 Wh/kg,40,740,300,121.3,11.64
Lead-acid 40 Wh/kg,40,740,325,129.4,11.82
Lead-acid 40 Wh/kg,40,740,350,137.1,12.01
Lead-acid 40 Wh/kg,40,740,375,144.7,12.20
Lead-acid 40 Wh/kg,40,740,400,152.0,12.38
Lead-acid 40 Wh/kg,40,740,425,159.1,12.57
Lead-acid 40 Wh/kg,40,740,450,166.0,12.76
Lead-acid 40 Wh/kg,40,740,475,172.7,12.94
Lead-acid 40 Wh/kg,40,740,500,179.2,13.13
Lead-acid 40 Wh/kg,40,740,525,185.5,13.32
Lead-acid 40 Wh/kg,40,740,550,191.6,13.51
Lead-acid 40 Wh/kg,40,740,575,197.6,13.69
Lead-acid 40 Wh/kg,40,740,600,203.4,13.88
Lead-acid 40 Wh/kg,40,740,625,209.1,14.07
Lead-acid 40 Wh/kg,40,740,650,214.6,14.25
Lead-acid 40 Wh/kg,40,740,675,220.0,14.44
Lead-acid 40 Wh/kg,40,740,700,225.2,14.63
Lead-acid 40 Wh/kg,40,740,725,230.3,14.81
Lead-acid 40 Wh/kg,40,740,750,235.3,15.00
Lead-acid 40 Wh/kg,40,740,775,240.1,15.19
Lead-acid 40 Wh/kg,40,740,800,244.9,15.38
Lead-acid 40 Wh/kg,40,740,825,249.5,15.56
Lead-acid 40 Wh/kg,40,740,850,254.0,15.75
Lead-acid 40 Wh/kg,40,740,875,258.4,15.94
Lead-acid 40 Wh/kg,40,740,900,262.7,16.12
Lead-acid 40 Wh/kg,40,740,925,266.9,16.31
Lead-acid 40 Wh/kg,40,740,950,271.0,16.50
Lead-acid 40 Wh/kg,40,740,975,275.0,16.68
Lead-acid 40 Wh/kg,40,740,1000,278.9,16.87
Lead-acid 40 Wh/kg,40,740,1025,282.8,17.06
Lead-acid 40 Wh/kg,40,740,1050,286.5,17.25
Lead-acid 40 Wh/kg,40,740,1075,290.2,17.43
Lead-acid 40 Wh/kg,40,740,1100,293.8,17.62
Lead-acid 40 Wh/kg,40,740,1125,297.3,17.81
Lead-acid 40 Wh/kg,40,740,1150,300.8,17.99
Lead-acid 40 Wh/kg,40,740,1175,304.1,18.18
Lead-acid 40 Wh/kg,40,740,1200,307.4,18.37
Lead-acid 40 Wh/kg,40,740,1225,310.7,18.55
Lead-acid 40 Wh/kg,40,740,1250,313.9,18.74
Lead-acid 40 Wh/kg,40,740,1275,317.0,18.93
Lead-acid 40 Wh/kg,40,740,1300,320.0,19.12
Lead-acid 40 Wh/kg,40,740,1325,323.0,19.30
Lead-acid 40 Wh/kg,40,740,1350,326.0,19.49
Lead-acid 40 Wh/kg,40,740,1375,328.9,19.68
Lead-acid 40 Wh/kg,40,740,1400,331.7,19.86
Lead-acid 40 Wh/kg,40,740,1425,334.5,20.05
Lead-acid 40 Wh/kg,40,740,1450,337.2,20.24
Lead-acid 40 Wh/kg,40,740,1475,339.8,20.42
Lead-acid 40 Wh/kg,40,740,1500,342.5,20.61
Lead-acid 40 Wh/kg,40,740,1525,345.0,20.80
Lead-acid 40 Wh/kg,40,740,1550,347.6,20.99
Lead-acid 40 Wh/kg,40,740,1575,350.1,21.17
Lead-acid 40 Wh/kg,40,740,1600,352.5,21.36
Lead-acid 40 Wh/kg,40,740,1625,354.9,21.55
Lead-acid 40 Wh/kg,40,740,1650,357.3,21.73
Lead-acid 40 Wh/kg,40,740,1675,359.6,21.92
Lead-acid 40 Wh/kg,40,740,1700,361.9,22.11
Lead-acid 40 Wh/kg,40,740,1725,364.1,22.29
Lead-acid 40 Wh/kg,40,740,1750,366.3,22.48
Lead-acid 40 Wh/kg,40,740,1775,368.5,22.67
Lead-acid 40 Wh/kg,40,740,1800,370.6,22.86
Lead-acid 40 Wh/kg,40,740,1825,372.7,23.04
Lead-acid 40 Wh/kg,40,740,1850,374.8,23.23
Lead-acid 40 Wh/kg,40,740,1875,376.8,23.42
Lead-acid 40 Wh/kg,40,740,1900,378.8,23.60
Lead-acid 40 Wh/kg,40,740,1925,380.8,23.79
Lead-acid 40 Wh/kg,40,740,1950,382.7,23.98
Lead-acid 40 Wh/kg,40,740,1975,384.6,24.16
