country,year,share
China,2015,1.1
China,2016,1.5
China,2017,2.4
China,2018,4.7
China,2019,5.0
China,2020,5.7
China,2021,16.0
China,2022,29.0
China,2023,38.0
China,2024,48.0
China,2025,53.0
Norway,2015,22.0
Norway,2016,29.0
Norway,2017,39.0
Norway,2018,49.0
Norway,2019,56.0
Norway,2020,75.0
Norway,2021,86.0
Norway,2022,89.0
Norway,2023,90.0
Norway,2024,92.0
Norway,2025,97.0
Sweden,2015,2.4
Sweden,2016,3.4
Sweden,2017,5.1
Sweden,2018,7.6
Sweden,2019,11.0
Sweden,2020,32.0
Sweden,2021,43.0
Sweden,2022,54.0
Sweden,2023,60.0
Sweden,2024,58.0
Sweden,2025,61.0
United Kingdom,2015,1.1
United Kingdom,2016,1.4
United Kingdom,2017,1.9
United Kingdom,2018,2.6
United Kingdom,2019,3.2
United Kingdom,2020,11.0
United Kingdom,2021,18.0
United Kingdom,2022,22.0
United Kingdom,2023,23.0
United Kingdom,2024,27.0
United Kingdom,2025,35.0
United States,2015,0.7
United States,2016,1.0
United States,2017,1.3
United States,2018,2.3
United States,2019,2.1
United States,2020,2.3
United States,2021,4.7
United States,2022,7.7
United States,2023,9.7
United States,2024,10.0
United States,2025,10.0
World,2015,0.7
World,2016,1.0
World,2017,1.4
World,2018,2.4
World,2019,2.7
World,2020,4.4
World,2021,9.3
World,2022,15.0
World,2023,18.0
World,2024,21.0
World,2025,25.0
