country,year,kwh_d,gdp
China,1990,17.96,1667
China,1991,18.65,1798
China,1992,19.40,2030
China,1993,20.60,2287
China,1994,21.55,2557
China,1995,21.87,2808
China,1996,22.94,3056
China,1997,22.85,3306
China,1998,22.70,3534
China,1999,23.38,3774
China,2000,23.92,4066
China,2001,24.84,4372
China,2002,26.95,4744
China,2003,31.45,5192
China,2004,36.47,5684
China,2005,41.23,6298
China,2006,44.93,7057
China,2007,48.45,8014
China,2008,49.18,8744
China,2009,51.20,9519
China,2010,54.01,10476
China,2011,58.18,11405
China,2012,59.19,12218
China,2013,60.65,13081
China,2014,60.86,13969
China,2015,60.61,14857
China,2016,59.70,15773
China,2017,61.13,16758
China,2018,63.17,17807
China,2019,64.57,18821
China,2020,65.82,19215
China,2021,68.98,20843
China,2022,69.80,21499
China,2023,74.16,22687
China,2024,75.53,23841
China,2025,76.31,25067
France,1990,76.59,38656
France,1991,82.13,38938
France,1992,80.30,39332
France,1993,76.34,39021
France,1994,73.80,39801
France,1995,75.72,40571
France,1996,78.80,40991
France,1997,76.85,41877
France,1998,81.16,43163
France,1999,80.34,44400
France,2000,79.70,45922
France,2001,78.80,46455
France,2002,77.36,46611
France,2003,78.39,46731
France,2004,78.43,47720
France,2005,77.55,48257
France,2006,75.64,49223
France,2007,73.67,50158
France,2008,72.65,50068
France,2009,68.88,48405
France,2010,69.70,49130
France,2011,65.26,50086
France,2012,64.73,49936
France,2013,64.56,50067
France,2014,58.27,50327
France,2015,59.59,50683
France,2016,60.33,50984
France,2017,61.22,51896
France,2018,58.85,52561
France,2019,57.83,53449
France,2020,49.75,49311
France,2021,53.74,52517
France,2022,51.24,53674
France,2023,48.13,54297
France,2024,47.01,54799
France,2025,45.98,55125
Germany,1990,127.31,42355
Germany,1991,123.52,44196
Germany,1992,118.40,44744
Germany,1993,117.43,44018
Germany,1994,115.80,45005
Germany,1995,115.66,45548
Germany,1996,119.17,45888
Germany,1997,116.28,46671
Germany,1998,116.32,47642
Germany,1999,113.81,48625
Germany,2000,113.60,49956
Germany,2001,115.71,50688
Germany,2002,113.77,50487
Germany,2003,113.61,50192
Germany,2004,112.36,50786
Germany,2005,110.47,51265
Germany,2006,112.69,53307
Germany,2007,108.31,54921
Germany,2008,108.96,55514
Germany,2009,102.18,52569
Germany,2010,106.24,54826
Germany,2011,102.76,57951
Germany,2012,103.36,58110
Germany,2013,106.40,58182
Germany,2014,99.76,59203
Germany,2015,99.51,59669
Germany,2016,101.32,60505
Germany,2017,102.93,61965
Germany,2018,98.66,62481
Germany,2019,94.04,62950
Germany,2020,85.48,60300
Germany,2021,89.99,62631
Germany,2022,86.00,63778
Germany,2023,77.15,63140
Germany,2024,76.92,62655
Germany,2025,77.13,62824
