series,kmh,mpg,kwh_per_100km
1973 study (13 cars),48.3,21.1,99.2
1973 study (13 cars),56.3,21.1,99.2
1973 study (13 cars),64.4,21.1,99.2
1973 study (13 cars),72.4,20.3,103.2
1973 study (13 cars),80.5,19.5,107.4
1973 study (13 cars),88.5,18.5,113.2
1973 study (13 cars),96.6,17.5,119.7
1973 study (13 cars),104.6,16.2,129.3
1973 study (13 cars),112.7,14.9,140.5
1984 study (15 cars),24.1,21.1,99.2
1984 study (15 cars),32.2,25.5,82.1
1984 study (15 cars),40.2,30.0,69.8
1984 study (15 cars),48.3,31.8,65.8
1984 study (15 cars),56.3,33.6,62.3
1984 study (15 cars),64.4,33.6,62.3
1984 study (15 cars),72.4,33.5,62.5
1984 study (15 cars),80.5,31.9,65.6
1984 study (15 cars),88.5,30.3,69.1
1984 study (15 cars),96.6,27.6,75.9
1984 study (15 cars),104.6,24.9,84.1
1984 study (15 cars),112.7,22.5,93.1
1984 study (15 cars),120.7,20.0,104.7
1997 study (9 cars),24.1,24.4,85.8
1997 study (9 cars),32.2,27.9,75.1
1997 study (9 cars),40.2,30.5,68.7
1997 study (9 cars),48.3,31.7,66.1
1997 study (9 cars),56.3,31.2,67.1
1997 study (9 cars),64.4,31.0,67.5
1997 study (9 cars),72.4,31.6,66.3
1997 study (9 cars),80.5,32.4,64.6
1997 study (9 cars),88.5,32.4,64.6
1997 study (9 cars),96.6,31.4,66.7
1997 study (9 cars),104.6,29.2,71.7
1997 study (9 cars),112.7,26.8,78.1
1997 study (9 cars),120.7,24.8,84.4
2012 study (74 cars),64.4,33.2,63.1
2012 study (74 cars),80.5,31.9,65.6
2012 study (74 cars),96.6,27.9,75.1
2012 study (74 cars),112.7,24.1,86.9
2012 study (74 cars),128.7,20.5,102.1
2016 model: midsize car,72.4,43.0,48.7
2016 model: midsize car,88.5,45.0,46.5
2016 model: midsize car,104.6,38.0,55.1
2016 model: midsize car,120.7,32.0,65.4
2016 model: large SUV,72.4,35.0,59.8
2016 model: large SUV,88.5,31.0,67.5
2016 model: large SUV,104.6,29.0,72.2
2016 model: large SUV,120.7,25.0,83.8
2016 model: hybrid car,72.4,55.0,38.1
2016 model: hybrid car,88.5,46.0,45.5
2016 model: hybrid car,104.6,38.0,55.1
2016 model: hybrid car,120.7,33.0,63.5
