ts,gw
2025-01-13T00:00:00Z,25.17
2025-01-13T00:30:00Z,25.94
2025-01-13T01:00:00Z,26.10
2025-01-13T01:30:00Z,25.68
2025-01-13T02:00:00Z,25.19
2025-01-13T02:30:00Z,24.97
2025-01-13T03:00:00Z,24.09
2025-01-13T03:30:00Z,23.91
2025-01-13T04:00:00Z,23.49
2025-01-13T04:30:00Z,23.69
2025-01-13T05:00:00Z,24.00
2025-01-13T05:30:00Z,24.97
2025-01-13T06:00:00Z,27.75
2025-01-13T06:30:00Z,31.05
2025-01-13T07:00:00Z,34.44
2025-01-13T07:30:00Z,36.32
2025-01-13T08:00:00Z,37.77
2025-01-13T08:30:00Z,38.58
2025-01-13T09:00:00Z,39.69
2025-01-13T09:30:00Z,39.47
2025-01-13T10:00:00Z,39.13
2025-01-13T10:30:00Z,39.02
2025-01-13T11:00:00Z,39.46
2025-01-13T11:30:00Z,39.25
2025-01-13T12:00:00Z,39.64
2025-01-13T12:30:00Z,39.87
2025-01-13T13:00:00Z,39.71
2025-01-13T13:30:00Z,39.47
2025-01-13T14:00:00Z,39.50
2025-01-13T14:30:00Z,39.57
2025-01-13T15:00:00Z,39.62
2025-01-13T15:30:00Z,40.39
2025-01-13T16:00:00Z,41.47
2025-01-13T16:30:00Z,42.65
2025-01-13T17:00:00Z,43.00
2025-01-13T17:30:00Z,42.91
2025-01-13T18:00:00Z,42.34
2025-01-13T18:30:00Z,41.59
2025-01-13T19:00:00Z,40.53
2025-01-13T19:30:00Z,39.32
2025-01-13T20:00:00Z,38.41
2025-01-13T20:30:00Z,36.90
2025-01-13T21:00:00Z,34.84
2025-01-13T21:30:00Z,32.91
2025-01-13T22:00:00Z,30.80
2025-01-13T22:30:00Z,28.88
2025-01-13T23:00:00Z,27.54
2025-01-13T23:30:00Z,26.44
2025-01-14T00:00:00Z,26.61
2025-01-14T00:30:00Z,26.96
2025-01-14T01:00:00Z,26.66
2025-01-14T01:30:00Z,26.16
2025-01-14T02:00:00Z,25.75
2025-01-14T02:30:00Z,25.30
2025-01-14T03:00:00Z,24.89
2025-01-14T03:30:00Z,24.42
2025-01-14T04:00:00Z,24.15
2025-01-14T04:30:00Z,24.06
2025-01-14T05:00:00Z,24.76
2025-01-14T05:30:00Z,25.93
2025-01-14T06:00:00Z,28.75
2025-01-14T06:30:00Z,31.99
2025-01-14T07:00:00Z,35.30
2025-01-14T07:30:00Z,37.10
2025-01-14T08:00:00Z,38.16
2025-01-14T08:30:00Z,38.37
2025-01-14T09:00:00Z,39.13
2025-01-14T09:30:00Z,39.01
2025-01-14T10:00:00Z,38.89
2025-01-14T10:30:00Z,38.57
2025-01-14T11:00:00Z,38.31
2025-01-14T11:30:00Z,37.85
2025-01-14T12:00:00Z,38.01
2025-01-14T12:30:00Z,37.66
2025-01-14T13:00:00Z,37.52
2025-01-14T13:30:00Z,37.59
2025-01-14T14:00:00Z,37.66
2025-01-14T14:30:00Z,37.91
2025-01-14T15:00:00Z,38.03
2025-01-14T15:30:00Z,39.33
2025-01-14T16:00:00Z,40.82
2025-01-14T16:30:00Z,41.87
2025-01-14T17:00:00Z,42.19
2025-01-14T17:30:00Z,42.66
2025-01-14T18:00:00Z,41.98
2025-01-14T18:30:00Z,41.25
2025-01-14T19:00:00Z,39.82
2025-01-14T19:30:00Z,38.86
2025-01-14T20:00:00Z,37.89
2025-01-14T20:30:00Z,36.81
2025-01-14T21:00:00Z,34.83
2025-01-14T21:30:00Z,33.01
2025-01-14T22:00:00Z,31.20
2025-01-14T22:30:00Z,29.43
2025-01-14T23:00:00Z,27.27
2025-01-14T23:30:00Z,26.44
2025-01-15T00:00:00Z,26.44
2025-01-15T00:30:00Z,26.91
2025-01-15T01:00:00Z,26.38
2025-01-15T01:30:00Z,25.68
2025-01-15T02:00:00Z,25.07
2025-01-15T02:30:00Z,24.80
2025-01-15T03:00:00Z,24.45
2025-01-15T03:30:00Z,23.99
2025-01-15T04:00:00Z,23.61
2025-01-15T04:30:00Z,23.64
2025-01-15T05:00:00Z,24.30
2025-01-15T05:30:00Z,25.41
2025-01-15T06:00:00Z,28.26
2025-01-15T06:30:00Z,30.86
2025-01-15T07:00:00Z,33.99
2025-01-15T07:30:00Z,35.69
2025-01-15T08:00:00Z,36.65
2025-01-15T08:30:00Z,36.97
2025-01-15T09:00:00Z,37.73
2025-01-15T09:30:00Z,37.82
2025-01-15T10:00:00Z,37.72
2025-01-15T10:30:00Z,37.42
2025-01-15T11:00:00Z,37.04
2025-01-15T11:30:00Z,36.54
2025-01-15T12:00:00Z,36.25
2025-01-15T12:30:00Z,35.94
2025-01-15T13:00:00Z,35.62
2025-01-15T13:30:00Z,35.47
2025-01-15T14:00:00Z,35.67
2025-01-15T14:30:00Z,35.87
2025-01-15T15:00:00Z,36.21
2025-01-15T15:30:00Z,37.44
2025-01-15T16:00:00Z,38.69
2025-01-15T16:30:00Z,40.01
2025-01-15T17:00:00Z,40.96
2025-01-15T17:30:00Z,41.08
2025-01-15T18:00:00Z,40.83
2025-01-15T18:30:00Z,40.00
2025-01-15T19:00:00Z,38.82
2025-01-15T19:30:00Z,37.90
2025-01-15T20:00:00Z,37.33
2025-01-15T20:30:00Z,36.09
2025-01-15T21:00:00Z,34.38
2025-01-15T21:30:00Z,33.24
2025-01-15T22:00:00Z,31.41
2025-01-15T22:30:00Z,29.64
2025-01-15T23:00:00Z,27.47
2025-01-15T23:30:00Z,26.48
2025-01-16T00:00:00Z,26.69
2025-01-16T00:30:00Z,27.27
2025-01-16T01:00:00Z,26.66
2025-01-16T01:30:00Z,26.11
2025-01-16T02:00:00Z,25.87
2025-01-16T02:30:00Z,25.75
2025-01-16T03:00:00Z,24.99
2025-01-16T03:30:00Z,24.55
2025-01-16T04:00:00Z,24.21
2025-01-16T04:30:00Z,24.37
2025-01-16T05:00:00Z,24.95
2025-01-16T05:30:00Z,26.05
2025-01-16T06:00:00Z,28.87
2025-01-16T06:30:00Z,31.45
2025-01-16T07:00:00Z,33.84
2025-01-16T07:30:00Z,35.51
2025-01-16T08:00:00Z,36.78
2025-01-16T08:30:00Z,37.26
2025-01-16T09:00:00Z,38.06
2025-01-16T09:30:00Z,37.87
2025-01-16T10:00:00Z,37.73
2025-01-16T10:30:00Z,37.67
2025-01-16T11:00:00Z,37.22
2025-01-16T11:30:00Z,36.67
2025-01-16T12:00:00Z,36.50
2025-01-16T12:30:00Z,36.58
2025-01-16T13:00:00Z,36.90
2025-01-16T13:30:00Z,36.83
2025-01-16T14:00:00Z,36.72
2025-01-16T14:30:00Z,36.95
2025-01-16T15:00:00Z,37.73
2025-01-16T15:30:00Z,38.32
2025-01-16T16:00:00Z,39.36
2025-01-16T16:30:00Z,41.02
2025-01-16T17:00:00Z,41.40
2025-01-16T17:30:00Z,41.22
2025-01-16T18:00:00Z,40.64
2025-01-16T18:30:00Z,39.95
2025-01-16T19:00:00Z,39.16
2025-01-16T19:30:00Z,38.40
2025-01-16T20:00:00Z,37.16
2025-01-16T20:30:00Z,36.01
2025-01-16T21:00:00Z,34.52
2025-01-16T21:30:00Z,32.35
2025-01-16T22:00:00Z,30.57
2025-01-16T22:30:00Z,28.71
2025-01-16T23:00:00Z,26.71
2025-01-16T23:30:00Z,25.88
2025-01-17T00:00:00Z,25.68
2025-01-17T00:30:00Z,25.88
