Entity,Code,Year,Agriculture,Land-use change and forestry,Waste,Buildings,Industry,Manufacturing and construction,Transport,Electricity and heat,Fugitive emissions,Other fuel combustion,Aviation and shipping
World,OWID_WRL,1990,5159209984,2312100096,1343219968,3232640000,1093420032,3967889920,4726279680,8624079872,2618149888,771460032,634820032
World,OWID_WRL,1991,5139689984,2312100096,1369079936,3262669824,1099859968,3891870208,4764569600,8766550016,2618020096,772169984,642580032
World,OWID_WRL,1992,5121809920,2312100096,1439250048,3155610112,1112979968,3760000000,4872520192,8922909696,2551899904,687580032,679849984
World,OWID_WRL,1993,5090299904,2312540160,1506610048,3226139904,1122040064,3706370048,4915559936,8973129728,2558469888,699680000,671929984
World,OWID_WRL,1994,5134859776,2312209920,1575389952,3141449984,1174499968,3721820160,5013539840,9073999872,2559290112,669830016,697889984
World,OWID_WRL,1995,5187049984,2317810176,1583449984,3222360064,1250569984,3944930048,5150940160,9264320512,2634520064,621120000,724369984
World,OWID_WRL,1996,5216009728,2123840128,1587819904,3288409856,1285930112,3827500032,5360880128,9629209600,2698020096,548129984,745129984
World,OWID_WRL,1997,5141740032,3123190016,1584989952,3274129920,1326489984,3852179968,5438929920,9902130176,2708640000,596809984,770800000
World,OWID_WRL,1998,5195939840,2435330048,1578569984,3119610112,1312480000,3849949952,5565349888,10128119808,2687899904,573270016,795020032
World,OWID_WRL,1999,5253440000,2237060096,1578790016,3192509952,1314169984,3694600192,5729789952,10190950400,2669220096,582430016,837000000
World,OWID_WRL,2000,5249690112,2081649920,1583550080,3173199872,1357200000,3847429888,5911510016,10585950208,2787360000,524229984,862140032
World,OWID_WRL,2001,5253459968,184840000,1562530048,3192339968,1380870016,3866189824,5941910016,10849489920,2807270144,536440000,829489984
World,OWID_WRL,2002,5311220224,714770048,1566420096,3198289920,1439840000,3873080064,6097619968,11033900032,2775200000,538340032,868499968
World,OWID_WRL,2003,5307069952,401730016,1568960000,3285080064,1536849920,4063860224,6225560064,11650480128,2960560128,557929984,874349952
World,OWID_WRL,2004,5415859712,780179968,1561360000,3327639808,1637840000,4490990080,6513600000,12033800192,3051980032,593030016,960400000
World,OWID_WRL,2005,5453819904,493300000,1558489984,3328150016,1750160000,4907939840,6658200064,12406280192,3187590144,618539968,1006120000
World,OWID_WRL,2006,5513439744,864099968,1574300032,3300150016,1875680000,5144029696,6813640192,12907240448,3221889792,628440000,1058880000
World,OWID_WRL,2007,5590720000,324880000,1586099968,3284719872,2007030016,5429299712,7027120128,13468460032,3266629888,630569984,1109859968
World,OWID_WRL,2008,5599879680,268570016,1601170048,3347580160,2046520064,5531569664,7033080320,13497709568,3284499968,651950016,1118280064
World,OWID_WRL,2009,5597129728,671280000,1613139968,3293199872,2090580096,5517420032,6892389888,13283489792,3231600128,612820032,1064420032
World,OWID_WRL,2010,5653960192,347690016,1630189952,3346279936,2231879936,6028310016,7187759616,14195299328,3342790144,625449984,1136770048
World,OWID_WRL,2011,5782960128,-168350000,1614860032,3286230016,2370310144,6252780032,7307549696,14814340096,3453469952,620849984,1150920064
World,OWID_WRL,2012,5805020160,-135830000,1636220032,3223069952,2454919936,6293850112,7355680256,15110860800,3470739968,631909952,1096370048
World,OWID_WRL,2013,5749170176,-188790000,1654800000,3333629952,2567170048,6330700288,7547310080,15410669568,3485779968,645449984,1103360000
World,OWID_WRL,2014,5802990080,168060000,1702620032,3281250048,2659490048,6390759936,7673140224,15340440576,3515600128,641059968,1139410048
World,OWID_WRL,2015,5824990208,203320000,1737689984,3301019904,2618600192,6268200448,7913990144,15078219776,3456800000,640020032,1193420032
World,OWID_WRL,2016,5861970432,27940000,1763360000,3328489984,2712689920,6118499840,8079220224,15096450048,3379229952,638080000,1237420032
World,OWID_WRL,2017,5945480192,-18020000,1794329984,3399110144,2814590208,6044899840,8274219520,15450420224,3386790144,642849984,1293400064
World,OWID_WRL,2018,5923689984,149850000,1823170048,3427310080,2918249984,6121229824,8481469952,15863179264,3471889920,627609984,1322180096
World,OWID_WRL,2019,5914629632,431209984,1849510016,3379330048,3023470080,6126040064,8561490432,15782370304,3532969984,603009984,1316349952
World,OWID_WRL,2020,6041129984,19920000,1869160064,3328350208,3093440000,6028179968,7422919680,15311129600,3260950016,585500032,932140032
World,OWID_WRL,2021,6093049856,248600000,1887219968,3368709888,3193929984,6162450432,8006360064,16444560384,3318579968,580249984,987169984
World,OWID_WRL,2022,6109929984,202490000,1900359936,3290649856,3158000128,6147520000,8304929792,16651350016,3349889792,606099968,1124199936
World,OWID_WRL,2023,6241410048,466730016,1948849920,3201989888,3172719872,6204729856,8483360256,17006499840,3431770112,604129984,1223920000
