country,ghg_t,gdp,kwh_d,hdi
Afghanistan,0.93,1984,2.66,0.496
Albania,2.51,20502,23.76,0.810
Algeria,6.04,15159,44.65,0.763
Angola,4.38,8598,7.37,0.616
Antigua and Barbuda,7.49,28712,90.60,0.851
Argentina,9.38,27230,55.22,0.865
Armenia,3.53,19403,45.04,0.811
Australia,23.12,60685,156.43,0.958
Austria,7.58,64536,91.94,0.930
Azerbaijan,5.85,21311,56.92,0.789
Bahamas,8.39,35221,95.16,0.820
Bahrain,40.09,57820,422.17,0.899
Bangladesh,1.37,8242,8.32,0.685
Barbados,5.29,20865,64.90,0.811
Belarus,10.41,27782,92.85,0.824
Belgium,9.14,63042,147.31,0.951
Belize,20.60,12371,27.25,0.721
Benin,2.86,3721,5.96,0.515
Bhutan,10.12,14610,54.85,0.698
Bolivia,12.44,11616,24.50,0.733
Bosnia and Herzegovina,8.50,19805,73.14,0.804
Botswana,8.67,18932,25.76,0.731
Brazil,13.35,19080,38.12,0.786
Brunei,33.95,76617,313.23,0.837
Bulgaria,6.38,33074,77.60,0.845
Burkina Faso,2.54,2486,2.92,0.459
Burundi,0.68,1033,0.78,0.439
Cambodia,5.25,6695,11.82,0.606
Cameroon,2.28,4875,3.26,0.588
Canada,20.99,58088,228.94,0.939
Cape Verde,1.56,9228,15.77,0.668
Central African Republic,12.02,1133,0.96,0.414
Chad,6.29,2434,1.07,0.416
Chile,5.40,29600,58.23,0.878
China,9.80,22687,82.43,0.797
Colombia,4.57,18407,26.98,0.788
Comoros,1.20,3508,4.82,0.603
Congo,6.91,6172,10.40,0.649
Costa Rica,2.90,26379,27.20,0.833
Cote d'Ivoire,4.39,6521,7.37,0.582
Croatia,5.78,41320,61.39,0.889
Cyprus,6.93,51675,62.12,0.913
Czechia,8.61,47558,107.58,0.915
Democratic Republic of Congo,6.61,1559,0.88,0.522
Denmark,7.84,68994,68.43,0.962
Djibouti,1.81,6511,8.22,0.513
Dominica,2.95,18278,31.09,0.761
Dominican Republic,4.17,23282,31.95,0.776
East Timor,3.52,4331,5.32,0.634
Ecuador,3.46,14321,29.21,0.777
Egypt,2.82,16691,25.24,0.754
El Salvador,1.49,11404,21.14,0.678
Equatorial Guinea,6.39,15302,53.46,0.674
Estonia,9.49,41285,107.91,0.905
Eswatini,1.42,10182,15.30,0.695
Ethiopia,1.88,2758,1.88,0.497
Fiji,1.38,13195,29.41,0.731
Finland,15.68,56052,147.36,0.948
France,5.19,54297,98.21,0.920
Gabon,11.19,18701,18.31,0.733
Gambia,1.10,2964,2.27,0.524
Georgia,3.32,22591,48.72,0.844
Germany,8.08,63140,91.25,0.959
Ghana,1.51,6809,8.65,0.628
Greece,5.46,36701,71.09,0.908
Grenada,3.31,17093,37.78,0.791
Guatemala,3.65,12380,14.55,0.662
Guinea,5.45,3905,4.07,0.500
Guinea-Bissau,3.67,2661,1.84,0.514
Guyana,15.47,49312,54.50,0.776
Haiti,1.05,2939,1.68,0.554
Honduras,3.16,6468,14.77,0.645
Hong Kong,5.18,64388,92.33,0.955
Hungary,5.02,40333,71.07,0.870
Iceland,12.32,69268,613.62,0.972
India,2.87,8871,19.61,0.685
Indonesia,6.90,13890,27.91,0.728
Iran,11.05,17045,108.20,0.799
Iraq,8.79,13202,41.05,0.695
Ireland,11.65,117660,83.67,0.949
Israel,7.21,47671,86.26,0.919
Italy,6.18,52843,71.04,0.915
Jamaica,3.06,11399,35.48,0.720
Japan,8.30,47387,102.78,0.925
Jordan,2.70,10309,25.84,0.754
Kazakhstan,18.31,34703,110.93,0.837
Kenya,1.82,5692,4.41,0.628
Kiribati,0.81,3175,6.63,0.644
Kuwait,33.80,47790,284.07,0.852
Kyrgyzstan,3.10,6576,21.97,0.720
Laos,8.23,8372,27.81,0.617
Latvia,7.38,37278,49.17,0.889
Lebanon,3.55,11330,33.35,0.752
Lesotho,2.71,2592,5.05,0.550
Liberia,4.47,1617,1.56,0.510
Libya,12.85,12477,83.74,0.721
Lithuania,7.76,46334,60.07,0.895
Luxembourg,11.68,130049,149.46,0.922
Madagascar,1.94,1630,1.42,0.487
Malawi,1.22,1649,1.05,0.517
Malaysia,10.71,32858,99.30,0.819
Maldives,4.62,22333,39.33,0.766
Mali,2.70,2861,3.25,0.419
Malta,3.66,60460,207.45,0.924
Mauritania,3.59,6276,10.44,0.563
Mauritius,4.21,26471,48.56,0.806
Mexico,4.88,21865,46.61,0.789
Micronesia (country),1.78,3841,16.66,0.615
Moldova,2.20,15981,28.25,0.785
Mongolia,29.96,16223,58.02,0.747
Montenegro,2.06,27243,50.42,0.862
Morocco,2.70,8915,18.67,0.710
Mozambique,1.79,1513,4.62,0.493
Myanmar,3.47,5364,6.53,0.609
Namibia,5.77,10126,17.25,0.665
Nauru,5.14,11859,78.70,0.703
Nepal,1.99,4861,4.60,0.622
Netherlands,8.30,70199,130.23,0.955
New Zealand,15.90,49593,133.75,0.938
Nicaragua,5.51,7497,10.58,0.706
Niger,1.97,1713,1.55,0.419
Nigeria,1.71,7843,6.01,0.560
North Macedonia,4.90,23455,43.54,0.815
Norway,10.49,94365,154.37,0.970
Oman,22.43,37794,234.86,0.858
Pakistan,1.91,5419,9.45,0.544
Panama,4.83,35873,64.03,0.839
Papua New Guinea,4.23,4206,7.87,0.576
Paraguay,9.84,15832,18.16,0.756
Peru,4.36,15342,23.54,0.794
Philippines,2.53,9899,16.50,0.720
Poland,8.84,43673,75.72,0.906
Portugal,5.36,41768,57.37,0.890
Qatar,48.00,116159,561.32,0.886
Romania,4.75,40117,46.00,0.845
Russia,18.38,39881,160.89,0.832
Rwanda,0.70,3168,1.54,0.578
Saint Kitts and Nevis,6.03,30617,67.18,0.840
Saint Lucia,3.06,23636,39.66,0.748
Saint Vincent and the Grenadines,2.68,17858,30.57,0.798
Samoa,0.97,7385,17.92,0.708
Sao Tome and Principe,1.29,5541,7.89,0.637
Saudi Arabia,24.12,64482,261.40,0.900
Senegal,1.92,4305,7.52,0.530
Serbia,6.40,25735,71.18,0.833
Seychelles,5.86,28714,84.99,0.848
Sierra Leone,1.96,3035,2.19,0.467
Singapore,10.07,130297,458.25,0.946
Slovakia,4.38,39502,92.10,0.880
Slovenia,8.38,47986,86.81,0.931
Solomon Islands,4.30,2340,4.38,0.584
Somalia,2.57,1402,0.99,0.404
South Africa,8.56,13695,58.41,0.741
South Korea,12.23,54029,189.58,0.937
Spain,5.64,47323,78.78,0.918
Sri Lanka,1.79,13065,10.32,0.776
Sudan,2.66,2181,3.69,0.511
Suriname,9.02,19021,42.74,0.722
Sweden,5.45,62123,119.81,0.959
Switzerland,4.50,85383,80.84,0.970
Tajikistan,1.99,4472,13.20,0.691
Tanzania,2.68,3621,3.20,0.555
Thailand,6.27,21245,53.00,0.798
Togo,1.46,3216,4.38,0.571
Tonga,2.63,7031,22.20,0.769
Trinidad and Tobago,27.99,31197,298.80,0.807
Tunisia,3.52,12651,27.42,0.746
Turkey,7.52,35069,58.12,0.853
Turkmenistan,18.02,17686,159.96,0.764
Uganda,1.28,2791,1.76,0.582
Ukraine,5.94,15917,45.59,0.779
United Arab Emirates,23.48,70240,355.85,0.940
United Kingdom,5.63,53423,71.05,0.946
United States,17.70,74352,201.99,0.938
Uruguay,11.77,31101,42.16,0.862
Uzbekistan,5.35,10514,44.33,0.740
Vanuatu,1.34,3783,10.96,0.621
Vietnam,5.62,13535,31.94,0.766
Zambia,4.77,3673,6.74,0.595
Zimbabwe,1.90,5218,9.00,0.598
