country,elec_eur_kwh,gas_eur_kwh,ratio
AT,0.3272,0.1221,2.68
BA,0.0966,0.0502,1.92
BE,0.3499,0.0898,3.90
BG,0.1355,0.0648,2.09
CZ,0.3217,0.0961,3.35
DE,0.3869,0.1223,3.16
DK,0.3312,0.1257,2.63
EE,0.2303,0.0760,3.03
EL,0.2378,0.0918,2.59
ES,0.2669,0.0955,2.79
EU27_2020,0.2896,0.1228,2.36
FR,0.2561,0.1436,1.78
GE,0.0731,0.0161,4.54
HR,0.1658,0.0543,3.05
HU,0.1082,0.0335,3.23
IE,0.4042,0.1300,3.11
IT,0.2966,0.1481,2.00
LI,0.3062,0.1290,2.37
LT,0.1955,0.0684,2.86
LU,0.2665,0.0891,2.99
LV,0.2452,0.0826,2.97
MD,0.1967,0.0947,2.08
MK,0.1161,0.1155,1.01
NL,0.2558,0.1719,1.49
PT,0.2434,0.1405,1.73
RO,0.2893,0.0566,5.11
SE,0.2711,0.2092,1.30
SI,0.2121,0.0871,2.44
SK,0.1853,0.0608,3.05
TR,0.0636,0.0232,2.74
UK,0.3013,0.0846,3.56
