country,year,prod_twh,cons_twh,net_twh,people,net_kwh_per_day
Denmark,1980,0.0,0.0,0.0,5123079,0.00
Denmark,1981,0.0,0.0,0.0,5121628,0.00
Denmark,1982,0.0,0.0,0.0,5117897,0.00
Denmark,1983,0.5,0.1,0.3,5114468,0.18
Denmark,1984,2.4,1.2,1.2,5111831,0.66
Denmark,1985,11.7,6.7,5.0,5113878,2.67
Denmark,1986,19.8,12.0,7.9,5120691,4.21
Denmark,1987,25.3,15.2,10.1,5127134,5.40
Denmark,1988,25.0,18.5,6.4,5129650,3.44
Denmark,1989,32.0,19.7,12.3,5132717,6.56
Denmark,1990,32.7,21.0,11.7,5141024,6.21
Denmark,1991,41.1,24.3,16.8,5154346,8.93
Denmark,1992,42.8,25.5,17.3,5171372,9.14
Denmark,1993,47.0,28.7,18.2,5188638,9.63
Denmark,1994,50.9,32.1,18.8,5206188,9.89
Denmark,1995,55.1,37.1,17.9,5233364,9.39
Denmark,1996,66.9,43.8,23.2,5263071,12.07
Denmark,1997,81.9,45.7,36.2,5285041,18.78
Denmark,1998,78.9,49.3,29.6,5304263,15.27
Denmark,1999,80.9,51.7,29.2,5321814,15.01
Denmark,2000,85.0,51.0,34.0,5339659,17.43
Denmark,2001,87.4,53.3,34.1,5358825,17.42
Denmark,2002,87.6,53.8,33.8,5375967,17.20
Denmark,2003,82.9,54.4,28.5,5390621,14.50
Denmark,2004,98.3,54.2,44.2,5404594,22.39
Denmark,2005,109.1,52.0,57.1,5419550,28.88
Denmark,2006,108.4,53.0,55.4,5437425,27.94
Denmark,2007,96.2,47.5,48.7,5461604,24.41
Denmark,2008,104.9,47.7,57.2,5493762,28.52
Denmark,2009,87.6,45.8,41.7,5523169,20.70
Denmark,2010,85.4,51.8,33.5,5547865,16.55
Denmark,2011,68.6,43.5,25.1,5570848,12.34
Denmark,2012,59.9,40.6,19.3,5591911,9.46
Denmark,2013,49.7,38.3,11.4,5615333,5.58
Denmark,2014,48.0,32.9,15.1,5643795,7.34
Denmark,2015,47.9,33.1,14.8,5683698,7.15
Denmark,2016,47.0,33.7,13.3,5728196,6.38
Denmark,2017,50.5,32.2,18.3,5765164,8.72
Denmark,2018,42.9,31.2,11.7,5793824,5.54
Denmark,2019,32.0,29.0,3.0,5814618,1.43
Denmark,2020,13.8,23.2,-9.4,5831529,-4.40
Denmark,2021,14.7,23.8,-9.1,5856774,-4.28
Denmark,2022,14.7,16.6,-1.9,5902901,-0.89
Denmark,2023,13.5,15.5,-2.0,5948134,-0.94
Denmark,2024,16.8,16.2,0.6,5977417,0.27
Denmark,2025,30.7,15.9,14.8,6002515,6.75
Netherlands,1965,17.0,15.0,2.0,12301136,0.45
Netherlands,1966,34.1,28.6,5.5,12464283,1.21
Netherlands,1967,68.3,50.6,17.7,12607835,3.85
Netherlands,1968,137.9,85.0,52.9,12740851,11.37
Netherlands,1969,213.9,125.3,88.6,12890641,18.83
Netherlands,1970,279.2,176.4,102.8,13052082,21.57
Netherlands,1971,385.8,230.6,155.3,13208353,32.21
Netherlands,1972,514.4,300.0,214.4,13342780,44.03
Netherlands,1973,625.6,333.6,291.9,13453743,59.45
Netherlands,1974,741.7,355.0,386.7,13559671,78.13
Netherlands,1975,803.3,370.3,433.1,13680033,86.73
Netherlands,1976,858.3,384.4,473.9,13786641,94.17
