country,year,prod_twh,cons_twh,net_twh,people,net_kwh_per_day
Denmark,1965,0.0,123.1,-123.1,4758837,-70.88
Denmark,1966,0.0,140.2,-140.2,4797199,-80.09
Denmark,1967,0.0,148.3,-148.3,4835223,-84.04
Denmark,1968,0.0,161.2,-161.2,4864801,-90.79
Denmark,1969,0.0,193.8,-193.8,4891798,-108.56
Denmark,1970,0.0,215.6,-215.6,4928674,-119.85
Denmark,1971,0.0,212.8,-212.8,4963064,-117.50
Denmark,1972,1.1,225.2,-224.1,4991569,-122.98
Denmark,1973,1.7,208.2,-206.5,5021765,-112.67
Denmark,1974,1.1,188.5,-187.4,5045639,-101.75
Denmark,1975,1.7,186.3,-184.6,5060403,-99.95
Denmark,1976,2.3,198.2,-196.0,5072803,-105.84
Denmark,1977,5.7,198.0,-192.3,5088571,-103.54
Denmark,1978,4.5,197.5,-193.0,5104341,-103.58
Denmark,1979,4.5,188.9,-184.4,5116862,-98.74
Denmark,1980,3.4,161.3,-157.9,5123079,-84.45
Denmark,1981,8.5,152.0,-143.5,5121628,-76.74
Denmark,1982,19.3,130.9,-111.6,5117897,-59.77
Denmark,1983,24.4,123.9,-99.5,5114468,-53.29
Denmark,1984,26.7,122.4,-95.7,5111831,-51.31
Denmark,1985,34.0,126.2,-92.2,5113878,-49.38
Denmark,1986,41.9,124.5,-82.6,5120691,-44.18
Denmark,1987,52.7,114.7,-62.0,5127134,-33.12
Denmark,1988,54.6,114.0,-59.4,5129650,-31.75
Denmark,1989,63.5,109.8,-46.3,5132717,-24.71
Denmark,1990,68.6,107.8,-39.2,5141024,-20.89
Denmark,1991,80.5,109.5,-29.0,5154346,-15.42
Denmark,1992,89.2,108.0,-18.8,5171372,-9.94
Denmark,1993,95.2,114.0,-18.8,5188638,-9.91
Denmark,1994,104.8,120.4,-15.5,5206188,-8.17
Denmark,1995,105.4,126.8,-21.4,5233364,-11.18
Denmark,1996,118.2,136.7,-18.5,5263071,-9.61
Denmark,1997,130.4,130.6,-0.3,5285041,-0.15
Denmark,1998,134.9,127.2,7.7,5304263,3.95
Denmark,1999,169.5,126.2,43.3,5321814,22.29
Denmark,2000,206.3,122.8,83.5,5339659,42.84
Denmark,2001,197.2,120.5,76.8,5358825,39.24
Denmark,2002,210.3,114.1,96.2,5375967,49.01
Denmark,2003,208.6,109.9,98.7,5390621,50.16
Denmark,2004,221.6,108.0,113.7,5404594,57.63
Denmark,2005,215.4,108.9,106.4,5419550,53.80
Denmark,2006,195.8,111.9,84.0,5437425,42.31
Denmark,2007,176.4,113.0,63.4,5461604,31.81
Denmark,2008,163.2,110.8,52.4,5493762,26.16
Denmark,2009,150.1,99.0,51.1,5523169,25.35
Denmark,2010,141.4,100.2,41.1,5547865,20.32
Denmark,2011,127.2,97.0,30.2,5570848,14.85
Denmark,2012,116.1,90.1,26.0,5591911,12.72
Denmark,2013,101.0,89.3,11.7,5615333,5.72
Denmark,2014,94.6,89.6,5.0,5643795,2.42
Denmark,2015,89.4,90.5,-1.1,5683698,-0.52
Denmark,2016,80.5,89.3,-8.7,5728196,-4.18
Denmark,2017,78.4,88.4,-10.1,5765164,-4.79
Denmark,2018,65.7,89.7,-24.0,5793824,-11.36
Denmark,2019,58.4,90.0,-31.6,5814618,-14.89
Denmark,2020,40.9,75.4,-34.5,5831529,-16.20
Denmark,2021,37.6,77.0,-39.4,5856774,-18.43
Denmark,2022,37.0,83.2,-46.1,5902901,-21.41
Denmark,2023,34.0,80.8,-46.8,5948134,-21.58
Denmark,2024,34.4,82.8,-48.5,5977417,-22.22
Denmark,2025,41.1,76.6,-35.6,6002515,-16.24
Norway,1965,0.0,60.3,-60.3,3723173,-44.38
Norway,1966,0.0,68.1,-68.1,3752788,-49.71
Norway,1967,0.0,70.5,-70.5,3784111,-51.04
Norway,1968,0.0,78.4,-78.4,3816089,-56.29
Norway,1969,0.0,86.2,-86.2,3847304,-61.38
Norway,1970,0.0,97.0,-97.0,3875351,-68.59
Norway,1971,3.4,96.0,-92.6,3902754,-65.00
Norway,1972,18.8,100.6,-81.8,3932913,-56.96
Norway,1973,18.2,102.2,-84.0,3960597,-58.11
Norway,1974,19.9,93.0,-73.1,3985283,-50.25
Norway,1975,107.3,96.2,11.0,4007368,7.54
Norway,1976,158.8,106.4,52.3,4026219,35.61
Norway,1977,162.9,104.9,58.0,4043259,39.31
Norway,1978,202.0,116.7,85.4,4058668,57.63
Norway,1979,226.8,116.0,110.8,4072499,74.52
Norway,1980,291.3,112.1,179.2,4085603,120.20
Norway,1981,282.5,104.2,178.3,4099675,119.18
Norway,1982,293.4,100.1,193.3,4114742,128.73
Norway,1983,365.2,98.3,266.8,4128332,177.09
Norway,1984,418.2,102.2,316.0,4139970,209.10
Norway,1985,456.0,107.2,348.8,4152399,230.14
Norway,1986,500.5,115.0,385.5,4167252,253.45
Norway,1987,582.8,114.6,468.2,4186818,306.41
Norway,1988,662.7,107.6,555.1,4209470,361.27
Norway,1989,871.2,108.8,762.4,4226914,494.13
Norway,1990,955.3,108.7,846.7,4241440,546.89
Norway,1991,1091.4,100.8,990.6,4261618,636.86
Norway,1992,1243.3,101.1,1142.1,4286255,730.02
Norway,1993,1327.3,103.2,1224.1,4311864,777.76
Norway,1994,1495.4,107.9,1387.6,4336467,876.64
Norway,1995,1609.6,109.1,1500.5,4358991,943.10
Norway,1996,1798.7,119.8,1678.9,4381137,1049.92
Norway,1997,1816.9,119.3,1697.6,4404988,1055.87
Norway,1998,1739.9,120.6,1619.2,4431308,1001.12
Norway,1999,1740.7,120.9,1619.8,4461789,994.62
Norway,2000,1871.6,111.3,1760.3,4490864,1073.93
Norway,2001,1881.3,120.8,1760.6,4513650,1068.64
Norway,2002,1830.3,117.1,1713.2,4538016,1034.29
Norway,2003,1783.7,123.2,1660.5,4564666,996.62
Norway,2004,1747.1,118.6,1628.5,4591739,971.68
Norway,2005,1610.0,120.5,1489.5,4623120,882.68
Norway,2006,1498.6,123.6,1375.0,4660487,808.31
Norway,2007,1377.4,127.1,1250.3,4709017,727.42
Norway,2008,1331.1,119.7,1211.4,4768097,696.05
Norway,2009,1260.4,119.2,1141.2,4828625,647.53
Norway,2010,1146.6,124.7,1021.9,4889160,572.66
Norway,2011,1085.8,124.1,961.8,4952969,531.99
Norway,2012,1012.3,123.8,888.5,5018453,485.06
Norway,2013,964.5,122.4,842.1,5080126,454.15
Norway,2014,988.2,116.5,871.7,5137397,464.87
Norway,2015,1019.2,113.3,905.9,5189777,478.25
Norway,2016,1050.3,113.2,937.1,5235974,490.33
Norway,2017,1033.6,119.7,913.9,5276807,474.52
Norway,2018,969.0,117.0,852.0,5311751,439.44
Norway,2019,914.7,114.7,800.0,5347733,409.87
Norway,2020,1070.5,104.9,965.6,5379275,491.81
Norway,2021,1092.2,106.3,985.9,5408082,499.47
Norway,2022,1035.1,109.1,926.0,5456796,464.93
Norway,2023,1100.6,108.6,992.0,5519167,492.42
Norway,2024,1090.0,102.2,987.8,5576656,485.27
Norway,2025,1119.0,104.2,1014.9,5623074,494.47
