year,uk_kbd,no_kbd,dk_kbd,total_kbd,price_2025usd
1965,1.7,0.0,0.0,1.7,18.46
1966,1.6,0.0,0.0,1.6,17.92
1967,1.8,0.0,0.0,1.8,17.43
1968,1.7,0.0,0.0,1.7,16.72
1969,1.8,0.0,0.0,1.8,15.85
1970,3.5,0.0,0.0,3.5,14.98
1971,4.9,6.0,0.0,10.9,17.87
1972,7.9,33.0,2.0,42.9,19.16
1973,8.8,32.0,3.0,43.8,23.94
1974,9.8,35.0,2.0,46.8,75.88
1975,33.9,189.0,3.0,225.9,69.22
1976,254.4,279.0,4.0,537.4,72.67
1977,798.6,287.0,10.0,1095.6,74.21
1978,1127.3,356.0,8.0,1491.3,69.44
1979,1623.4,407.0,8.0,2038.4,140.73
1980,1676.1,528.0,6.0,2210.1,144.40
1981,1867.7,512.0,15.0,2394.7,127.68
1982,2166.7,532.0,34.0,2732.7,110.39
1983,2422.1,661.0,43.0,3126.1,95.86
1984,2652.1,752.0,47.0,3451.1,89.51
1985,2695.4,823.0,60.0,3578.4,82.78
1986,2691.0,907.0,74.0,3672.0,42.54
1987,2612.3,1054.0,93.0,3759.3,52.42
1988,2413.9,1196.0,96.0,3705.9,40.77
1989,1943.3,1567.0,112.0,3622.3,47.50
1990,1932.8,1716.0,121.0,3769.8,58.67
1991,1933.6,1955.0,142.0,4030.6,47.45
1992,1995.9,2217.0,157.0,4369.9,44.49
1993,2134.8,2377.0,168.0,4679.8,37.96
1994,2694.4,2693.0,185.0,5572.4,34.48
1995,2769.2,2903.0,186.0,5858.2,36.08
1996,2755.1,3232.0,208.0,6195.1,42.58
1997,2721.4,3280.0,230.0,6231.4,38.43
1998,2848.7,3138.0,238.0,6224.7,25.20
1999,2949.5,3139.0,299.0,6387.5,34.86
2000,2709.8,3348.7,363.0,6421.5,53.47
2001,2513.6,3402.9,348.0,6264.5,44.60
2002,2499.8,3321.9,371.0,6192.6,44.95
2003,2291.1,3252.5,368.0,5911.7,50.64
2004,2059.3,3180.9,390.0,5630.2,65.46
2005,1837.8,2962.1,380.0,5179.9,90.20
2006,1661.6,2772.7,345.5,4779.8,104.41
2007,1654.7,2551.0,311.3,4516.9,112.80
2008,1554.4,2466.2,287.2,4307.8,145.95
2009,1473.9,2350.0,264.8,4088.6,92.88
2010,1358.2,2139.2,249.5,3746.8,117.79
2011,1113.8,2039.6,224.5,3377.9,159.81
2012,947.3,1917.4,204.2,3068.9,157.15
2013,865.3,1837.7,178.2,2881.2,150.70
2014,853.6,1886.3,166.8,2906.7,135.04
2015,963.5,1946.0,157.8,3067.3,71.41
2016,1014.8,1996.5,141.7,3153.0,58.88
2017,1005.4,1971.8,138.2,3115.4,71.43
2018,1091.8,1851.4,115.9,3059.1,91.76
2019,1118.1,1739.3,103.0,2960.3,81.15
2020,1048.7,2004.5,72.0,3125.3,52.23
2021,874.1,2028.6,66.4,2969.1,84.55
2022,808.8,1902.6,65.4,2776.8,111.86
2023,715.0,2020.5,60.0,2795.5,87.63
2024,653.2,2000.5,60.5,2714.1,83.18
2025,669.4,2045.4,72.4,2787.3,69.10
