country,year,twh
US,1965,3.85
US,1966,5.81
US,1967,8.06
US,1968,13.19
US,1969,14.66
US,1970,22.95
US,1971,40.11
US,1972,56.94
US,1973,87.87
US,1974,119.97
US,1975,181.58
US,1976,201.16
US,1977,264.09
US,1978,290.95
US,1979,268.58
US,1980,264.33
US,1981,287.02
US,1982,297.66
US,1983,309.13
US,1984,344.88
US,1985,403.88
US,1986,435.83
US,1987,479.23
US,1988,554.71
US,1989,557.22
US,1990,607.22
US,1991,644.81
US,1992,651.34
US,1993,642.41
US,1994,674.15
US,1995,708.84
US,1996,710.24
US,1997,661.73
US,1998,709.16
US,1999,766.58
US,2000,793.57
US,2001,809.29
US,2002,821.12
US,2003,803.93
US,2004,830.03
US,2005,823.14
US,2006,828.65
US,2007,848.87
US,2008,848.64
US,2009,840.90
US,2010,849.44
US,2011,831.79
US,2012,809.82
US,2013,830.54
US,2014,839.12
US,2015,839.13
US,2016,848.10
US,2017,847.32
US,2018,849.56
US,2019,852.01
US,2020,831.45
US,2021,820.68
US,2022,812.14
US,2023,815.66
US,2024,823.02
US,2025,826.08
France,1965,0.90
France,1966,1.40
France,1967,2.08
France,1968,3.09
France,1969,3.60
France,1970,5.71
France,1971,9.33
France,1972,14.59
France,1973,14.75
France,1974,14.71
France,1975,18.25
France,1976,15.78
France,1977,17.94
France,1978,30.45
France,1979,39.96
France,1980,61.25
France,1981,105.33
France,1982,108.92
France,1983,144.26
France,1984,191.23
France,1985,224.10
France,1986,254.15
France,1987,265.52
France,1988,275.52
France,1989,303.93
France,1990,314.08
France,1991,331.34
France,1992,338.45
France,1993,368.19
France,1994,359.98
France,1995,377.23
France,1996,397.34
France,1997,395.48
France,1998,387.99
France,1999,394.24
France,2000,415.16
France,2001,421.08
France,2002,436.76
France,2003,441.07
France,2004,448.24
France,2005,451.53
France,2006,450.19
France,2007,439.73
France,2008,439.45
France,2009,409.74
France,2010,428.52
France,2011,442.39
France,2012,425.41
France,2013,423.68
France,2014,436.48
France,2015,437.43
France,2016,403.20
France,2017,398.36
France,2018,412.94
France,2019,399.01
France,2020,353.83
France,2021,379.36
France,2022,294.73
France,2023,338.20
France,2024,380.45
France,2025,390.05
Germany,1965,0.12
Germany,1966,0.27
Germany,1967,1.23
Germany,1968,1.77
Germany,1969,4.94
Germany,1970,6.49
Germany,1971,6.22
Germany,1972,9.52
Germany,1973,12.11
Germany,1974,14.46
Germany,1975,24.14
Germany,1976,29.53
Germany,1977,41.26
Germany,1978,43.87
Germany,1979,52.06
Germany,1980,55.59
Germany,1981,65.53
Germany,1982,74.43
Germany,1983,78.06
Germany,1984,104.32
Germany,1985,138.64
Germany,1986,130.49
Germany,1987,141.73
Germany,1988,156.82
Germany,1989,161.67
Germany,1990,152.50
Germany,1991,147.40
Germany,1992,158.80
Germany,1993,153.50
Germany,1994,151.20
Germany,1995,154.10
Germany,1996,161.61
Germany,1997,170.33
Germany,1998,161.60
Germany,1999,170.00
Germany,2000,169.61
Germany,2001,171.31
Germany,2002,164.84
Germany,2003,165.06
Germany,2004,167.06
Germany,2005,163.04
Germany,2006,167.36
Germany,2007,140.53
Germany,2008,148.78
Germany,2009,134.93
Germany,2010,140.56
Germany,2011,107.97
Germany,2012,99.46
Germany,2013,97.29
Germany,2014,97.13
Germany,2015,91.79
Germany,2016,84.63
Germany,2017,76.32
Germany,2018,76.00
Germany,2019,75.07
Germany,2020,64.38
Germany,2021,69.13
Germany,2022,34.71
Germany,2023,7.22
Germany,2024,0.00
Germany,2025,0.00
China,1965,0.00
China,1966,0.00
China,1967,0.00
China,1968,0.00
China,1969,0.00
China,1970,0.00
China,1971,0.00
China,1972,0.00
China,1973,0.00
China,1974,0.00
China,1975,0.00
China,1976,0.00
China,1977,0.00
China,1978,0.00
China,1979,0.00
China,1980,0.00
China,1981,0.00
China,1982,0.00
China,1983,0.00
China,1984,0.00
China,1985,0.00
China,1986,0.00
China,1987,0.00
China,1988,0.00
China,1989,0.00
China,1990,0.00
China,1991,0.00
China,1992,0.00
China,1993,1.60
China,1994,14.76
China,1995,12.83
China,1996,14.34
China,1997,14.42
China,1998,14.10
China,1999,14.95
China,2000,16.74
China,2001,17.47
China,2002,25.13
China,2003,43.34
China,2004,50.47
China,2005,53.09
China,2006,54.84
China,2007,62.13
China,2008,68.39
China,2009,70.05
China,2010,74.74
China,2011,87.20
China,2012,98.32
China,2013,111.50
China,2014,133.22
China,2015,171.38
China,2016,213.18
China,2017,248.10
China,2018,295.00
China,2019,348.70
China,2020,366.20
China,2021,407.50
China,2022,417.78
China,2023,434.72
China,2024,450.85
China,2025,485.23
Total World,1965,25.54
Total World,1966,34.43
Total World,1967,41.01
Total World,1968,52.11
Total World,1969,61.78
Total World,1970,78.87
Total World,1971,109.70
Total World,1972,152.18
Total World,1973,203.90
Total World,1974,266.60
Total World,1975,369.85
Total World,1976,432.67
Total World,1977,538.55
Total World,1978,625.79
Total World,1979,650.86
Total World,1980,711.92
Total World,1981,840.75
Total World,1982,912.18
Total World,1983,1033.81
Total World,1984,1254.57
Total World,1985,1488.92
Total World,1986,1594.74
Total World,1987,1734.73
Total World,1988,1891.25
Total World,1989,1945.01
Total World,1990,2000.60
Total World,1991,2096.31
Total World,1992,2112.22
Total World,1993,2184.96
Total World,1994,2225.98
Total World,1995,2322.53
Total World,1996,2406.61
Total World,1997,2390.06
Total World,1998,2431.19
Total World,1999,2523.71
Total World,2000,2580.67
Total World,2001,2653.54
Total World,2002,2695.94
Total World,2003,2641.32
Total World,2004,2761.36
Total World,2005,2768.61
Total World,2006,2803.11
Total World,2007,2745.97
Total World,2008,2737.45
Total World,2009,2698.72
Total World,2010,2768.57
Total World,2011,2652.24
Total World,2012,2472.36
Total World,2013,2490.17
Total World,2014,2541.53
Total World,2015,2575.84
Total World,2016,2614.05
Total World,2017,2637.00
Total World,2018,2699.73
Total World,2019,2796.79
Total World,2020,2691.21
Total World,2021,2802.70
Total World,2022,2680.40
Total World,2023,2736.69
Total World,2024,2815.30
Total World,2025,2845.39
