Entity,Code,Year,Share of new cars that are electric
Australia,AUS,2011,0.0061
Australia,AUS,2012,0.029
Australia,AUS,2013,0.033
Australia,AUS,2014,0.15
Australia,AUS,2015,0.19
Australia,AUS,2016,0.15
Australia,AUS,2017,0.25
Australia,AUS,2018,0.42
Australia,AUS,2019,1.2
Australia,AUS,2020,0.98
Australia,AUS,2021,2.7
Australia,AUS,2022,5.1
Australia,AUS,2023,11
Australia,AUS,2024,12
Australia,AUS,2025,15
Austria,AUT,2013,0.2
Austria,AUT,2014,0.57
Austria,AUT,2015,0.9
Austria,AUT,2016,1.5
Austria,AUT,2017,2
Austria,AUT,2018,2.6
Austria,AUT,2019,3.5
Austria,AUT,2020,9.5
Austria,AUT,2021,20
Austria,AUT,2022,22
Austria,AUT,2023,27
Austria,AUT,2024,24
Austria,AUT,2025,31
Belgium,BEL,2010,0.01
Belgium,BEL,2011,0.052
Belgium,BEL,2012,0.19
Belgium,BEL,2013,0.11
Belgium,BEL,2014,0.41
Belgium,BEL,2015,0.76
Belgium,BEL,2016,1.7
Belgium,BEL,2017,2.6
Belgium,BEL,2018,2.4
Belgium,BEL,2019,3.2
Belgium,BEL,2020,11
Belgium,BEL,2021,18
Belgium,BEL,2022,26
Belgium,BEL,2023,41
Belgium,BEL,2024,43
Belgium,BEL,2025,44
Brazil,BRA,2010,0.00035
Brazil,BRA,2011,0.00028
Brazil,BRA,2012,0.0013
Brazil,BRA,2013,0.0024
Brazil,BRA,2014,0.0022
Brazil,BRA,2015,0.0042
Brazil,BRA,2016,0.011
Brazil,BRA,2017,0.023
Brazil,BRA,2018,0.02
Brazil,BRA,2019,0.084
Brazil,BRA,2020,0.16
Brazil,BRA,2021,0.92
Brazil,BRA,2022,1.2
Brazil,BRA,2023,3
Brazil,BRA,2024,6.4
Brazil,BRA,2025,9
Bulgaria,BGR,2015,0.09
Bulgaria,BGR,2016,0.05
Bulgaria,BGR,2017,0.34
Bulgaria,BGR,2018,0.64
Bulgaria,BGR,2019,0.67
Bulgaria,BGR,2021,2.2
Bulgaria,BGR,2022,4
Bulgaria,BGR,2023,5.8
Bulgaria,BGR,2024,5
Bulgaria,BGR,2025,6
Cambodia,KHM,2021,0.059
Cambodia,KHM,2022,0.45
Cambodia,KHM,2023,0.67
Cambodia,KHM,2024,2.9
Cambodia,KHM,2025,5
Canada,CAN,2011,0.041
Canada,CAN,2012,0.14
Canada,CAN,2013,0.22
Canada,CAN,2014,0.35
Canada,CAN,2015,0.45
Canada,CAN,2016,0.76
Canada,CAN,2017,1
Canada,CAN,2018,2.8
Canada,CAN,2019,3.4
Canada,CAN,2020,4.2
Canada,CAN,2021,6.4
Canada,CAN,2022,9.5
Canada,CAN,2023,13
Canada,CAN,2024,17
Canada,CAN,2025,11
Chile,CHL,2011,0.0024
Chile,CHL,2012,0.002
Chile,CHL,2013,0.0019
Chile,CHL,2014,0.0079
Chile,CHL,2015,0.019
Chile,CHL,2016,0.015
Chile,CHL,2017,0.064
Chile,CHL,2018,0.08
Chile,CHL,2019,0.14
Chile,CHL,2020,0.2
Chile,CHL,2021,0.29
Chile,CHL,2022,0.6
Chile,CHL,2023,0.75
Chile,CHL,2024,2.1
Chile,CHL,2025,4
China,CHN,2010,0.01
China,CHN,2011,0.034
China,CHN,2012,0.073
China,CHN,2013,0.096
China,CHN,2014,0.41
China,CHN,2015,1.1
China,CHN,2016,1.5
China,CHN,2017,2.4
China,CHN,2018,4.7
China,CHN,2019,5
China,CHN,2020,5.7
China,CHN,2021,16
China,CHN,2022,29
China,CHN,2023,38
China,CHN,2024,48
China,CHN,2025,53
Colombia,COL,2011,0.00042
Colombia,COL,2012,0.011
Colombia,COL,2013,0.0096
Colombia,COL,2014,0.01
Colombia,COL,2015,0.017
Colombia,COL,2016,0.025
Colombia,COL,2017,0.074
Colombia,COL,2018,0.26
Colombia,COL,2019,0.56
Colombia,COL,2020,0.77
Colombia,COL,2021,1.4
Colombia,COL,2022,2.2
Colombia,COL,2023,3.6
Colombia,COL,2024,7.6
Colombia,COL,2025,10
Costa Rica,CRI,2015,0.029
Costa Rica,CRI,2016,0.22
Costa Rica,CRI,2017,0.082
Costa Rica,CRI,2018,0.84
Costa Rica,CRI,2019,1.2
Costa Rica,CRI,2020,2.5
Costa Rica,CRI,2021,3.6
Costa Rica,CRI,2022,7.6
Costa Rica,CRI,2023,10
Costa Rica,CRI,2024,15
Costa Rica,CRI,2025,17
Croatia,HRV,2019,0.41
Croatia,HRV,2020,1.9
Croatia,HRV,2021,3.8
Croatia,HRV,2022,5
Croatia,HRV,2023,4.6
Croatia,HRV,2024,4.9
Croatia,HRV,2025,5.4
Cyprus,CYP,2019,0.19
Cyprus,CYP,2020,1.4
Cyprus,CYP,2021,1.7
Cyprus,CYP,2022,5.4
Cyprus,CYP,2023,8.8
Cyprus,CYP,2024,12
Cyprus,CYP,2025,15
Czechia,CZE,2015,0.13
Czechia,CZE,2016,0.08
Czechia,CZE,2017,0.14
Czechia,CZE,2018,0.38
Czechia,CZE,2019,0.49
Czechia,CZE,2020,2.5
Czechia,CZE,2021,3.1
Czechia,CZE,2022,3.9
Czechia,CZE,2023,5.4
Czechia,CZE,2024,6.8
Czechia,CZE,2025,10
Denmark,DNK,2011,0.25
Denmark,DNK,2012,0.29
Denmark,DNK,2013,0.28
Denmark,DNK,2014,0.91
Denmark,DNK,2015,2.3
Denmark,DNK,2016,0.85
Denmark,DNK,2017,0.6
Denmark,DNK,2018,2.1
Denmark,DNK,2019,4.2
Denmark,DNK,2020,16
Denmark,DNK,2021,35
Denmark,DNK,2022,38
Denmark,DNK,2023,46
Denmark,DNK,2024,56
Denmark,DNK,2025,71
Estonia,EST,2015,0.16
Estonia,EST,2016,0.15
Estonia,EST,2017,0.18
Estonia,EST,2018,0.46
Estonia,EST,2019,0.36
Estonia,EST,2020,1.8
Estonia,EST,2021,3.2
Estonia,EST,2022,5.4
Estonia,EST,2023,8.8
Estonia,EST,2024,10
Estonia,EST,2025,17
Europe,OWID_EUR,2010,0.012
Europe,OWID_EUR,2011,0.074
Europe,OWID_EUR,2012,0.2
Europe,OWID_EUR,2013,0.43
Europe,OWID_EUR,2014,0.68
Europe,OWID_EUR,2015,1
Europe,OWID_EUR,2016,1.4
Europe,OWID_EUR,2017,1.8
Europe,OWID_EUR,2018,2.3
Europe,OWID_EUR,2019,3.4
Europe,OWID_EUR,2020,10
Europe,OWID_EUR,2021,17
Europe,OWID_EUR,2022,21
Europe,OWID_EUR,2023,22
Europe,OWID_EUR,2024,21
Europe,OWID_EUR,2025,28
European Union (27),OWID_EU27,2010,0.01
European Union (27),OWID_EU27,2011,0.066
European Union (27),OWID_EU27,2012,0.19
European Union (27),OWID_EU27,2013,0.47
European Union (27),OWID_EU27,2014,0.56
European Union (27),OWID_EU27,2015,0.82
European Union (27),OWID_EU27,2016,1.1
European Union (27),OWID_EU27,2017,1.5
European Union (27),OWID_EU27,2018,1.9
European Union (27),OWID_EU27,2019,2.9
European Union (27),OWID_EU27,2020,10
European Union (27),OWID_EU27,2021,18
European Union (27),OWID_EU27,2022,21
European Union (27),OWID_EU27,2023,22
European Union (27),OWID_EU27,2024,21
European Union (27),OWID_EU27,2025,27
Finland,FIN,2011,0.025
Finland,FIN,2012,0.17
Finland,FIN,2013,0.21
Finland,FIN,2014,0.41
Finland,FIN,2015,0.6
Finland,FIN,2016,1.2
Finland,FIN,2017,2.6
Finland,FIN,2018,4.7
Finland,FIN,2019,6.9
Finland,FIN,2020,18
Finland,FIN,2021,31
Finland,FIN,2022,38
Finland,FIN,2023,54
Finland,FIN,2024,50
Finland,FIN,2025,57
France,FRA,2010,0.012
France,FRA,2011,0.12
France,FRA,2012,0.33
France,FRA,2013,0.53
France,FRA,2014,0.69
France,FRA,2015,1.2
France,FRA,2016,1.4
France,FRA,2017,1.7
France,FRA,2018,2
France,FRA,2019,2.7
France,FRA,2020,11
France,FRA,2021,17
France,FRA,2022,20
France,FRA,2023,25
France,FRA,2024,24
France,FRA,2025,26
Germany,DEU,2010,0.0049
Germany,DEU,2011,0.052
Germany,DEU,2012,0.11
Germany,DEU,2013,0.23
Germany,DEU,2014,0.45
Germany,DEU,2015,0.73
Germany,DEU,2016,0.74
Germany,DEU,2017,1.6
Germany,DEU,2018,2
Germany,DEU,2019,3
Germany,DEU,2020,14
Germany,DEU,2021,26
Germany,DEU,2022,31
Germany,DEU,2023,24
Germany,DEU,2024,20
Germany,DEU,2025,30
Greece,GRC,2013,0.0051
Greece,GRC,2014,0.055
Greece,GRC,2015,0.076
Greece,GRC,2016,0.12
Greece,GRC,2017,0.22
Greece,GRC,2018,0.29
Greece,GRC,2019,0.42
Greece,GRC,2020,2.7
Greece,GRC,2021,6.9
Greece,GRC,2022,7.9
Greece,GRC,2023,13
Greece,GRC,2024,12
Greece,GRC,2025,14
Hungary,HUN,2015,0.17
Hungary,HUN,2016,0.36
Hungary,HUN,2017,1
Hungary,HUN,2018,1.5
Hungary,HUN,2019,1.9
Hungary,HUN,2020,4.7
Hungary,HUN,2021,7
Hungary,HUN,2022,8.6
Hungary,HUN,2023,11
Hungary,HUN,2024,12
Hungary,HUN,2025,14
Iceland,ISL,2012,0.33
Iceland,ISL,2013,1.4
Iceland,ISL,2014,2.4
Iceland,ISL,2015,3.9
Iceland,ISL,2016,6.3
Iceland,ISL,2017,14
Iceland,ISL,2018,20
Iceland,ISL,2019,26
Iceland,ISL,2020,52
Iceland,ISL,2021,70
Iceland,ISL,2022,69
Iceland,ISL,2023,71
Iceland,ISL,2024,43
Iceland,ISL,2025,62
India,IND,2010,0.021
India,IND,2011,0.057
India,IND,2012,0.0073
India,IND,2013,0.016
India,IND,2014,0.038
India,IND,2015,0.017
India,IND,2016,0.026
India,IND,2017,0.031
India,IND,2018,0.03
India,IND,2019,0.024
India,IND,2020,0.12
India,IND,2021,0.41
India,IND,2022,1.4
India,IND,2023,2.1
India,IND,2024,2.1
India,IND,2025,4
Indonesia,IDN,2011,0.00034
Indonesia,IDN,2013,0.00024
Indonesia,IDN,2017,0.0032
Indonesia,IDN,2018,0.00023
Indonesia,IDN,2019,0.012
Indonesia,IDN,2020,0.097
Indonesia,IDN,2021,0.12
Indonesia,IDN,2022,1.4
Indonesia,IDN,2023,2.2
