speed_ms,drag_kn,lift_kn,total_kn
100,10.80,253.00,263.80
102,11.24,243.17,254.41
104,11.68,233.91,245.59
106,12.13,225.17,237.30
108,12.60,216.90,229.50
110,13.07,209.09,222.16
112,13.55,201.69,215.23
114,14.04,194.67,208.71
116,14.53,188.02,202.55
118,15.04,181.70,196.74
120,15.55,175.69,191.24
122,16.07,169.98,186.05
124,16.61,164.54,181.15
126,17.15,159.36,176.50
128,17.69,154.42,172.11
130,18.25,149.70,167.95
132,18.82,145.20,164.02
134,19.39,140.90,160.29
136,19.98,136.78,156.76
138,20.57,132.85,153.42
140,21.17,129.08,150.25
142,21.78,125.47,147.25
144,22.39,122.01,144.40
146,23.02,118.69,141.71
148,23.66,115.50,139.16
150,24.30,112.44,136.74
152,24.95,109.50,134.46
154,25.61,106.68,132.29
156,26.28,103.96,130.24
158,26.96,101.34,128.31
160,27.65,98.83,126.47
162,28.34,96.40,124.75
164,29.05,94.06,123.11
166,29.76,91.81,121.57
168,30.48,89.64,120.12
170,31.21,87.54,118.75
172,31.95,85.52,117.47
174,32.70,83.56,116.26
176,33.45,81.67,115.13
178,34.22,79.85,114.07
180,34.99,78.09,113.08
182,35.77,76.38,112.15
184,36.56,74.73,111.29
186,37.36,73.13,110.49
188,38.17,71.58,109.75
190,38.99,70.08,109.07
192,39.81,68.63,108.44
194,40.65,67.22,107.87
196,41.49,65.86,107.35
198,42.34,64.53,106.87
200,43.20,63.25,106.45
202,44.07,62.00,106.07
204,44.95,60.79,105.74
206,45.83,59.62,105.45
208,46.73,58.48,105.20
210,47.63,57.37,105.00
212,48.54,56.29,104.83
214,49.46,55.24,104.70
216,50.39,54.23,104.61
218,51.33,53.24,104.56
220,52.27,52.27,104.54
222,53.23,51.33,104.56
224,54.19,50.42,104.61
226,55.16,49.53,104.70
228,56.14,48.67,104.81
230,57.13,47.83,104.96
232,58.13,47.00,105.13
234,59.14,46.20,105.34
236,60.15,45.42,105.58
238,61.18,44.66,105.84
240,62.21,43.92,106.13
242,63.25,43.20,106.45
244,64.30,42.49,106.79
246,65.36,41.81,107.16
248,66.42,41.13,107.56
250,67.50,40.48,107.98
252,68.58,39.84,108.42
254,69.68,39.21,108.89
256,70.78,38.60,109.38
258,71.89,38.01,109.90
260,73.01,37.43,110.43
262,74.14,36.86,110.99
264,75.27,36.30,111.57
266,76.42,35.76,112.17
268,77.57,35.22,112.79
270,78.73,34.70,113.44
272,79.90,34.20,114.10
274,81.08,33.70,114.78
276,82.27,33.21,115.48
278,83.47,32.74,116.20
280,84.67,32.27,116.94
282,85.89,31.81,117.70
284,87.11,31.37,118.48
286,88.34,30.93,119.27
288,89.58,30.50,120.08
290,90.83,30.08,120.91
292,92.09,29.67,121.76
294,93.35,29.27,122.62
296,94.63,28.88,123.50
298,95.91,28.49,124.40
300,97.20,28.11,125.31
302,98.50,27.74,126.24
304,99.81,27.38,127.19
306,101.13,27.02,128.15
308,102.45,26.67,129.12
310,103.79,26.33,130.11
312,105.13,25.99,131.12
314,106.48,25.66,132.14
316,107.84,25.34,133.18
318,109.21,25.02,134.23
320,110.59,24.71,135.30
322,111.98,24.40,136.38
324,113.37,24.10,137.47
326,114.78,23.81,138.58
328,116.19,23.52,139.71
330,117.61,23.23,140.84
332,119.04,22.95,141.99
334,120.48,22.68,143.16
336,121.93,22.41,144.34
338,123.38,22.15,145.53
340,124.85,21.89,146.73
342,126.32,21.63,147.95
344,127.80,21.38,149.18
346,129.29,21.13,150.43
348,130.79,20.89,151.68
350,132.30,20.65,152.95
352,133.82,20.42,154.24
354,135.34,20.19,155.53
356,136.87,19.96,156.84
358,138.42,19.74,158.16
360,139.97,19.52,159.49
362,141.53,19.31,160.83
364,143.10,19.09,162.19
366,144.67,18.89,163.56
368,146.26,18.68,164.94
370,147.85,18.48,166.33
372,149.45,18.28,167.74
374,151.07,18.09,169.15
376,152.69,17.90,170.58
378,154.31,17.71,172.02
380,155.95,17.52,173.47
382,157.60,17.34,174.94
384,159.25,17.16,176.41
386,160.92,16.98,177.90
388,162.59,16.81,179.39
390,164.27,16.63,180.90
392,165.96,16.46,182.42
394,167.65,16.30,183.95
396,169.36,16.13,185.49
398,171.08,15.97,187.05
400,172.80,15.81,188.61
