year,uk,world
1700,6762353,595456896
1710,7251719,617975872
1720,7747930,648184768
1730,8251964,670899968
1740,8764948,702227776
1750,9288177,753279296
1760,9823145,788254976
1770,10371579,827951488
1780,10935473,900945152
1790,11517141,942261696
1800,10750000,983104755
1801,10866183,986464967
1802,10983623,989864750
1803,11102331,993304404
1804,11222322,996784263
1805,11343611,1000304675
1806,11466210,1003866016
1807,11590134,1007468698
1808,11715397,1011113144
1809,11842014,1014799822
1810,12325700,1020150076
1811,12826009,1025557675
1812,13468809,1031616616
1813,14263733,1038342722
1814,15105572,1045238421
1815,15997097,1052307852
1816,16941239,1059555372
1817,17941104,1066985519
1818,18999980,1074603043
1819,19925365,1082114553
1820,20706854,1089507052
1821,21333398,1096534977
1822,21793262,1103392066
1823,22073986,1110594705
1824,22358326,1117897019
1825,22646329,1125304048
1826,22938041,1132861806
1827,23233511,1140524282
1828,23532788,1148292956
1829,23823479,1155618460
1830,24105348,1162497339
1831,24378150,1168886301
1832,24641639,1174792985
1833,24895561,1180213555
1834,25152100,1185694036
1835,25411282,1191237685
1836,25673136,1196838401
1837,25937687,1202503348
1838,26204965,1208233715
1839,26428534,1213934891
1840,26607869,1219617217
1841,26742439,1225283810
1842,26831707,1230929323
1843,26875131,1236555463
1844,26918625,1242258939
1845,26962189,1248042343
1846,27005824,1253907423
1847,27049530,1259855932
1848,27093306,1265889730
1849,27161567,1271136843
1850,27254502,1275602897
1851,27371581,1278768180
1852,27513708,1281158448
1853,27681073,1282781891
1854,27849455,1284514999
1855,28018862,1286359120
1856,28189300,1288315736
1857,28360774,1290386388
1858,28533291,1292572700
1859,28719933,1295121860
1860,28920894,1298027373
1861,29136372,1301279942
1862,29366564,1304883100
1863,29611672,1308825538
1864,29858827,1312850777
1865,30108044,1316952210
1866,30359341,1321129252
1867,30612735,1325389634
1868,30868245,1329732282
1869,31134963,1334654211
1870,31413071,1340168478
1871,31702755,1346202715
1872,32004200,1352896118
1873,32317597,1360163018
1874,32634063,1367501771
1875,32953628,1374940414
