region,population,area_km2
Afghanistan,41500000,647000
Africa,1480000000,30000000
Alaska,733000,1480000
Albania,2810000,28700
Algeria,46200000,2380000
Angola,36700000,1240000
Argentina,45500000,2760000
Asia,4780000000,44500000
Australia,26500000,7680000
Austria,9130000,83800
Bangladesh,171000000,144000
Belarus,9120000,207000
Belgium,11700000,31000
Bolivia,12200000,1090000
Bosnia & Herzegovina,3190000,51100
Botswana,2480000,600000
Brazil,211000000,8510000
Bulgaria,6800000,110000
CAR,5150000,622000
Canada,39300000,9980000
Chad,19300000,1280000
Chile,19700000,756000
China,1420000000,9590000
Colombia,52300000,1130000
Croatia,3900000,56500
Czech Republic,10800000,78800
DRC,106000000,2340000
Denmark,5950000,43000
Egypt,115000000,1000000
England,57700000,130000
Estonia,1370000,45200
Ethiopia,129000000,1120000
Europe,747000000,9930000
European Union,451000000,4330000
Finland,5600000,338000
France,66400000,547000
Germany,84500000,357000
Greece,10200000,131000
Greenland,56000,2160000
Hong Kong,7440000,1090
Hungary,9690000,93000
Iceland,388000,103000
India,1440000000,3280000
Indonesia,281000000,1910000
Iran,90600000,1640000
Ireland,5200000,70200
Italy,59500000,301000
Japan,124000000,377000
Kazakhstan,20300000,2710000
Kenya,55300000,582000
Latin America,659000000,17800000
Latvia,1880000,64500
Libya,7310000,1750000
Lithuania,2850000,65200
Madagascar,31200000,587000
Mali,23800000,1240000
Malta,533000,316
Mauritania,5020000,1030000
Mexico,130000000,1970000
Moldova,3070000,33800
Mongolia,3430000,1560000
Mozambique,33600000,801000
Myanmar,54100000,678000
Namibia,2960000,825000
Netherlands,18100000,41500
New Zealand,5170000,268000
Niger,26200000,1260000
Nigeria,228000000,923000
North America,609000000,24200000
Norway,5520000,324000
Oceania,45600000,7680000
Pakistan,248000000,803000
Peru,33800000,1280000
Philippines,115000000,300000
Poland,38800000,313000
Portugal,10400000,92300
Republic of Macedonia,1830000,25300
Romania,19100000,237000
Russia,145000000,17000000
Saudi Arabia,33300000,1960000
Scotland,5490000,78700
Serbia & Montenegro,7410000,102000
Singapore,5790000,693
Slovakia,5520000,48800
Slovenia,2120000,20200
Somalia,18400000,637000
South Africa,63200000,1210000
South Korea,51700000,98400
Spain,47900000,504000
Sudan,50000000,2500000
Suriname,629000,163000
Sweden,10600000,449000
Switzerland,8870000,41200
Taiwan,23300000,35900
Tanzania,66600000,945000
Thailand,71700000,514000
Turkey,87300000,780000
USA (ex. Alaska),343000000,8150000
Ukraine,37700000,603000
United Kingdom,68700000,244000
Venezuela,28300000,912000
Vietnam,100000000,329000
Wales,3160000,20700
Western Sahara,580000,266000
World,8090000000,148000000
Yemen,39400000,527000
Zambia,20700000,752000
