make,model,kind,vmax_kmh,power_kw,registrations
ABARTH,500,Electric,155,114,196
AIWAYS,U5,Electric,160,150,356
ALFA ROMEO,ALFA ROMEO JUNIOR,Electric,179,115,1625
ALFA ROMEO,GIULIA,Combustion,239,206,185
ALFA ROMEO,STELVIO,Combustion,228,118,124
ALFA ROMEO,TONALE,Hybrid,206,132,1403
ALPINE,A290,Electric,167,160,488
AUDI,A1 allstreet,Combustion,192,81,133
AUDI,A1 ALLSTREET,Combustion,194,70,359
AUDI,A1 Sportback,Combustion,202,70,537
AUDI,A1 SPORTBACK,Combustion,197,85,3980
AUDI,A3 40 TFSIe,Hybrid,227,110,109
AUDI,A3 40 TFSIE,Hybrid,227,110,581
AUDI,A3 45 TFSIE,Hybrid,232,110,381
AUDI,A3 ALLSTREET PHEV 150,Hybrid,225,110,148
AUDI,A3 LIMOUSINE,Hybrid,218,81,2276
AUDI,A3 SPORTBACK,Hybrid,211,81,5716
AUDI,A3 SPORTBACK PHEV 150,Hybrid,225,110,1880
AUDI,A3 SPORTBACK PHEV 200,Hybrid,237,130,511
AUDI,A4 AVANT,Hybrid,212,110,2009
AUDI,A4 LIMOUSINE,Hybrid,213,110,386
AUDI,A5 AVANT,Combustion,229,150,297
AUDI,A5 AVANT 220KW TFSI E,Hybrid,250,185,1031
AUDI,A5 AVANT 270KW TFSI E,Hybrid,250,185,303
AUDI,A5 CABRIOLET,Hybrid,232,110,212
AUDI,A5 LIM 220KW TFSI E,Hybrid,250,185,407
AUDI,A5 LIMOUSINE,Combustion,221,110,161
AUDI,A5 SPORTBACK,Hybrid,226,110,785
AUDI,A6 50 TFSI E,Hybrid,250,195,121
AUDI,A6 AVANT,Hybrid,242,150,465
AUDI,A6 AVANT 220KW TFSI E,Hybrid,250,185,305
AUDI,A6 AVANT 270KW TFSI E,Hybrid,250,185,400
AUDI,A6 AVANT 50 TFSI E,Hybrid,250,195,725
AUDI,A6 Avant 55 TFSI e,Hybrid,250,195,159
AUDI,A6 AVANT 55 TFSI E,Hybrid,250,195,627
AUDI,A6 AV E-TRON,Electric,210,210,1303
AUDI,A6 AV E-TRON PERFORMANCE,Electric,210,270,542
AUDI,A6 AV E-TRON QUATTRO,Electric,210,315,133
AUDI,A6 LIM 220KW TFSI E,Hybrid,250,185,107
AUDI,A6 LIMOUSINE,Hybrid,246,150,131
AUDI,A6 SB E-TRON,Electric,210,210,869
AUDI,A6 SB E-TRON PERFORMANCE,Electric,210,270,185
AUDI,A8,Hybrid,247,420,265
AUDI,E-TRON 55,Electric,200,141,124
AUDI,E-TRON GT,Electric,245,350,192
AUDI,Q2,Combustion,215,110,3717
AUDI,Q3,Combustion,209,110,762
AUDI,Q3 200KW TFSI E,Hybrid,215,130,1422
AUDI,Q3 e-tron,Hybrid,210,110,132
AUDI,Q3 E-TRON,Hybrid,210,110,906
AUDI,Q3 SB 200KW TFSI E,Hybrid,215,130,737
AUDI,Q3 Sportback,Combustion,208,110,128
AUDI,Q3 SPORTBACK,Combustion,207,110,812
AUDI,Q3 Sportback e-tron,Hybrid,210,110,189
AUDI,Q3 SPORTBACK E-TRON,Hybrid,210,110,1396
AUDI,Q4 35 E-TRON,Electric,160,125,155
AUDI,Q4 40 E-TRON,Electric,160,150,2454
AUDI,Q4 45 E-TRON,Electric,180,210,7403
AUDI,Q4 E-TRON QUATTRO PERF,Electric,180,250,106
AUDI,Q4 SPORTBACK 40 E-TRON,Electric,160,150,607
AUDI,Q4 SPORTBACK 45 E-TRON,Electric,180,210,2093
AUDI,Q5 220KW TFSI E,Hybrid,250,185,576
AUDI,Q5 270KW TFSI E,Hybrid,250,185,631
AUDI,Q5 50 TFSI e,Hybrid,239,195,122
AUDI,Q5 50 TFSI E,Hybrid,239,195,1092
AUDI,Q5 55 TFSI E,Hybrid,239,195,420
AUDI,Q5 SB 220KW TFSI E,Hybrid,250,185,205
AUDI,Q5 SB 270KW TFSI E,Hybrid,250,185,364
AUDI,Q5 SPORTBACK 50 TFSI E,Hybrid,239,195,529
AUDI,Q5 SPORTBACK 55 TFSI E,Hybrid,239,195,340
AUDI,Q6 SB E-TRON,Electric,210,185,273
AUDI,Q6 SB E-TRON PERFORMANCE,Electric,210,225,277
AUDI,Q6 SUV E-TRON,Electric,210,185,1453
AUDI,Q6 SUV E-TRON PERFORMANCE,Electric,210,225,1692
AUDI,Q6 SUV E-TRON QUATTRO,Electric,210,285,804
AUDI,Q7 55 TFSI E,Hybrid,240,250,673
AUDI,Q7 60 TFSI E,Hybrid,240,250,526
AUDI,Q8 50 E-TRON,Electric,200,250,868
AUDI,Q8 55 E-TRON,Electric,200,300,1121
AUDI,Q8 55 TFSI e,Hybrid,240,250,111
AUDI,Q8 55 TFSI E,Hybrid,240,250,769
AUDI,Q8 60 TFSI e,Hybrid,240,250,127
AUDI,Q8 60 TFSI E,Hybrid,240,250,1408
AUDI,Q8 SPORTBACK 50 E-TRON,Electric,200,250,222
AUDI,Q8 SPORTBACK 55 E-TRON,Electric,200,300,439
AUDI,RS 3 SPORTBACK,Combustion,274,294,179
AUDI,RS Q8,Hybrid,296,441,158
AUDI,SQ6 SUV E-TRON,Electric,230,360,249
AUTOMOBILI LAMBORGHINI S.,URUS,Combustion,310,490,102
BENTLEY,CONTINENTAL GT SPEED,Hybrid,335,441,115
BMW,116I,Combustion,200,80,258
BMW,118I,Combustion,213,100,2451
BMW,120,Hybrid,226,115,3378
BMW,120I,Combustion,235,131,384
BMW,123 XDRIVE,Hybrid,246,150,116
BMW,218I,Combustion,216,115,1062
BMW,218I ACTIVE TOURER,Combustion,214,100,599
BMW,220,Hybrid,230,115,800
BMW,220I,Combustion,237,135,327
BMW,220I ACTIVE TOURER,Hybrid,221,115,234
BMW,225E XDRIVE ACTIVE TOURER,Hybrid,195,100,980
BMW,230E XDRIVE ACTIVE TOURER,Hybrid,205,130,154
BMW,318I,Combustion,219,115,934
BMW,320E,Hybrid,222,120,2479
BMW,320I,Combustion,232,135,491
BMW,330e,Hybrid,230,135,188
BMW,330E,Hybrid,230,135,3606
BMW,330e xDrive,Hybrid,225,135,132
BMW,330E XDRIVE,Hybrid,226,135,789
BMW,330I,Combustion,250,180,206
BMW,330I XDRIVE,Combustion,250,180,141
BMW,420I,Combustion,236,135,999
BMW,430I,Combustion,250,180,245
BMW,430I XDRIVE,Combustion,250,180,173
BMW,520I,Hybrid,228,140,994
BMW,530e,Hybrid,225,135,175
BMW,530E,Hybrid,225,135,3586
BMW,530e xDrive,Hybrid,225,135,112
BMW,530E XDRIVE,Hybrid,222,135,524
BMW,550E XDRIVE,Hybrid,250,230,1243
BMW,750E XDRIVE,Hybrid,250,230,211
BMW,I4 EDRIVE35,Electric,190,210,2445
BMW,I4 EDRIVE40,Electric,190,250,4471
BMW,I4 M50,Electric,225,400,779
BMW,I4 M50 XDRIVE,Electric,225,400,121
BMW,I4 M60 XDRIVE,Electric,225,442,103
BMW,I5 EDRIVE40,Electric,193,250,3271
BMW,I5 M60 XDRIVE,Electric,230,442,371
BMW,I5 XDRIVE40,Electric,215,290,148
BMW,I7 EDRIVE50,Electric,205,335,162
BMW,I7 XDRIVE60,Electric,240,400,258
BMW,IX1 EDRIVE20,Electric,170,150,9666
BMW,iX1 xDrive30,Electric,180,200,150
BMW,IX1 XDRIVE30,Electric,180,200,4426
BMW,IX2 EDRIVE20,Electric,170,150,1725
BMW,IX2 XDRIVE30,Electric,180,225,315
BMW,IX3,Electric,180,210,2931
BMW,IX3 40,Electric,200,235,412
BMW,IX3 50 XDRIVE,Electric,210,345,1751
BMW,IX M60,Electric,250,397,121
BMW,IX XDRIVE40,Electric,200,240,543
BMW,IX XDRIVE45,Electric,200,300,262
BMW,IX XDRIVE50,Electric,200,385,394
BMW,IX XDRIVE60,Electric,200,400,198
BMW,M2,Combustion,276,338,144
BMW,M340I XDRIVE,Hybrid,250,275,168
BMW,M3 COMPETITION M XDRIVE,Combustion,273,375,309
BMW,M440I XDRIVE,Hybrid,250,275,242
BMW,M4 COMPETITION M XDRIVE,Combustion,274,390,136
BMW,M5,Hybrid,292,430,1195
BMW,M760E XDRIVE,Hybrid,250,280,203
BMW,X1 SDRIVE18I,Combustion,208,100,944
BMW,X1 SDRIVE20I,Hybrid,216,115,896
BMW,X1 XDRIVE23I,Hybrid,233,150,495
BMW,X1 XDRIVE25E,Hybrid,190,100,5474
BMW,X1 xDrive30e,Hybrid,205,130,170
BMW,X1 XDRIVE30E,Hybrid,205,130,1779
BMW,X2 SDRIVE20I,Hybrid,214,115,671
BMW,X2 XDRIVE25E,Hybrid,195,92,103
BMW,X3 20 XDRIVE,Hybrid,215,140,126
BMW,X3 30E XDRIVE,Hybrid,215,140,3772
BMW,X3 M50 XDRIVE,Hybrid,250,280,200
BMW,X3 XDRIVE20I,Hybrid,215,135,101
BMW,X3 xDrive30e,Hybrid,210,135,118
BMW,X3 XDRIVE30E,Hybrid,210,135,2067
BMW,X4 XDRIVE20I,Hybrid,215,135,119
BMW,X5 XDRIVE45E,Hybrid,234,210,726
BMW,X5 xDrive50e,Hybrid,250,230,318
BMW,X5 XDRIVE50E,Hybrid,250,230,6349
BMW,X6 XDRIVE40I M SPORT,Hybrid,250,280,105
BMW,X7 XDRIVE40I,Hybrid,250,280,198
BMW,XM,Hybrid,263,360,298
BMW,XM 50E,Hybrid,250,230,396
BMW,XM LABEL,Hybrid,285,430,122
BMW,Z4 M40I,Combustion,250,250,200
BMW,Z4 SDRIVE20I,Combustion,236,145,161
BMW,Z4 SDRIVE30I,Combustion,250,190,137
BYD,ATTO 3,Electric,160,150,3294
BYD,ATTO 3 EVO,Electric,186,330,326
BYD,BYD ATTO 2,Electric,160,130,371
BYD,BYD ATTO 2  DM-I,Hybrid,180,145,1083
BYD,BYD DOLPHIN,Electric,160,150,796
BYD,BYD DOLPHIN SURF,Electric,150,115,867
BYD,BYD SEAL,Electric,190,230,1178
BYD,BYD SEALION 7,Electric,215,390,547
BYD,BYD SEAL U,Electric,175,160,1273
BYD,BYD SEAL U DM-I,Hybrid,171,150,5274
BYD,DOLPHIN G,Hybrid,180,120,113
BYD,SEAL 6 DM-I TOURING,Hybrid,180,145,413
BYD,SEAL U DM-I,Hybrid,171,145,372
BYD,TANG EV,Electric,185,180,188
CITROEN,C3,Combustion,168,61,6764
CITROEN,C3 AIRCROSS,Combustion,192,96,3328
CITROEN,C4,Hybrid,204,100,1552
CITROEN,C4 X,Hybrid,206,100,355
CITROEN,C5 AIRCROSS,Combustion,207,96,3932
CITROEN,C5 X,Hybrid,227,132,743
CITROEN,E-BERLINGO,Electric,134,100,128
CITROEN,E-C3,Electric,132,83,4677
CITROEN,E-C3 AIRCROSS,Electric,143,83,1197
CITROEN,E-C4,Electric,150,100,2678
CITROEN,E-C4 X,Electric,150,100,467
CITROEN,JUMPY,Electric,130,100,1139
CITROEN,JUMPY SPACETOURER,Electric,130,100,186
CUPRA,BORN 150 KW 58/62 KWH,Electric,160,150,1291
CUPRA,BORN 150 KW 60/63 KWH,Electric,160,150,440
CUPRA,BORN 170 KW 58/62 KWH,Electric,160,170,529
CUPRA,BORN 170 KW 60/63 KWH,Electric,160,170,1626
CUPRA,BORN 170 KW 77/82 KWH,Electric,160,170,593
CUPRA,BORN 170 KW 79/84 KWH,Electric,160,170,417
CUPRA,CUPRA LEON,Hybrid,219,110,140
CUPRA,CUPRA LEON E-HYBRID150,Hybrid,220,110,444
CUPRA,CUPRA LEON E-HYBRID180,Hybrid,225,110,110
CUPRA,CUPRA LEON E-HYBRID200,Hybrid,229,130,140
CUPRA,CUPRA LEON SP,Hybrid,218,110,221
CUPRA,CUPRA LEON SP E-HYBRID150,Hybrid,220,110,957
CUPRA,CUPRA LEON SP E-HYBRID180,Hybrid,225,110,337
CUPRA,CUPRA LEON SP E-HYBRID200,Hybrid,229,130,355
CUPRA,FORMENTOR,Combustion,212,110,385
CUPRA,FORMENTOR E-HYBRID,Hybrid,211,110,2630
CUPRA,FORMENTOR VZ E-HYBRID,Hybrid,210,110,1527
CUPRA,RAVAL 155KW,Electric,160,155,1383
CUPRA,TAVASCAN,Electric,180,250,2367
CUPRA,TERRAMAR E-HYBRID,Hybrid,211,130,2671
DACIA,BIGSTER,Hybrid,180,80,2896
DACIA,DUSTER,Hybrid,171,96,5377
DACIA,JOGGER,Combustion,175,74,6684
DACIA,SANDERO,Combustion,176,67,8304
DACIA,SPRING,Electric,125,33,4169
DFSK,DFSK E5,Hybrid,165,130,113
DONGFENG,BOX,Electric,140,70,769
DS,DS3,Electric,161,100,231
DS,DS 3,Combustion,181,96,416
DS,DS4,Hybrid,222,132,631
DS,DS7,Hybrid,230,164,757
DS AUTOMOBILES,N 4,Electric,187,157,139
DS AUTOMOBILES,N 8,Electric,190,190,132
FAW,E-HS9,Electric,200,160,132
FIAT,500,Electric,150,87,3903
FIAT,500 HYBRID,Hybrid,157,48,292
FIAT,500X,Hybrid,194,96,516
FIAT,600,Hybrid,172,74,2119
FIAT,FIAT 500,Hybrid,167,52,5796
FIAT,PANDA,Hybrid,151,52,2803
FIAT,ULYSSE TRIPOD,Electric,130,100,111
FORD,CAPRI,Electric,179,210,1364
FORD,EXPLORER,Hybrid,178,267,5942
FORD,Fiesta,Combustion,185,74,142
FORD,FIESTA,Hybrid,199,92,3357
FORD,Focus,Hybrid,203,114,379
FORD,FOCUS,Hybrid,202,92,9998
FORD,Kuga,Hybrid,200,112,1303
FORD,KUGA,Hybrid,200,112,22108
FORD,MUSTANG MACH-E,Electric,181,442,1995
FORD,Puma,Hybrid,197,114,544
FORD,PUMA,Hybrid,189,92,14351
FORD,TOURNEO CONNECT,Combustion,183,90,254
FORD,TOURNEO CUSTOM,Hybrid,158,93,399
FORD,TRANSIT CUSTOM,Combustion,155,96,1058
GEELY,STARRAY EM-I,Hybrid,170,160,343
HONDA,CIVIC,Hybrid,180,135,624
HONDA,CR-V,Hybrid,193,135,815
HONDA,E:NY1,Electric,160,150,156
HONDA,HR-V,Hybrid,170,96,1257
HONDA,JAZZ,Hybrid,175,90,1338
HONDA,ZR-V,Hybrid,173,135,283
HYUNDAI,BAYON,Hybrid,181,74,2736
HYUNDAI,I10,Combustion,147,49,15802
HYUNDAI,I20,Combustion,184,74,4704
HYUNDAI,I 30,Hybrid,198,118,1162
HYUNDAI,INSTER,Electric,148,85,6094
HYUNDAI,IONIQ5,Electric,185,168,4750
HYUNDAI,IONIQ5 N,Electric,260,478,134
HYUNDAI,IONIQ6,Electric,185,111,2206
HYUNDAI,IONIQ 9,Electric,198,226,244
HYUNDAI,KONA,Hybrid,167,77,20080
HYUNDAI,SANTA FE,Hybrid,185,132,1829
HYUNDAI,TUCSON,Hybrid,191,132,12391
JAECOO,JAECOO5 EV,Electric,175,155,340
JAECOO,JAECOO5 HYBRID,Hybrid,175,150,169
JAECOO,JAECOO7,Hybrid,180,150,353
JAECOO,JAECOO7 PHEV,Hybrid,180,150,1611
JAECOO,JAECOO8 PHEV,Hybrid,180,105,178
JAGUAR,JAGUAR E-PACE,Hybrid,214,147,143
JAGUAR,JAGUAR F-PACE,Hybrid,241,221,181
JEEP,AVENGER,Electric,161,115,7201
JEEP,COMPASS,Hybrid,194,96,2598
JEEP,GRAND CHEROKEE,Hybrid,210,200,129
JEEP,RENEGADE,Hybrid,192,96,661
JEEP,WRANGLER UNLIMITED,Hybrid,169,200,304
KG MOBILITY,TORRES EVX,Electric,175,152,128
KIA,CEED,Combustion,189,74,10917
KIA,EV2,Electric,161,108,1848
KIA,EV3,Electric,170,150,15452
KIA,EV4,Electric,170,150,1873
KIA,EV5,Electric,165,160,3641
KIA,EV6,Electric,188,430,7095
KIA,EV9,Electric,195,150,2485
KIA,K4,Hybrid,186,85,330
KIA,NIRO,Electric,164,150,28332
KIA,PICANTO,Combustion,155,49,32916
KIA,PROCEED,Combustion,203,103,1531
KIA,PV5,Electric,135,120,297
KIA,RIO,Combustion,187,62,540
KIA,SORENTO,Hybrid,190,132,1726
KIA,SOUL,Electric,167,150,197
KIA,SPORTAGE,Hybrid,191,132,14927
KIA,STONIC,Hybrid,181,88,9381
KIA,XCEED,Combustion,188,103,1102
LAMBORGHINI,URUS,Combustion,310,490,202
LANCIA,YPSILON,Electric,174,115,356
LAND ROVER,Defender,Hybrid,202,221,120
LAND ROVER,DEFENDER,Hybrid,200,221,2951
LAND ROVER,DISCOVERY SPORT,Hybrid,200,147,1035
LAND ROVER,RANGE ROVER,Hybrid,237,294,2370
LAND ROVER,Range Rover Evoque,Hybrid,205,150,116
LAND ROVER,RANGE ROVER EVOQUE,Hybrid,200,147,2212
LAND ROVER,Range Rover Sport,Hybrid,231,294,128
LAND ROVER,RANGE ROVER SPORT,Hybrid,231,294,4436
LAND ROVER,RANGE ROVER VELAR,Hybrid,240,221,811
LEAPMOTOR,B10,Electric,170,160,1323
LEAPMOTOR,C10,Electric,176,160,1007
LEAPMOTOR,T03,Electric,130,70,1644
LEXUS,LEXUS ES300H,Hybrid,180,131,225
LEXUS,LEXUS LBX,Hybrid,170,69,1876
LEXUS,LEXUS NX350H,Hybrid,200,174,109
LEXUS,LEXUS NX450H+,Hybrid,200,136,1007
LEXUS,LEXUS RX450H+,Hybrid,200,174,483
LEXUS,LEXUS RZ300E,Electric,160,150,127
LEXUS,LEXUS RZ350E,Electric,160,167,151
LEXUS,LEXUS RZ450E,Electric,160,230,180
LEXUS,LEXUS UX250H,Hybrid,177,112,230
LEXUS,LEXUS UX300H,Hybrid,177,112,217
LOTUS,ELETRE,Electric,259,450,251
LUCID MOTORS,AIR,Electric,244,156,160
LYNK&CO,Lynk & Co 01,Hybrid,220,132,261
LYNK&CO,LYNK & CO 01,Hybrid,217,132,17126
LYNK&CO,LYNK & CO 02,Electric,180,200,612
LYNK&CO,LYNK & CO 08,Hybrid,185,155,679
MAZDA,MAZDA2,Hybrid,182,66,2820
MAZDA,MAZDA2 HYBRID,Hybrid,175,68,4192
MAZDA,MAZDA3,Hybrid,208,110,2288
MAZDA,MAZDA6,Combustion,209,143,314
MAZDA,MAZDA 6E,Electric,175,190,1162
MAZDA,MAZDA CX-30,Hybrid,197,110,4584
MAZDA,MAZDA CX-5,Hybrid,192,121,6687
MAZDA,MAZDA CX-60,Hybrid,200,141,4015
MAZDA,MAZDA CX-80,Hybrid,195,141,553
MAZDA,MAZDA MX-30,Hybrid,140,125,923
MAZDA,MAZDA MX-5,Combustion,208,135,327
MERCEDES-BENZ,A 180,Hybrid,215,100,2204
MERCEDES-BENZ,A 200,Hybrid,226,120,368
MERCEDES-BENZ,A 250 E,Hybrid,227,120,3098
MERCEDES-BENZ,AMG E 53 HYBRID,Hybrid,266,330,484
