region,year,gw
Total World,2000,1.22
Total World,2001,1.33
Total World,2002,1.63
Total World,2003,2.34
Total World,2004,3.43
Total World,2005,4.92
Total World,2006,6.49
Total World,2007,8.96
Total World,2008,15.23
Total World,2009,23.54
Total World,2010,41.37
Total World,2011,72.50
Total World,2012,102.59
Total World,2013,139.41
Total World,2014,178.53
Total World,2015,226.31
Total World,2016,298.13
Total World,2017,391.78
Total World,2018,487.30
Total World,2019,589.76
Total World,2020,721.13
Total World,2021,866.04
Total World,2022,1058.04
Total World,2023,1422.03
Total World,2024,1880.40
Total World,2025,2391.58
China,2000,0.03
China,2001,0.04
China,2002,0.06
China,2003,0.07
China,2004,0.08
China,2005,0.14
China,2006,0.16
China,2007,0.20
China,2008,0.25
China,2009,0.41
China,2010,1.02
China,2011,3.11
China,2012,6.72
China,2013,17.76
China,2014,28.40
China,2015,43.55
China,2016,77.82
China,2017,130.83
China,2018,175.26
China,2019,204.97
China,2020,253.86
China,2021,306.97
China,2022,393.03
China,2023,609.92
China,2024,887.10
China,2025,1202.18
Germany,2000,0.11
Germany,2001,0.20
Germany,2002,0.26
Germany,2003,0.44
Germany,2004,1.11
Germany,2005,2.06
Germany,2006,2.90
Germany,2007,4.17
Germany,2008,6.12
Germany,2009,10.57
Germany,2010,18.01
Germany,2011,25.92
Germany,2012,34.08
Germany,2013,36.71
Germany,2014,37.90
Germany,2015,39.22
Germany,2016,40.68
Germany,2017,42.29
Germany,2018,45.16
Germany,2019,48.91
Germany,2020,53.67
Germany,2021,60.04
Germany,2022,61.19
Germany,2023,75.52
Germany,2024,91.20
Germany,2025,106.27
United Kingdom,2000,0.00
United Kingdom,2001,0.00
United Kingdom,2002,0.00
United Kingdom,2003,0.01
United Kingdom,2004,0.01
United Kingdom,2005,0.01
United Kingdom,2006,0.01
United Kingdom,2007,0.02
United Kingdom,2008,0.02
United Kingdom,2009,0.03
United Kingdom,2010,0.10
United Kingdom,2011,1.00
United Kingdom,2012,1.75
United Kingdom,2013,2.94
United Kingdom,2014,5.53
United Kingdom,2015,9.60
United Kingdom,2016,11.91
United Kingdom,2017,12.75
United Kingdom,2018,13.06
United Kingdom,2019,13.34
United Kingdom,2020,13.77
United Kingdom,2021,14.25
United Kingdom,2022,14.81
United Kingdom,2023,16.43
United Kingdom,2024,19.00
United Kingdom,2025,21.66
