region,year,kwh_per_day
Total World,2000,0.0004
Total World,2001,0.0005
Total World,2002,0.0006
Total World,2003,0.0007
Total World,2004,0.0010
Total World,2005,0.0014
Total World,2006,0.0019
Total World,2007,0.0026
Total World,2008,0.0042
Total World,2009,0.0070
Total World,2010,0.0113
Total World,2011,0.0219
Total World,2012,0.0338
Total World,2013,0.0461
Total World,2014,0.0657
Total World,2015,0.0854
Total World,2016,0.1093
Total World,2017,0.1481
Total World,2018,0.1917
Total World,2019,0.2357
Total World,2020,0.2866
Total World,2021,0.3531
Total World,2022,0.4453
Total World,2023,0.5586
Total World,2024,0.7214
Total World,2025,0.9358
China,2000,0.0000
China,2001,0.0001
China,2002,0.0001
China,2003,0.0001
China,2004,0.0001
China,2005,0.0002
China,2006,0.0002
China,2007,0.0002
China,2008,0.0003
China,2009,0.0005
China,2010,0.0014
China,2011,0.0051
China,2012,0.0070
China,2013,0.0163
China,2014,0.0458
China,2015,0.0768
China,2016,0.1295
China,2017,0.2292
China,2018,0.3442
China,2019,0.4359
China,2020,0.5081
China,2021,0.6363
China,2022,0.8314
China,2023,1.1367
China,2024,1.6326
China,2025,2.2829
Germany,2000,0.0000
Germany,2001,0.0033
Germany,2002,0.0066
Germany,2003,0.0103
Germany,2004,0.0183
Germany,2005,0.0429
Germany,2006,0.0742
Germany,2007,0.1028
Germany,2008,0.1477
Germany,2009,0.2201
Germany,2010,0.3920
Germany,2011,0.6551
Germany,2012,0.8765
Germany,2013,1.0035
Germany,2014,1.1617
Germany,2015,1.2478
Germany,2016,1.2308
Germany,2017,1.2703
Germany,2018,1.4528
Germany,2019,1.4816
Germany,2020,1.6221
Germany,2021,1.6538
Germany,2022,2.0054
Germany,2023,2.0932
Germany,2024,2.4867
Germany,2025,3.0016
United Kingdom,2000,0.0000
United Kingdom,2001,0.0001
United Kingdom,2002,0.0001
United Kingdom,2003,0.0001
United Kingdom,2004,0.0002
United Kingdom,2005,0.0003
United Kingdom,2006,0.0004
United Kingdom,2007,0.0006
United Kingdom,2008,0.0007
United Kingdom,2009,0.0008
United Kingdom,2010,0.0016
United Kingdom,2011,0.0096
United Kingdom,2012,0.0535
United Kingdom,2013,0.0795
United Kingdom,2014,0.1603
United Kingdom,2015,0.2978
United Kingdom,2016,0.4115
United Kingdom,2017,0.4530
United Kingdom,2018,0.5008
United Kingdom,2019,0.4909
United Kingdom,2020,0.4960
United Kingdom,2021,0.4795
United Kingdom,2022,0.5528
United Kingdom,2023,0.5787
United Kingdom,2024,0.5786
United Kingdom,2025,0.7905
