region,population,area_km2,kind
California,39431263,403673,US state
Texas,31290831,676657,US state
Florida,23372215,138965,US state
New York,19867248,122049,US state
Pennsylvania,13078751,115881,US state
Illinois,12710158,143778,US state
Ohio,11883304,105824,US state
Georgia,11180878,149486,US state
North Carolina,11046024,125936,US state
Michigan,10140459,146622,US state
New Jersey,9500851,19049,US state
Virginia,8811195,102256,US state
Washington,7958180,172119,US state
Arizona,7582384,294366,US state
Tennessee,7227750,106771,US state
Massachusetts,7136171,20204,US state
Indiana,6924275,92787,US state
Maryland,6263220,25151,US state
Missouri,6245466,178052,US state
Wisconsin,5960975,140295,US state
Colorado,5957493,268419,US state
Minnesota,5793151,206245,US state
South Carolina,5478831,77866,US state
Alabama,5157699,131186,US state
Louisiana,4597740,111921,US state
Kentucky,4588372,102267,US state
Oregon,4272371,248630,US state
Oklahoma,4095393,177665,US state
Connecticut,3675069,12542,US state
Utah,3503613,213922,US state
Nevada,3267467,284537,US state
Iowa,3241488,144660,US state
Puerto Rico,3203295,8870,US state
Arkansas,3088354,134659,US state
Kansas,2970606,211754,US state
Mississippi,2943045,121534,US state
New Mexico,2130256,314199,US state
Nebraska,2005465,198950,US state
Idaho,2001619,214051,US state
West Virginia,1769979,62267,US state
Hawaii,1446146,16634,US state
New Hampshire,1409032,23190,US state
Maine,1405012,79888,US state
Montana,1137233,376973,US state
Rhode Island,1112308,2678,US state
Delaware,1051917,5047,US state
South Dakota,924669,196342,US state
North Dakota,796568,178694,US state
Alaska,740133,1479509,US state
District of Columbia,702250,158,US state
Vermont,648493,23873,US state
Wyoming,587618,251458,US state
Albania,2810000,28700,European country
Austria,9130000,83800,European country
Belarus,9120000,207000,European country
Belgium,11700000,31000,European country
Bosnia & Herzegovina,3190000,51100,European country
Bulgaria,6800000,110000,European country
Croatia,3900000,56500,European country
Czech Republic,10800000,78800,European country
Denmark,5950000,43000,European country
England,57700000,130000,European country
Estonia,1370000,45200,European country
Finland,5600000,338000,European country
France,66400000,547000,European country
Germany,84500000,357000,European country
Greece,10200000,131000,European country
Hungary,9690000,93000,European country
Iceland,388000,103000,European country
Ireland,5200000,70200,European country
Italy,59500000,301000,European country
Latvia,1880000,64500,European country
Lithuania,2850000,65200,European country
Malta,533000,316,European country
Moldova,3070000,33800,European country
Netherlands,18100000,41500,European country
Norway,5520000,324000,European country
Poland,38800000,313000,European country
Portugal,10400000,92300,European country
Republic of Macedonia,1830000,25300,European country
Romania,19100000,237000,European country
Scotland,5490000,78700,European country
Serbia & Montenegro,7410000,102000,European country
Slovakia,5520000,48800,European country
Slovenia,2120000,20200,European country
Spain,47900000,504000,European country
Sweden,10600000,449000,European country
Switzerland,8870000,41200,European country
Ukraine,37700000,603000,European country
Wales,3160000,20700,European country
