station,year,sun_hours,daylight_hours,fraction
Cambridge,1959,1785.0,4380.0,0.4075
Cambridge,1960,1421.4,4380.0,0.3245
Cambridge,1961,1621.1,4380.0,0.3701
Cambridge,1962,1489.7,4380.0,0.3401
Cambridge,1963,1339.4,4380.0,0.3058
Cambridge,1964,1462.3,4380.0,0.3339
Cambridge,1965,1353.6,4380.0,0.3090
Cambridge,1966,1301.4,4380.0,0.2971
Cambridge,1967,1569.2,4380.0,0.3583
Cambridge,1968,1182.0,4380.0,0.2699
Cambridge,1969,1443.8,4380.0,0.3296
Cambridge,1970,1585.9,4380.0,0.3621
Cambridge,1971,1553.3,4380.0,0.3546
Cambridge,1972,1494.7,4380.0,0.3413
Cambridge,1973,1709.2,4380.0,0.3902
Cambridge,1974,1629.2,4380.0,0.3720
Cambridge,1975,1600.5,4380.0,0.3654
Cambridge,1976,1700.9,4380.0,0.3883
Cambridge,1977,1497.0,4380.0,0.3418
Cambridge,1978,1289.2,4380.0,0.2943
Cambridge,1979,1467.6,4380.0,0.3351
Cambridge,1980,1510.4,4380.0,0.3448
Cambridge,1981,1391.5,4380.0,0.3177
Cambridge,1982,1582.9,4380.0,0.3614
Cambridge,1983,1557.7,4380.0,0.3556
Cambridge,1984,1525.9,4380.0,0.3484
Cambridge,1985,1342.5,4380.0,0.3065
Cambridge,1986,1501.4,4380.0,0.3428
Cambridge,1987,1247.3,4380.0,0.2848
Cambridge,1988,1402.1,4380.0,0.3201
Cambridge,1989,1680.3,4380.0,0.3836
Cambridge,1990,1666.8,4380.0,0.3805
Cambridge,1991,1358.6,4380.0,0.3102
Cambridge,1992,1347.1,4380.0,0.3076
Cambridge,1993,1353.8,4380.0,0.3091
Cambridge,1994,1517.2,4380.0,0.3464
Cambridge,1995,1690.6,4380.0,0.3860
Cambridge,1996,1496.6,4380.0,0.3417
Cambridge,1997,1558.6,4380.0,0.3558
Cambridge,1998,1340.9,4380.0,0.3061
Cambridge,1999,1578.5,4380.0,0.3604
Cambridge,2000,1434.8,4380.0,0.3276
Cambridge,2001,1522.9,4380.0,0.3477
Cambridge,2002,1438.4,4380.0,0.3284
Cambridge,2003,1764.3,4380.0,0.4028
Cambridge,2004,1445.9,4380.0,0.3301
Cambridge,2005,1474.6,4380.0,0.3367
Cambridge,2006,1577.6,4380.0,0.3602
Cambridge,2007,1506.0,4380.0,0.3438
Cambridge,2008,1467.2,4380.0,0.3350
Cambridge,2009,1591.3,4380.0,0.3633
Oxford,1929,1740.4,4380.0,0.3974
Oxford,1930,1356.9,4380.0,0.3098
Oxford,1931,1239.4,4380.0,0.2830
Oxford,1932,1283.7,4380.0,0.2931
Oxford,1933,1772.8,4380.0,0.4047
Oxford,1934,1583.7,4380.0,0.3616
Oxford,1935,1579.5,4380.0,0.3606
Oxford,1936,1280.4,4380.0,0.2923
Oxford,1937,1358.2,4380.0,0.3101
Oxford,1938,1433.0,4380.0,0.3272
Oxford,1939,1443.8,4380.0,0.3296
Oxford,1940,1604.0,4380.0,0.3662
