country,date,temp_c,load_gw
Great Britain,2021-01-01,0.86,32.110
Great Britain,2021-01-04,2.59,37.401
Great Britain,2021-01-05,2.17,38.024
Great Britain,2021-01-06,1.44,38.359
Great Britain,2021-01-07,-0.98,38.696
Great Britain,2021-01-08,-0.07,38.388
Great Britain,2021-01-11,5.69,37.165
Great Britain,2021-01-12,4.86,36.892
Great Britain,2021-01-13,3.85,37.313
Great Britain,2021-01-14,3.97,37.477
Great Britain,2021-01-15,0.53,37.879
Great Britain,2021-01-18,4.77,36.441
Great Britain,2021-01-19,9.08,35.724
Great Britain,2021-01-20,9.11,35.545
Great Britain,2021-01-21,4.61,36.961
Great Britain,2021-01-22,2.60,36.440
Great Britain,2021-01-25,0.48,38.066
Great Britain,2021-01-26,1.84,38.354
Great Britain,2021-01-27,6.78,36.377
Great Britain,2021-01-28,8.63,35.408
Great Britain,2021-01-29,7.99,34.661
Great Britain,2021-02-01,2.67,37.248
Great Britain,2021-02-02,6.63,37.182
Great Britain,2021-02-03,6.47,36.557
Great Britain,2021-02-04,5.46,36.709
Great Britain,2021-02-05,6.16,35.680
Great Britain,2021-02-08,-0.76,39.471
Great Britain,2021-02-09,-1.29,39.993
Great Britain,2021-02-10,-2.32,39.552
Great Britain,2021-02-11,-3.54,40.489
Great Britain,2021-02-12,-1.96,40.137
Great Britain,2021-02-15,8.25,36.270
Great Britain,2021-02-16,8.89,35.118
Great Britain,2021-02-17,8.51,35.121
Great Britain,2021-02-18,7.86,34.620
Great Britain,2021-02-19,7.91,34.581
Great Britain,2021-02-22,8.55,33.730
Great Britain,2021-02-23,9.45,33.632
Great Britain,2021-02-24,12.30,32.735
Great Britain,2021-02-25,8.61,33.193
Great Britain,2021-02-26,4.97,33.451
Great Britain,2021-03-01,4.55,34.425
Great Britain,2021-03-02,3.94,34.775
Great Britain,2021-03-03,4.61,35.193
Great Britain,2021-03-04,4.59,35.380
Great Britain,2021-03-05,3.23,35.195
Great Britain,2021-03-08,4.03,34.995
Great Britain,2021-03-09,5.69,34.951
Great Britain,2021-03-10,7.53,35.359
Great Britain,2021-03-11,8.07,34.810
Great Britain,2021-03-12,6.12,33.920
Great Britain,2021-03-15,7.97,34.042
Great Britain,2021-03-16,8.93,33.757
Great Britain,2021-03-17,6.34,33.844
Great Britain,2021-03-18,6.79,33.961
Great Britain,2021-03-19,7.72,32.905
Great Britain,2021-03-22,6.77,33.017
Great Britain,2021-03-23,7.28,33.415
Great Britain,2021-03-24,8.15,33.217
Great Britain,2021-03-25,7.81,32.472
Great Britain,2021-03-26,7.86,32.316
Great Britain,2021-03-29,11.67,31.434
Great Britain,2021-03-30,11.60,31.000
Great Britain,2021-03-31,13.46,29.912
Great Britain,2021-04-01,8.91,30.474
Great Britain,2021-04-02,6.04,29.059
Great Britain,2021-04-05,4.75,29.249
Great Britain,2021-04-06,2.20,33.628
Great Britain,2021-04-07,2.24,34.660
Great Britain,2021-04-08,6.46,33.087
Great Britain,2021-04-09,6.79,32.656
Great Britain,2021-04-12,3.08,33.467
Great Britain,2021-04-13,4.68,33.516
Great Britain,2021-04-14,5.81,32.893
Great Britain,2021-04-15,4.81,33.076
Great Britain,2021-04-16,5.22,32.466
Great Britain,2021-04-19,8.48,31.505
Great Britain,2021-04-20,9.35,31.302
Great Britain,2021-04-21,8.63,31.757
Great Britain,2021-04-22,6.98,31.736
Great Britain,2021-04-23,8.53,30.605
Great Britain,2021-04-26,7.44,31.328
Great Britain,2021-04-27,8.22,31.827
Great Britain,2021-04-28,7.55,32.248
Great Britain,2021-04-29,6.42,32.592
Great Britain,2021-04-30,5.91,31.490
Great Britain,2021-05-03,7.76,29.911
Great Britain,2021-05-04,8.29,32.845
Great Britain,2021-05-05,6.08,32.923
Great Britain,2021-05-06,5.93,32.846
Great Britain,2021-05-07,7.55,31.586
Great Britain,2021-05-10,11.93,30.766
Great Britain,2021-05-11,10.57,30.760
Great Britain,2021-05-12,10.98,30.870
Great Britain,2021-05-13,10.62,30.505
Great Britain,2021-05-14,9.79,30.244
Great Britain,2021-05-17,10.73,30.611
Great Britain,2021-05-18,10.55,30.715
Great Britain,2021-05-19,10.65,30.682
Great Britain,2021-05-20,9.63,31.698
Great Britain,2021-05-21,10.71,31.784
Great Britain,2021-05-24,9.49,31.629
Great Britain,2021-05-25,10.25,31.623
Great Britain,2021-05-26,10.33,31.269
Great Britain,2021-05-27,12.66,30.338
Great Britain,2021-05-28,13.50,29.225
Great Britain,2021-05-31,14.75,26.369
Great Britain,2021-06-01,17.08,28.755
Great Britain,2021-06-02,17.96,29.218
Great Britain,2021-06-03,17.65,29.301
Great Britain,2021-06-04,14.26,28.922
Great Britain,2021-06-07,16.46,29.101
Great Britain,2021-06-08,16.63,29.586
Great Britain,2021-06-09,17.59,29.807
Great Britain,2021-06-10,18.32,29.971
Great Britain,2021-06-11,18.01,29.150
Great Britain,2021-06-14,18.62,29.243
Great Britain,2021-06-15,17.13,29.355
Great Britain,2021-06-16,19.30,30.125
Great Britain,2021-06-17,17.79,29.682
Great Britain,2021-06-18,14.26,29.290
Great Britain,2021-06-21,12.45,29.396
Great Britain,2021-06-22,12.75,29.604
Great Britain,2021-06-23,13.60,29.188
Great Britain,2021-06-24,15.19,29.575
Great Britain,2021-06-25,14.99,28.795
Great Britain,2021-06-28,16.20,28.815
Great Britain,2021-06-29,16.21,29.472
Great Britain,2021-06-30,14.56,29.081
Great Britain,2021-07-01,15.98,29.379
Great Britain,2021-07-02,17.24,28.650
Great Britain,2021-07-05,15.63,28.949
Great Britain,2021-07-06,14.76,29.328
Great Britain,2021-07-07,16.04,29.383
Great Britain,2021-07-08,16.36,29.141
Great Britain,2021-07-09,16.94,28.706
Great Britain,2021-07-12,16.22,28.478
Great Britain,2021-07-13,17.63,29.050
Great Britain,2021-07-14,17.80,29.497
Great Britain,2021-07-15,17.72,29.365
Great Britain,2021-07-16,18.25,28.841
Great Britain,2021-07-19,21.61,29.834
Great Britain,2021-07-20,21.87,30.251
Great Britain,2021-07-21,21.72,30.190
Great Britain,2021-07-22,21.27,29.833
Great Britain,2021-07-23,18.67,28.735
Great Britain,2021-07-26,18.93,28.384
Great Britain,2021-07-27,17.42,28.561
Great Britain,2021-07-28,15.98,28.300
Great Britain,2021-07-29,15.77,28.107
Great Britain,2021-07-30,15.50,27.861
Great Britain,2021-09-01,15.13,29.323
Great Britain,2021-09-02,15.41,29.455
Great Britain,2021-09-03,15.46,28.899
Great Britain,2021-09-06,19.07,29.547
Great Britain,2021-09-07,20.57,29.998
Great Britain,2021-09-08,21.00,30.262
Great Britain,2021-09-09,18.67,29.596
Great Britain,2021-09-10,18.01,29.351
Great Britain,2021-09-13,15.32,29.387
Great Britain,2021-09-14,15.50,29.524
Great Britain,2021-09-15,15.72,29.534
Great Britain,2021-09-16,15.70,29.726
Great Britain,2021-09-17,15.67,29.065
Great Britain,2021-09-20,14.53,29.090
Great Britain,2021-09-21,14.73,29.573
Great Britain,2021-09-22,14.63,29.461
Great Britain,2021-09-23,15.54,29.398
Great Britain,2021-09-24,16.30,29.307
Great Britain,2021-09-27,14.65,29.372
Great Britain,2021-09-28,12.48,30.030
Great Britain,2021-09-29,10.58,30.370
Great Britain,2021-09-30,12.20,31.044
Great Britain,2021-10-01,13.44,29.899
Great Britain,2021-10-04,11.76,31.086
Great Britain,2021-10-05,11.68,31.881
Great Britain,2021-10-06,11.70,31.591
Great Britain,2021-10-07,15.28,31.038
Great Britain,2021-10-08,15.57,30.331
Great Britain,2021-10-11,11.18,30.533
Great Britain,2021-10-12,11.50,31.234
Great Britain,2021-10-13,11.81,31.421
Great Britain,2021-10-14,12.25,31.538
Great Britain,2021-10-15,10.84,30.989
Great Britain,2021-10-18,13.31,31.708
Great Britain,2021-10-19,16.97,31.590
Great Britain,2021-10-20,13.64,31.423
Great Britain,2021-10-21,8.51,32.280
Great Britain,2021-10-22,8.69,32.167
Great Britain,2021-10-25,11.08,31.437
Great Britain,2021-10-26,11.89,32.109
Great Britain,2021-10-27,14.70,31.554
Great Britain,2021-10-28,13.80,31.335
Great Britain,2021-10-29,12.24,31.382
Great Britain,2021-11-01,8.87,33.256
Great Britain,2021-11-02,6.31,33.386
Great Britain,2021-11-03,5.66,34.152
Great Britain,2021-11-04,5.82,34.983
Great Britain,2021-11-05,5.75,34.708
Great Britain,2021-11-08,8.16,34.264
Great Britain,2021-11-09,12.22,33.246
Great Britain,2021-11-10,10.94,33.321
Great Britain,2021-11-11,10.26,33.597
Great Britain,2021-11-12,11.44,32.711
Great Britain,2021-11-15,9.00,33.179
Great Britain,2021-11-16,8.59,34.311
Great Britain,2021-11-17,8.08,34.151
Great Britain,2021-11-18,10.21,33.979
Great Britain,2021-11-19,11.10,33.198
Great Britain,2021-11-22,4.62,35.962
Great Britain,2021-11-23,4.70,36.514
Great Britain,2021-11-24,5.80,36.115
Great Britain,2021-11-25,3.45,36.302
Great Britain,2021-11-26,4.68,36.652
