year,source,twh
1985,Coal,177
1985,Gas,3
1985,Nuclear,61
1985,Wind,0
1985,Solar,0
1985,Hydropower,4
1985,Bioenergy,0
1986,Coal,201
1986,Gas,2
1986,Nuclear,59
1986,Wind,0
1986,Solar,0
1986,Hydropower,5
1986,Bioenergy,0
1987,Coal,210
1987,Gas,5
1987,Nuclear,55
1987,Wind,0
1987,Solar,0
1987,Hydropower,4
1987,Bioenergy,0
1988,Coal,203
1988,Gas,5
1988,Nuclear,63
1988,Wind,0
1988,Solar,0
1988,Hydropower,5
1988,Bioenergy,0
1989,Coal,200
1989,Gas,5
1989,Nuclear,72
1989,Wind,0
1989,Solar,0
1989,Hydropower,5
1989,Bioenergy,0
1990,Coal,206
1990,Gas,5
1990,Nuclear,66
1990,Wind,0
1990,Solar,0
1990,Hydropower,5
1990,Bioenergy,1
1991,Coal,211
1991,Gas,6
1991,Nuclear,71
1991,Wind,0
1991,Solar,0
1991,Hydropower,5
1991,Bioenergy,1
1992,Coal,194
1992,Gas,13
1992,Nuclear,77
1992,Wind,0
1992,Solar,0
1992,Hydropower,5
1992,Bioenergy,1
1993,Coal,171
1993,Gas,34
1993,Nuclear,89
1993,Wind,0
1993,Solar,0
1993,Hydropower,4
1993,Bioenergy,1
1994,Coal,161
1994,Gas,53
1994,Nuclear,88
1994,Wind,0
1994,Solar,0
1994,Hydropower,5
1994,Bioenergy,2
1995,Coal,155
1995,Gas,64
1995,Nuclear,89
1995,Wind,0
1995,Solar,0
1995,Hydropower,5
1995,Bioenergy,2
1996,Coal,147
1996,Gas,84
1996,Nuclear,95
1996,Wind,0
1996,Solar,0
1996,Hydropower,3
1996,Bioenergy,2
1997,Coal,122
1997,Gas,111
1997,Nuclear,98
1997,Wind,1
1997,Solar,0
1997,Hydropower,4
1997,Bioenergy,2
1998,Coal,123
1998,Gas,118
1998,Nuclear,99
1998,Wind,1
1998,Solar,0
1998,Hydropower,5
1998,Bioenergy,3
1999,Coal,106
1999,Gas,143
1999,Nuclear,95
1999,Wind,1
1999,Solar,0
1999,Hydropower,5
1999,Bioenergy,3
2000,Coal,120
2000,Gas,148
2000,Nuclear,85
2000,Wind,1
2000,Solar,0
2000,Hydropower,5
2000,Bioenergy,4
2001,Coal,131
2001,Gas,142
2001,Nuclear,90
2001,Wind,1
2001,Solar,0
2001,Hydropower,4
2001,Bioenergy,5
2002,Coal,124
2002,Gas,152
2002,Nuclear,88
2002,Wind,1
2002,Solar,0
2002,Hydropower,5
2002,Bioenergy,5
2003,Coal,138
2003,Gas,149
2003,Nuclear,89
2003,Wind,1
2003,Solar,0
2003,Hydropower,3
2003,Bioenergy,6
2004,Coal,132
2004,Gas,157
2004,Nuclear,80
2004,Wind,2
2004,Solar,0
2004,Hydropower,5
2004,Bioenergy,7
2005,Coal,135
2005,Gas,153
2005,Nuclear,82
2005,Wind,3
2005,Solar,0
2005,Hydropower,5
2005,Bioenergy,9
2006,Coal,149
2006,Gas,141
2006,Nuclear,75
2006,Wind,4
2006,Solar,0
2006,Hydropower,5
2006,Bioenergy,9
2007,Coal,136
2007,Gas,166
2007,Nuclear,63
2007,Wind,5
2007,Solar,0
2007,Hydropower,5
2007,Bioenergy,9
2008,Coal,124
2008,Gas,176
2008,Nuclear,52
2008,Wind,7
2008,Solar,0
2008,Hydropower,5
2008,Bioenergy,10
2009,Coal,103
2009,Gas,167
2009,Nuclear,69
2009,Wind,9
2009,Solar,0
2009,Hydropower,5
2009,Bioenergy,11
2010,Coal,108
2010,Gas,176
2010,Nuclear,62
2010,Wind,10
