year,source,kwhdp
1985,Coal,8.57
1985,Gas,0.14
1985,Nuclear,2.96
1985,Wind,0.00
1985,Solar,0.00
1985,Hydropower,0.19
1985,Bioenergy,0.00
1986,Coal,9.72
1986,Gas,0.08
1986,Nuclear,2.85
1986,Wind,0.00
1986,Solar,0.00
1986,Hydropower,0.23
1986,Bioenergy,0.00
1987,Coal,10.11
1987,Gas,0.22
1987,Nuclear,2.66
1987,Wind,0.00
1987,Solar,0.00
1987,Hydropower,0.20
1987,Bioenergy,0.00
1988,Coal,9.77
1988,Gas,0.23
1988,Nuclear,3.05
1988,Wind,0.00
1988,Solar,0.00
1988,Hydropower,0.23
1988,Bioenergy,0.00
1989,Coal,9.58
1989,Gas,0.24
1989,Nuclear,3.44
1989,Wind,0.00
1989,Solar,0.00
1989,Hydropower,0.23
1989,Bioenergy,0.00
1990,Coal,9.86
1990,Gas,0.24
1990,Nuclear,3.14
1990,Wind,0.00
1990,Solar,0.00
1990,Hydropower,0.24
1990,Bioenergy,0.03
1991,Coal,10.07
1991,Gas,0.28
1991,Nuclear,3.36
1991,Wind,0.00
1991,Solar,0.00
1991,Hydropower,0.22
1991,Bioenergy,0.03
1992,Coal,9.19
1992,Gas,0.60
1992,Nuclear,3.65
1992,Wind,0.00
1992,Solar,0.00
1992,Hydropower,0.25
1992,Bioenergy,0.04
1993,Coal,8.11
1993,Gas,1.61
1993,Nuclear,4.23
1993,Wind,0.01
1993,Solar,0.00
1993,Hydropower,0.20
1993,Bioenergy,0.06
1994,Coal,7.62
1994,Gas,2.52
1994,Nuclear,4.17
1994,Wind,0.02
1994,Solar,0.00
1994,Hydropower,0.24
1994,Bioenergy,0.07
1995,Coal,7.31
1995,Gas,3.00
1995,Nuclear,4.19
1995,Wind,0.02
1995,Solar,0.00
1995,Hydropower,0.22
1995,Bioenergy,0.08
1996,Coal,6.92
1996,Gas,3.95
1996,Nuclear,4.45
1996,Wind,0.02
1996,Solar,0.00
1996,Hydropower,0.16
1996,Bioenergy,0.08
1997,Coal,5.72
1997,Gas,5.20
1997,Nuclear,4.60
1997,Wind,0.03
1997,Solar,0.00
1997,Hydropower,0.21
1997,Bioenergy,0.10
1998,Coal,5.75
1998,Gas,5.50
1998,Nuclear,4.65
1998,Wind,0.04
1998,Solar,0.00
1998,Hydropower,0.24
1998,Bioenergy,0.12
1999,Coal,4.94
1999,Gas,6.65
1999,Nuclear,4.43
1999,Wind,0.04
1999,Solar,0.00
1999,Hydropower,0.25
1999,Bioenergy,0.16
2000,Coal,5.56
2000,Gas,6.87
2000,Nuclear,3.95
2000,Wind,0.04
2000,Solar,0.00
2000,Hydropower,0.24
2000,Bioenergy,0.18
2001,Coal,6.07
2001,Gas,6.56
2001,Nuclear,4.16
2001,Wind,0.04
2001,Solar,0.00
2001,Hydropower,0.19
2001,Bioenergy,0.21
2002,Coal,5.72
2002,Gas,7.01
2002,Nuclear,4.04
2002,Wind,0.06
2002,Solar,0.00
2002,Hydropower,0.22
2002,Bioenergy,0.23
2003,Coal,6.34
2003,Gas,6.82
2003,Nuclear,4.06
2003,Wind,0.06
2003,Solar,0.00
2003,Hydropower,0.15
2003,Bioenergy,0.28
2004,Coal,6.00
2004,Gas,7.15
2004,Nuclear,3.64
2004,Wind,0.09
2004,Solar,0.00
2004,Hydropower,0.22
2004,Bioenergy,0.34
2005,Coal,6.09
2005,Gas,6.90
2005,Nuclear,3.69
2005,Wind,0.13
2005,Solar,0.00
2005,Hydropower,0.22
2005,Bioenergy,0.41
2006,Coal,6.68
2006,Gas,6.32
2006,Nuclear,3.39
2006,Wind,0.19
2006,Solar,0.00
2006,Hydropower,0.21
2006,Bioenergy,0.42
2007,Coal,6.05
2007,Gas,7.38
2007,Nuclear,2.81
2007,Wind,0.23
2007,Solar,0.00
2007,Hydropower,0.23
2007,Bioenergy,0.41
2008,Coal,5.49
2008,Gas,7.78
2008,Nuclear,2.32
2008,Wind,0.31
2008,Solar,0.00
2008,Hydropower,0.23
2008,Bioenergy,0.43
2009,Coal,4.52
2009,Gas,7.30
2009,Nuclear,3.03
2009,Wind,0.41
2009,Solar,0.00
2009,Hydropower,0.23
2009,Bioenergy,0.47
2010,Coal,4.68
2010,Gas,7.64
2010,Nuclear,2.70
2010,Wind,0.45
2010,Solar,0.00
2010,Hydropower,0.16
2010,Bioenergy,0.53
2011,Coal,4.68
2011,Gas,6.32
2011,Nuclear,2.98
2011,Wind,0.69
2011,Solar,0.01
2011,Hydropower,0.25
2011,Bioenergy,0.57
2012,Coal,6.12
2012,Gas,4.29
2012,Nuclear,3.02
2012,Wind,0.85
2012,Solar,0.06
2012,Hydropower,0.23
2012,Bioenergy,0.63
2013,Coal,5.54
2013,Gas,4.08
2013,Nuclear,3.00
2013,Wind,1.21
2013,Solar,0.09
2013,Hydropower,0.20
2013,Bioenergy,0.77
2014,Coal,4.23
2014,Gas,4.26
2014,Nuclear,2.69
2014,Wind,1.35
2014,Solar,0.17
2014,Hydropower,0.25
2014,Bioenergy,0.96
2015,Coal,3.18
2015,Gas,4.19
2015,Nuclear,2.95
2015,Wind,1.69
2015,Solar,0.32
2015,Hydropower,0.26
2015,Bioenergy,1.23
2016,Coal,1.28
2016,Gas,5.95
2016,Nuclear,2.98
2016,Wind,1.55
2016,Solar,0.43
2016,Hydropower,0.22
2016,Bioenergy,1.25
2017,Coal,0.93
2017,Gas,5.65
2017,Nuclear,2.90
