year,category,twh
1965,Coal,1365
1965,Oil,886
1965,Gas,9
1965,Nuclear,42
1965,Renewables,13
1966,Coal,1299
1966,Oil,949
1966,Gas,8
1966,Nuclear,56
1966,Renewables,13
1967,Coal,1214
1967,Oil,1020
1967,Gas,14
1967,Nuclear,65
1967,Renewables,14
1968,Coal,1215
1968,Oil,1079
1968,Gas,32
1968,Nuclear,73
1968,Renewables,10
1969,Coal,1184
1969,Oil,1160
1969,Gas,62
1969,Nuclear,81
1969,Renewables,9
1970,Coal,1117
1970,Oil,1229
1970,Gas,118
1970,Nuclear,72
1970,Renewables,13
1971,Coal,990
1971,Oil,1235
1971,Gas,191
1971,Nuclear,77
1971,Renewables,9
1972,Coal,867
1972,Oil,1310
1972,Gas,271
1972,Nuclear,82
1972,Renewables,9
1973,Coal,939
1973,Oil,1345
1973,Gas,293
1973,Nuclear,78
1973,Renewables,11
1974,Coal,827
1974,Oil,1249
1974,Gas,350
1974,Nuclear,93
1974,Renewables,11
1975,Coal,832
1975,Oil,1092
1975,Gas,367
1975,Nuclear,84
1975,Renewables,11
1976,Coal,846
1976,Oil,1086
1976,Gas,389
1976,Nuclear,100
1976,Renewables,13
1977,Coal,849
1977,Oil,1095
1977,Gas,414
1977,Nuclear,111
1977,Renewables,11
1978,Coal,827
1978,Oil,1123
1978,Gas,429
1978,Nuclear,103
1978,Renewables,11
1979,Coal,889
1979,Oil,1133
1979,Gas,470
1979,Nuclear,106
1979,Renewables,12
1980,Coal,826
1980,Oil,969
1980,Gas,469
1980,Nuclear,103
1980,Renewables,11
1981,Coal,822
1981,Oil,897
1981,Gas,475
1981,Nuclear,105
1981,Renewables,12
1982,Coal,767
1982,Oil,908
1982,Gas,473
1982,Nuclear,122
1982,Renewables,13
1983,Coal,774
1983,Oil,873
1983,Gas,493
1983,Nuclear,139
1983,Renewables,13
1984,Coal,550
1984,Oil,1073
1984,Gas,504
1984,Nuclear,150
1984,Renewables,13
1985,Coal,731
1985,Oil,932
1985,Gas,542
1985,Nuclear,170
1985,Renewables,11
1986,Coal,790
1986,Oil,934
1986,Gas,551
1986,Nuclear,164
1986,Renewables,13
1987,Coal,809
1987,Oil,909
1987,Gas,566
1987,Nuclear,153
1987,Renewables,12
1988,Coal,785
1988,Oil,967
1988,Gas,539
1988,Nuclear,176
1988,Renewables,14
1989,Coal,756
1989,Oil,988
1989,Gas,527
1989,Nuclear,199
1989,Renewables,13
1990,Coal,755
1990,Oil,1001
1990,Gas,549
1990,Nuclear,183
1990,Renewables,16
1991,Coal,757
1991,Oil,996
1991,Gas,593
1991,Nuclear,196
1991,Renewables,15
1992,Coal,711
1992,Oil,1007
1992,Gas,590
1992,Nuclear,213
1992,Renewables,18
1993,Coal,619
1993,Oil,1012
1993,Gas,672
1993,Nuclear,248
1993,Renewables,16
1994,Coal,578
1994,Oil,1002
1994,Gas,692
1994,Nuclear,245
1994,Renewables,20
1995,Coal,552
1995,Oil,990
1995,Gas,738
1995,Nuclear,247
1995,Renewables,19
1996,Coal,516
1996,Oil,1015
1996,Gas,860
1996,Nuclear,263
1996,Renewables,16
1997,Coal,460
1997,Oil,985
1997,Gas,884
1997,Nuclear,273
1997,Renewables,21
1998,Coal,449
1998,Oil,975
1998,Gas,919
1998,Nuclear,276
1998,Renewables,25
1999,Coal,399
1999,Oil,962
1999,Gas,979
1999,Nuclear,264
1999,Renewables,28
2000,Coal,427
2000,Oil,952
2000,Gas,1013
2000,Nuclear,236
2000,Renewables,29
2001,Coal,453
2001,Oil,948
2001,Gas,1009
2001,Nuclear,249
2001,Renewables,28
2002,Coal,415
2002,Oil,940
2002,Gas,995
2002,Nuclear,241
2002,Renewables,32
2003,Coal,443
2003,Oil,948
2003,Gas,998
2003,Nuclear,242
2003,Renewables,32
2004,Coal,433
2004,Oil,974
2004,Gas,1020
2004,Nuclear,217
2004,Renewables,42
2005,Coal,440
2005,Oil,1002
2005,Gas,994
2005,Nuclear,219
2005,Renewables,50
2006,Coal,481
2006,Oil,992
2006,Gas,943
2006,Nuclear,202
2006,Renewables,55
2007,Coal,453
2007,Oil,964
2007,Gas,953
2007,Nuclear,168
2007,Renewables,61
2008,Coal,420
2008,Oil,944
2008,Gas,978
2008,Nuclear,138
2008,Renewables,72
2009,Coal,347
2009,Oil,903
2009,Gas,912
2009,Nuclear,181
2009,Renewables,72
2010,Coal,355
2010,Oil,892
2010,Gas,985
2010,Nuclear,162
2010,Renewables,75
2011,Coal,358
2011,Oil,869
2011,Gas,819
2011,Nuclear,179
2011,Renewables,99
2012,Coal,451
2012,Oil,849
2012,Gas,769
2012,Nuclear,181
2012,Renewables,115
2013,Coal,435
2013,Oil,840
2013,Gas,763
2013,Nuclear,181
2013,Renewables,158
2014,Coal,351
2014,Oil,839
2014,Gas,701
2014,Nuclear,162
2014,Renewables,191
2015,Coal,277
2015,Oil,850
2015,Gas,720
2015,Nuclear,178
2015,Renewables,239
2016,Coal,141
2016,Oil,874
2016,Gas,799
2016,Nuclear,180
2016,Renewables,238
2017,Coal,114
2017,Oil,884
2017,Gas,782
2017,Nuclear,176
2017,Renewables,278
2018,Coal,96
2018,Oil,871
2018,Gas,788
2018,Nuclear,162
2018,Renewables,312
2019,Coal,69
2019,Oil,846
2019,Gas,779
2019,Nuclear,139
2019,Renewables,341
2020,Coal,63
2020,Oil,667
2020,Gas,735
2020,Nuclear,124
2020,Renewables,374
2021,Coal,64
2021,Oil,681
2021,Gas,770
2021,Nuclear,114
2021,Renewables,345
2022,Coal,59
2022,Oil,730
2022,Gas,705
2022,Nuclear,116
2022,Renewables,380
2023,Coal,51
2023,Oil,741
2023,Gas,636
2023,Nuclear,99
2023,Renewables,381
2024,Coal,47
2024,Oil,744
2024,Gas,619
2024,Nuclear,99
2024,Renewables,408
