USPS	GEOID	NAME	ALAND	AWATER	ALAND_SQMI	AWATER_SQMI	INTPTLAT	INTPTLONG                                                                                                                        
AL	01	Alabama	131185561946	4581813708	50651.031	1769.048	32.739579	-86.843447                                                                                                                           
AK	02	Alaska	1479508971743	244710526650	571241.632	94483.267	63.347356	-152.839733                                                                                                                      
AZ	04	Arizona	294366118294	853991999	113655.399	329.728	34.203936	-111.606345                                                                                                                           
AR	05	Arkansas	134658517854	3122715710	51991.947	1205.687	34.895526	-92.444626                                                                                                                          
CA	06	California	403673433805	20291632828	155859.191	7834.644	37.155177	-119.543418                                                                                                                     
CO	08	Colorado	268418973518	1185541418	103637.149	457.74	38.993767	-105.508712                                                                                                                          
CT	09	Connecticut	12541999507	1816115183	4842.493	701.206	41.579864	-72.746657                                                                                                                          
DE	10	Delaware	5046692239	1399219008	1948.539	540.242	38.998566	-75.441644                                                                                                                              
DC	11	District of Columbia	158316181	18709785	61.126	7.224	38.904247	-77.016517                                                                                                                         
FL	12	Florida	138965379385	45968913048	53654.835	17748.697	28.398978	-82.5143                                                                                                                           
GA	13	Georgia	149485762701	4419221858	57716.778	1706.271	32.629579	-83.423511                                                                                                                           
HI	15	Hawaii	16634423918	11777375352	6422.587	4547.27	19.828167	-155.495042                                                                                                                             
ID	16	Idaho	214050504522	2390996667	82645.365	923.169	44.348422	-114.558854                                                                                                                             
IL	17	Illinois	143778206717	6216848695	55513.078	2400.339	40.102875	-89.152611                                                                                                                          
IN	18	Indiana	92786694938	1543916881	35825.145	596.11	39.901314	-86.291913                                                                                                                              
IA	19	Iowa	144660344616	1085343719	55853.674	419.054	42.070024	-93.493347                                                                                                                               
KS	20	Kansas	211753821560	1345663763	81758.611	519.564	38.498546	-98.38343                                                                                                                              
KY	21	Kentucky	102266755818	2384136185	39485.417	920.52	37.533684	-85.29298                                                                                                                             
LA	22	Louisiana	111920866908	23730773357	43212.89	9162.503	30.708319	-91.604621                                                                                                                         
ME	23	Maine	79888396620	11745065493	30845.084	4534.795	45.409284	-68.666616                                                                                                                             
MD	24	Maryland	25151223822	6979843236	9710.942	2694.933	38.946658	-76.674494                                                                                                                            
MA	25	Massachusetts	20204400635	7130649971	7800.963	2753.159	42.15652	-71.489592                                                                                                                        
MI	26	Michigan	146621709684	103864424446	56610.961	40102.28	44.844177	-85.660491                                                                                                                        
MN	27	Minnesota	206244791203	18937236061	79631.562	7311.708	46.315957	-94.199604                                                                                                                        
MS	28	Mississippi	121534116434	3914302814	46924.587	1511.321	32.686471	-89.656138                                                                                                                       
MO	29	Missouri	178052403953	2487375487	68746.42	960.381	38.35075	-92.456783                                                                                                                             
MT	30	Montana	376973404582	3866958878	145550.251	1493.041	47.051177	-109.634817                                                                                                                         
NE	31	Nebraska	198949953125	1378956981	76815.01	532.418	41.543305	-99.811865                                                                                                                            
NV	32	Nevada	284537045743	1839880833	109860.372	710.382	39.331093	-116.615147                                                                                                                           
NH	33	New Hampshire	23190211616	1025871482	8953.791	396.091	43.672794	-71.584189                                                                                                                        
NJ	34	New Jersey	19049229866	3533374440	7354.949	1364.244	40.107274	-74.665201                                                                                                                          
NM	35	New Mexico	314198519809	726531289	121312.732	280.515	34.434684	-106.131618                                                                                                                        
NY	36	New York	122049155860	19256755462	47123.445	7435.075	42.913397	-75.596272                                                                                                                         
NC	37	North Carolina	125935965771	13453455061	48624.15	5194.408	35.53971	-79.130864                                                                                                                     
ND	38	North Dakota	178694319927	4414770689	68994.266	1704.553	47.442174	-100.460826                                                                                                                     
OH	39	Ohio	105824130554	10274225585	40858.927	3966.901	40.41493	-82.711997                                                                                                                              
OK	40	Oklahoma	177664629521	3373250292	68596.7	1302.419	35.590081	-97.486779                                                                                                                            
OR	41	Oregon	248630421366	6168761370	95996.746	2381.772	43.971712	-120.622958                                                                                                                           
PA	42	Pennsylvania	115881476238	3397613881	44742.09	1311.826	40.904604	-77.827523                                                                                                                       
RI	44	Rhode Island	2677768885	1323681453	1033.892	511.076	41.596485	-71.52649                                                                                                                           
SC	45	South Carolina	77865663223	5074780894	30064.102	1959.384	33.874178	-80.854264                                                                                                                     
SD	46	South Dakota	196341670967	3387563375	75807.946	1307.946	44.446796	-100.238176                                                                                                                     
TN	47	Tennessee	106770544103	2345359962	41224.339	905.549	35.85846	-86.349634                                                                                                                           
TX	48	Texas	676656702022	19011620342	261258.624	7340.428	31.434703	-99.281824                                                                                                                           
UT	49	Utah	213921882299	5963163952	82595.704	2302.391	39.334993	-111.656333                                                                                                                             
VT	50	Vermont	23872594714	1030642813	9217.261	397.933	44.058954	-72.671017                                                                                                                              
VA	51	Virginia	102256342555	8529908321	39481.396	3293.416	37.522251	-78.668194                                                                                                                          
WA	53	Washington	172118798160	12549101417	66455.442	4845.235	47.407324	-120.5758                                                                                                                        
WV	54	West Virginia	62266513826	488918898	24041.236	188.773	38.647285	-80.618327                                                                                                                        
WI	55	Wisconsin	140294555214	29341156602	54168.033	11328.684	44.630907	-89.709392                                                                                                                       
WY	56	Wyoming	251458190512	1868025485	97088.554	721.249	42.989659	-107.544392                                                                                                                           
PR	72	Puerto Rico	8869519701	4921758891	3424.541	1900.302	18.217648	-66.410799                                                                                                                          
