years,waste_wm2,temperature_k
0,0.1400,288.18
5,0.1571,288.18
10,0.1762,288.18
15,0.1978,288.18
20,0.2219,288.18
25,0.2490,288.19
30,0.2793,288.19
35,0.3134,288.19
40,0.3517,288.19
45,0.3946,288.20
50,0.4427,288.20
55,0.4967,288.20
60,0.5574,288.21
65,0.6254,288.21
70,0.7017,288.22
75,0.7873,288.22
80,0.8833,288.23
85,0.9911,288.24
90,1.1121,288.24
95,1.2478,288.25
100,1.4000,288.26
105,1.5708,288.27
110,1.7625,288.29
115,1.9776,288.30
120,2.2189,288.32
125,2.4896,288.33
130,2.7934,288.35
135,3.1342,288.38
140,3.5166,288.40
145,3.9457,288.43
150,4.4272,288.46
155,4.9674,288.50
160,5.5735,288.54
165,6.2536,288.58
170,7.0166,288.63
175,7.8728,288.69
180,8.8334,288.75
185,9.9112,288.82
190,11.1206,288.90
195,12.4775,288.99
200,14.0000,289.09
205,15.7083,289.21
210,17.6250,289.33
215,19.7755,289.47
220,22.1885,289.63
225,24.8959,289.81
230,27.9337,290.00
235,31.3421,290.22
240,35.1664,290.47
245,39.4574,290.75
250,44.2719,291.06
255,49.6739,291.40
260,55.7350,291.79
265,62.5357,292.22
270,70.1662,292.70
275,78.7278,293.24
280,88.3340,293.84
285,99.1124,294.51
290,111.2060,295.25
295,124.7751,296.07
300,140.0000,296.99
305,157.0826,298.01
310,176.2496,299.14
315,197.7553,300.38
320,221.8850,301.76
325,248.9591,303.29
330,279.3367,304.97
335,313.4210,306.82
340,351.6641,308.85
345,394.5736,311.07
350,442.7189,313.51
355,496.7387,316.17
360,557.3500,319.07
365,625.3570,322.22
370,701.6621,325.63
375,787.2779,329.33
380,883.3403,333.32
385,991.1241,337.61
390,1112.0595,342.22
395,1247.7513,347.16
400,1400.0000,352.44
405,1570.8258,358.06
410,1762.4956,364.05
415,1977.5526,370.40
420,2218.8505,377.12
425,2489.5912,384.22
430,2793.3672,391.71
435,3134.2096,399.58
440,3516.6410,407.86
445,3945.7361,416.53
450,4427.1887,425.61
455,4967.3874,435.10
460,5573.5004,445.00
465,6253.5703,455.33
470,7016.6213,466.08
475,7872.7786,477.25
480,8833.4028,488.87
485,9911.2410,500.92
490,11120.5953,513.42
495,12477.5131,526.38
500,14000.0000,539.80
