model,height_m,speed_ms,power_density_wm2
DWIA,10,6.000,140.4
DWIA,12,6.238,157.7
DWIA,14,6.438,173.5
DWIA,16,6.612,187.9
DWIA,18,6.766,201.3
DWIA,20,6.903,213.8
DWIA,22,7.027,225.6
DWIA,24,7.141,236.7
DWIA,26,7.245,247.2
DWIA,28,7.341,257.2
DWIA,30,7.431,266.8
DWIA,32,7.515,275.9
DWIA,34,7.594,284.7
DWIA,36,7.669,293.2
DWIA,38,7.739,301.3
DWIA,40,7.806,309.2
DWIA,42,7.870,316.8
DWIA,44,7.930,324.2
DWIA,46,7.988,331.3
DWIA,48,8.044,338.3
DWIA,50,8.097,345.0
DWIA,52,8.148,351.6
DWIA,54,8.197,358.0
DWIA,56,8.245,364.3
DWIA,58,8.290,370.4
DWIA,60,8.334,376.3
DWIA,62,8.377,382.1
DWIA,64,8.419,387.8
DWIA,66,8.459,393.4
DWIA,68,8.498,398.8
DWIA,70,8.535,404.2
DWIA,72,8.572,409.4
DWIA,74,8.608,414.5
DWIA,76,8.642,419.6
DWIA,78,8.676,424.5
DWIA,80,8.709,429.4
DWIA,82,8.741,434.2
DWIA,84,8.773,438.9
DWIA,86,8.803,443.5
DWIA,88,8.833,448.0
DWIA,90,8.863,452.5
DWIA,92,8.891,456.9
DWIA,94,8.919,461.2
DWIA,96,8.947,465.5
DWIA,98,8.974,469.7
DWIA,100,9.000,473.8
DWIA,102,9.026,477.9
DWIA,104,9.051,482.0
DWIA,106,9.076,485.9
DWIA,108,9.100,489.9
DWIA,110,9.124,493.7
DWIA,112,9.148,497.6
DWIA,114,9.171,501.3
DWIA,116,9.193,505.1
DWIA,118,9.216,508.7
DWIA,120,9.238,512.4
DWIA,122,9.259,516.0
DWIA,124,9.280,519.5
DWIA,126,9.301,523.0
DWIA,128,9.322,526.5
DWIA,130,9.342,529.9
DWIA,132,9.362,533.3
DWIA,134,9.381,536.7
DWIA,136,9.401,540.0
DWIA,138,9.420,543.3
DWIA,140,9.438,546.5
DWIA,142,9.457,549.7
DWIA,144,9.475,552.9
DWIA,146,9.493,556.1
DWIA,148,9.511,559.2
DWIA,150,9.528,562.3
DWIA,152,9.546,565.3
DWIA,154,9.563,568.4
DWIA,156,9.579,571.4
DWIA,158,9.596,574.4
DWIA,160,9.612,577.3
DWIA,162,9.629,580.2
DWIA,164,9.645,583.1
DWIA,166,9.660,586.0
DWIA,168,9.676,588.8
DWIA,170,9.691,591.7
DWIA,172,9.707,594.4
DWIA,174,9.722,597.2
DWIA,176,9.737,600.0
DWIA,178,9.751,602.7
DWIA,180,9.766,605.4
DWIA,182,9.780,608.1
DWIA,184,9.794,610.7
DWIA,186,9.809,613.4
DWIA,188,9.822,616.0
DWIA,190,9.836,618.6
DWIA,192,9.850,621.2
DWIA,194,9.863,623.7
DWIA,196,9.877,626.3
DWIA,198,9.890,628.8
DWIA,200,9.903,631.3
