region,year,twh
US,1985,2657
US,1986,2676
US,1987,2772
US,1988,2914
US,1989,3155
US,1990,3233
US,1991,3271
US,1992,3284
US,1993,3405
US,1994,3459
US,1995,3567
US,1996,3663
US,1997,3716
US,1998,3856
US,1999,3936
US,2000,4052
US,2001,3984
US,2002,4112
US,2003,4138
US,2004,4232
US,2005,4323
US,2006,4331
US,2007,4432
US,2008,4390
US,2009,4206
US,2010,4394
US,2011,4363
US,2012,4311
US,2013,4330
US,2014,4363
US,2015,4350
US,2016,4349
US,2017,4304
US,2018,4465
US,2019,4414
US,2020,4288
US,2021,4401
US,2022,4538
US,2023,4499
US,2024,4639
US,2025,4772
Europe,1985,2884
Europe,1986,2947
Europe,1987,3045
Europe,1988,3130
Europe,1989,3191
Europe,1990,3212
Europe,1991,3229
Europe,1992,3190
Europe,1993,3175
Europe,1994,3192
Europe,1995,3279
Europe,1996,3354
Europe,1997,3389
Europe,1998,3467
Europe,1999,3510
Europe,2000,3619
Europe,2001,3685
Europe,2002,3719
Europe,2003,3811
Europe,2004,3896
Europe,2005,3959
Europe,2006,4015
Europe,2007,4065
Europe,2008,4088
Europe,2009,3895
Europe,2010,4066
Europe,2011,4022
Europe,2012,4054
Europe,2013,4023
Europe,2014,3941
Europe,2015,3986
Europe,2016,4025
Europe,2017,4064
Europe,2018,4068
Europe,2019,4000
Europe,2020,3883
Europe,2021,4048
Europe,2022,3905
Europe,2023,3820
Europe,2024,3904
Europe,2025,3956
Africa,1985,259
Africa,1986,270
Africa,1987,280
Africa,1988,295
Africa,1989,307
Africa,1990,319
Africa,1991,325
Africa,1992,328
Africa,1993,339
Africa,1994,351
Africa,1995,363
Africa,1996,382
Africa,1997,401
Africa,1998,406
Africa,1999,419
Africa,2000,440
Africa,2001,459
Africa,2002,488
Africa,2003,509
Africa,2004,541
Africa,2005,560
Africa,2006,586
Africa,2007,611
Africa,2008,624
Africa,2009,630
Africa,2010,673
Africa,2011,688
Africa,2012,723
Africa,2013,745
Africa,2014,771
Africa,2015,791
Africa,2016,800
Africa,2017,827
Africa,2018,850
Africa,2019,871
Africa,2020,854
Africa,2021,898
Africa,2022,910
Africa,2023,919
Africa,2024,962
Africa,2025,991
China,1985,411
China,1986,450
China,1987,497
China,1988,545
China,1989,585
China,1990,621
China,1991,678
China,1992,754
China,1993,812
China,1994,928
China,1995,1007
China,1996,1081
China,1997,1136
China,1998,1167
China,1999,1239
China,2000,1356
China,2001,1481
China,2002,1654
China,2003,1911
China,2004,2203
China,2005,2500
China,2006,2866
China,2007,3282
China,2008,3496
China,2009,3715
China,2010,4207
China,2011,4713
China,2012,4988
China,2013,5432
China,2014,5794
China,2015,5815
China,2016,6133
China,2017,6604
China,2018,7166
China,2019,7503
China,2020,7779
China,2021,8534
China,2022,8849
China,2023,9456
China,2024,10087
China,2025,10575
India,1985,186
India,1986,203
India,1987,224
India,1988,241
India,1989,272
India,1990,288
India,1991,320
India,1992,337
India,1993,362
India,1994,388
India,1995,427
India,1996,443
India,1997,469
India,1998,505
India,1999,547
India,2000,571
India,2001,586
India,2002,610
India,2003,638
India,2004,698
India,2005,705
India,2006,744
India,2007,796
India,2008,828
India,2009,879
India,2010,936
India,2011,1032
India,2012,1088
India,2013,1141
India,2014,1259
India,2015,1311
India,2016,1395
India,2017,1462
India,2018,1572
India,2019,1611
India,2020,1571
India,2021,1683
India,2022,1806
India,2023,1926
India,2024,2037
India,2025,2055
World,1985,9886
World,1986,10181
World,1987,10671
World,1988,11141
World,1989,11658
World,1990,11961
World,1991,12223
World,1992,12336
World,1993,12600
World,1994,12924
World,1995,13382
World,1996,13797
World,1997,14129
World,1998,14511
World,1999,14926
World,2000,15565
World,2001,15800
World,2002,16358
World,2003,16936
World,2004,17737
World,2005,18465
World,2006,19168
World,2007,20060
World,2008,20437
World,2009,20279
World,2010,21606
World,2011,22289
World,2012,22840
World,2013,23481
World,2014,24088
World,2015,24326
World,2016,24995
World,2017,25743
World,2018,26781
World,2019,27161
World,2020,27061
World,2021,28595
World,2022,29254
World,2023,30049
World,2024,31347
World,2025,32202
