region,year,kwh_per_day
World,1985,5.56
World,1986,5.63
World,1987,5.79
World,1988,5.94
World,1989,6.10
World,1990,6.15
World,1991,6.18
World,1992,6.14
World,1993,6.17
World,1994,6.24
World,1995,6.37
World,1996,6.47
World,1997,6.53
World,1998,6.62
World,1999,6.72
World,2000,6.91
World,2001,6.92
World,2002,7.07
World,2003,7.23
World,2004,7.47
World,2005,7.68
World,2006,7.87
World,2007,8.13
World,2008,8.18
World,2009,8.01
World,2010,8.43
World,2011,8.59
World,2012,8.69
World,2013,8.82
World,2014,8.94
World,2015,8.92
World,2016,9.06
World,2017,9.22
World,2018,9.49
World,2019,9.53
World,2020,9.40
World,2021,9.85
World,2022,9.99
World,2023,10.17
World,2024,10.52
World,2025,10.72
China,1985,1.06
China,1986,1.14
China,1987,1.24
China,1988,1.34
China,1989,1.41
China,1990,1.47
China,1991,1.59
China,1992,1.74
China,1993,1.86
China,1994,2.10
China,1995,2.26
China,1996,2.41
China,1997,2.51
China,1998,2.56
China,1999,2.69
China,2000,2.93
China,2001,3.17
China,2002,3.52
China,2003,4.04
China,2004,4.64
China,2005,5.23
China,2006,5.96
China,2007,6.78
China,2008,7.18
China,2009,7.58
China,2010,8.53
China,2011,9.49
China,2012,9.98
China,2013,10.79
China,2014,11.44
China,2015,11.41
China,2016,11.97
China,2017,12.81
China,2018,13.84
China,2019,14.44
China,2020,14.94
China,2021,16.39
China,2022,17.01
China,2023,18.21
China,2024,19.47
China,2025,20.46
US,1985,30.12
US,1986,30.05
US,1987,30.85
US,1988,32.14
US,1989,34.48
US,1990,34.96
US,1991,34.94
US,1992,34.66
US,1993,35.52
US,1994,35.70
US,1995,36.44
US,1996,37.05
US,1997,37.23
US,1998,38.26
US,1999,38.68
US,2000,39.44
US,2001,38.40
US,2002,39.24
US,2003,39.11
US,2004,39.60
US,2005,40.05
US,2006,39.72
US,2007,40.23
US,2008,39.44
US,2009,37.41
US,2010,38.70
US,2011,38.06
US,2012,37.24
US,2013,37.06
US,2014,36.99
US,2015,36.54
US,2016,36.20
US,2017,35.50
US,2018,36.51
US,2019,35.80
US,2020,34.61
US,2021,35.45
US,2022,36.40
US,2023,35.89
US,2024,36.79
US,2025,37.65
Europe,1985,13.00
Europe,1986,13.22
Europe,1987,13.59
Europe,1988,13.91
Europe,1989,14.10
Europe,1990,14.13
Europe,1991,14.14
Europe,1992,13.91
Europe,1993,13.80
Europe,1994,13.84
Europe,1995,14.19
Europe,1996,14.48
Europe,1997,14.61
Europe,1998,14.93
Europe,1999,15.10
Europe,2000,15.54
Europe,2001,15.79
Europe,2002,15.89
Europe,2003,16.22
Europe,2004,16.52
Europe,2005,16.73
Europe,2006,16.92
Europe,2007,17.07
Europe,2008,17.10
Europe,2009,16.23
Europe,2010,16.89
Europe,2011,16.66
Europe,2012,16.74
Europe,2013,16.56
Europe,2014,16.16
Europe,2015,16.27
Europe,2016,16.36
Europe,2017,16.45
Europe,2018,16.41
Europe,2019,16.10
Europe,2020,15.60
Europe,2021,16.25
Europe,2022,15.70
Europe,2023,15.38
Europe,2024,15.71
Europe,2025,15.91
India,1985,0.66
India,1986,0.70
India,1987,0.76
India,1988,0.80
India,1989,0.88
India,1990,0.91
India,1991,0.99
India,1992,1.02
India,1993,1.08
India,1994,1.13
India,1995,1.22
India,1996,1.24
India,1997,1.29
India,1998,1.36
India,1999,1.44
India,2000,1.48
India,2001,1.49
India,2002,1.52
India,2003,1.57
India,2004,1.68
India,2005,1.67
India,2006,1.74
India,2007,1.83
India,2008,1.88
India,2009,1.97
India,2010,2.06
India,2011,2.24
India,2012,2.33
India,2013,2.41
India,2014,2.63
India,2015,2.70
India,2016,2.84
India,2017,2.95
India,2018,3.13
India,2019,3.18
India,2020,3.07
India,2021,3.26
India,2022,3.47
India,2023,3.67
India,2024,3.85
India,2025,3.85
Africa,1985,1.27
Africa,1986,1.28
Africa,1987,1.30
Africa,1988,1.33
Africa,1989,1.34
Africa,1990,1.36
Africa,1991,1.35
Africa,1992,1.32
Africa,1993,1.33
Africa,1994,1.35
Africa,1995,1.36
Africa,1996,1.39
Africa,1997,1.43
Africa,1998,1.41
Africa,1999,1.42
Africa,2000,1.45
Africa,2001,1.48
Africa,2002,1.53
Africa,2003,1.56
Africa,2004,1.61
Africa,2005,1.63
Africa,2006,1.66
Africa,2007,1.69
Africa,2008,1.68
Africa,2009,1.65
Africa,2010,1.72
Africa,2011,1.71
Africa,2012,1.76
Africa,2013,1.76
Africa,2014,1.78
Africa,2015,1.78
Africa,2016,1.75
Africa,2017,1.77
Africa,2018,1.77
Africa,2019,1.77
Africa,2020,1.70
Africa,2021,1.74
Africa,2022,1.72
Africa,2023,1.70
Africa,2024,1.74
Africa,2025,1.75
