year,people
1950,2493092852
1951,2536927034
1952,2584086340
1953,2634106241
1954,2685894857
1955,2740213796
1956,2795409991
1957,2852618331
1958,2911249671
1959,2965950350
1960,3015470889
1961,3064869675
1962,3123374312
1963,3192807826
1964,3264487343
1965,3334533710
1966,3404041131
1967,3473412877
1968,3545187246
1969,3619491581
1970,3694683794
1971,3769847867
1972,3844917684
1973,3920805041
1974,3996416100
1975,4070735279
1976,4144246382
1977,4217863796
1978,4292097499
1979,4368539520
1980,4447606240
1981,4528777306
1982,4612673415
1983,4697327573
1984,4782175518
1985,4868943457
1986,4958072839
1987,5049746390
1988,5141992540
1989,5234431736
1990,5327803106
1991,5418735886
1992,5505989815
1993,5591544802
1994,5675551258
1995,5758878977
1996,5842055730
1997,5924787819
1998,6007066691
1999,6089006328
2000,6171702992
2001,6254936464
2002,6337730343
2003,6420361633
2004,6503377774
2005,6586970132
2006,6671452019
2007,6757308776
2008,6844457659
2009,6932766416
2010,7021732143
2011,7110923773
2012,7201202478
2013,7291793585
2014,7381616239
2015,7470491876
2016,7558554527
2017,7645617952
2018,7729902779
2019,7811293699
2020,7887001289
2021,7954448387
2022,8021407196
2023,8091734933
2024,8161972574
2025,8231613067
2026,8300678396
2027,8369094344
2028,8436618881
2029,8503285316
2030,8569124917
2031,8634119328
2032,8698229811
2033,8761449082
2034,8823784910
2035,8885210180
2036,8945686621
2037,9005152615
2038,9063572924
2039,9120928368
2040,9177190199
2041,9232281571
2042,9286110373
2043,9338661313
2044,9389873693
2045,9439639664
2046,9487889603
2047,9534545979
2048,9579536037
2049,9622824030
2050,9664378585
2051,9704192294
2052,9742264517
2053,9778614615
2054,9813251657
2055,9846237566
2056,9877680389
2057,9907637192
2058,9936164376
2059,9963337084
2060,9989232293
2061,10013916203
2062,10037466594
2063,10059950036
2064,10081402737
2065,10101849558
2066,10121317108
2067,10139808356
2068,10157301940
2069,10173782133
2070,10189241950
2071,10203681571
2072,10217055171
2073,10229327828
2074,10240485058
2075,10250496436
2076,10259351438
2077,10267045018
2078,10273556322
2079,10278887467
2080,10283078027
2081,10286161733
2082,10288205059
2083,10289247324
2084,10289315239
2085,10288456610
2086,10286708355
2087,10284111371
2088,10280704579
2089,10276518274
2090,10271565066
2091,10265861714
2092,10259408378
2093,10252184759
2094,10244185834
2095,10235403600
2096,10225850873
2097,10215549308
2098,10204489860
2099,10192689070
2100,10180160744
