region,year,kwh_per_day
US,1965,196.7
US,1966,205.3
US,1967,209.3
US,1968,219.7
US,1969,228.0
US,1970,233.6
US,1971,235.2
US,1972,244.4
US,1973,252.6
US,1974,243.3
US,1975,234.8
US,1976,246.2
US,1977,251.9
US,1978,253.7
US,1979,254.0
US,1980,241.8
US,1981,232.6
US,1982,219.5
US,1983,216.1
US,1984,225.7
US,1985,224.1
US,1986,224.0
US,1987,230.7
US,1988,239.9
US,1989,242.8
US,1990,240.7
US,1991,237.7
US,1992,239.1
US,1993,240.8
US,1994,243.1
US,1995,244.7
US,1996,250.0
US,1997,249.3
US,1998,249.2
US,1999,251.5
US,2000,255.5
US,2001,248.2
US,2002,248.8
US,2003,247.1
US,2004,249.9
US,2005,247.5
US,2006,242.8
US,2007,244.4
US,2008,235.7
US,2009,221.3
US,2010,226.7
US,2011,221.4
US,2012,213.8
US,2013,217.4
US,2014,217.7
US,2015,213.6
US,2016,210.7
US,2017,208.6
US,2018,214.4
US,2019,210.7
US,2020,193.2
US,2021,203.1
US,2022,205.5
US,2023,202.0
US,2024,202.8
US,2025,205.6
Sweden,1965,107.0
Sweden,1966,115.8
Sweden,1967,115.9
Sweden,1968,125.7
Sweden,1969,129.4
Sweden,1970,138.1
Sweden,1971,133.1
Sweden,1972,136.7
Sweden,1973,142.4
Sweden,1974,130.2
Sweden,1975,140.1
Sweden,1976,152.8
Sweden,1977,150.9
Sweden,1978,177.9
Sweden,1979,186.8
Sweden,1980,175.0
Sweden,1981,173.3
Sweden,1982,166.0
Sweden,1983,159.4
Sweden,1984,168.7
Sweden,1985,184.9
Sweden,1986,199.9
Sweden,1987,187.2
Sweden,1988,182.6
Sweden,1989,175.1
Sweden,1990,164.9
Sweden,1991,167.1
Sweden,1992,156.1
Sweden,1993,155.4
Sweden,1994,168.0
Sweden,1995,165.9
Sweden,1996,170.5
Sweden,1997,167.1
Sweden,1998,173.3
Sweden,1999,168.9
Sweden,2000,152.8
Sweden,2001,169.3
Sweden,2002,166.1
Sweden,2003,162.9
Sweden,2004,176.8
Sweden,2005,171.6
Sweden,2006,164.4
Sweden,2007,163.7
Sweden,2008,159.9
Sweden,2009,141.1
Sweden,2010,152.1
Sweden,2011,147.3
Sweden,2012,151.5
Sweden,2013,146.3
Sweden,2014,142.4
Sweden,2015,136.6
Sweden,2016,139.4
Sweden,2017,141.2
Sweden,2018,138.5
Sweden,2019,140.2
Sweden,2020,122.3
Sweden,2021,130.2
Sweden,2022,125.7
Sweden,2023,119.8
Sweden,2024,121.1
Sweden,2025,118.2
United Kingdom,1965,116.3
United Kingdom,1966,116.3
United Kingdom,1967,115.7
United Kingdom,1968,119.4
United Kingdom,1969,123.3
United Kingdom,1970,125.2
United Kingdom,1971,122.6
United Kingdom,1972,124.0
United Kingdom,1973,129.8
United Kingdom,1974,123.2
United Kingdom,1975,116.2
United Kingdom,1976,118.6
United Kingdom,1977,121.0
United Kingdom,1978,121.6
United Kingdom,1979,127.2
United Kingdom,1980,115.7
United Kingdom,1981,112.5
